,Questions,Correct,A,B,C,D
33,"The endangered Komodo dragon is the largest living lizard in the world, growing to an average length of 2-3 meters (10 feet).
",True,False,True,,
34,"This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.
",Orangutan,Gorilla,Baboons,Orangutan,Chimpanzee
35,"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?
",Central Asia,North America,Central Asia and North America,Central Asia,Europe and North America
36,"The Asian Elephant, the only living species of the genus Elephas, is the bigger relative of the African Elephant.
",False,True,False,,
37,"This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.
",Chinese River Dolphin,Ganges River Dolphin,Chinese River Dolphin,La Plata Dolphin,Amazon River Dolphin
38,"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.
",Fennec,Cape Fox,Red Fox,Bengal Fox,Fennec
39,"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?
",Australia,North America,Australia,Africa,Asia
40,"This small, graceful member of the antelope family is an extraordinary jumper - while leaping, it touches the rocky terrain of its South African habitats only with the tip of its hooves, resembling a dance.
",Klipspringer,Oribi,Roan Antelope,Scimitar Oryx,Klipspringer
41,"Although the jumping viper, a chiefly nocturnal snake, is one of the most powerful jumpers of the snake family, capable of rising up to 1 meter (3 feet) during a strike, its poison is not lethal to humans.
",False,False,True,,
42,"Zoophobia is the fear of animals.
",True,True,False,,
43,"The hummingbird is the worlds smallest bird.
",True,False,True,,
44,"Which of these animals swims the fastest?
",Dolphin,Flounder,Shark,Dolphin,Jellyfish
45,"Which word refers to the sound peacocks make?
",Scream,Scream,Squill,Squeak,Squall
46,"Ancient Japanese thought this animal caused earthquakes.
",Spiders,Birds,Spiders,Snakes,Frogs
47,"How many types of bats are there?
",900,900,700,500,200
48,"Chocolate cannot kill a dog.
",False,True,False,,
49,"This animal can clean its own ears with its 21-inch tongue.
",Giraffe,Lizard,Elephant,Lion,Giraffe
50,"It has been estimated that in Australia, there are about twice as many kangaroos as there are people.
",True,True,False,,
51,"What is the fastest animal on 6 legs?
",Cockroach,Ladybug,Cockroach,Beetle,Ant
52,"Sheep are similar to cows in that they have a stomach which contains four chambers.
",True,False,True,,
53,"What is a female sheep called or known as?
",ewe,ewe,colt,fleece,ram
54,"What is the white tigers scientific name?
",Panthera tigris,Pantha,Panthera tigis,Panthera tiger,Panthera tigris
55,"Can tigers live to be 20 years old?
",Yes,Yes,No,,
56,"All tigers have stripes.
",False,False,True,,
57,"Which of the following is not a type of chipmunk?
",Bushy-tailed,Bushy-tailed,Long-eared,Eastern,Sonoma
58,"Which of these is not an actual breed of horse?
",Sioux,Sioux,Russian Trotter,Belgian,Murgese
59,"Which of the following is not a breed of dog?
",Ferret terrier,Pom-a-poo,Lakeland terrier,Fox terrier,Ferret terrier
60,"One of these is not a true breed of cat. Which one?
",French Twist,Pixie-bob,Maine coon,Ragdoll,French Twist
61,"Which of these is not a type of beetle?
",Burrowing beetle,Long-horn beetle,Stag beetle,Flea beetle,Burrowing beetle
62,"Which of the following is not a type of spider?
",Glass spider,Glass spider,Trapdoor spider,Brown recluse spider,Bird-dropping spider
63,"All but one of the following are true types of bears. Which is the odd one?
",Moon bear,Moon bear,Brown bear,Black bear,Sun bear
64,"Which of these is not an actual breed of sheep?
",Dakota,Scottish black-face,Dakota,Hampshire,Merino
65,"One of these is not a true breed of chicken. Which one?
",Red-tailed,Hamburg,Plymouth Rock,Leghorn,Red-tailed
66,"Which of the following is not a breed of pig?
",Ridgeback,Norwegian Yorkshire,Vietnamese pot-belly,Ridgeback,Tokyo-X
67,"What is a group of lions called?
",Pride,Family,Group,School,Pride
68,"There are more males then females in a pride.
",False,False,True,,
69,"Generally, how many times in an interval of 5 hours do lions mate?
",10,1,5,20,10
70,"What is the breed of animal created from the crossing of a male lion and a female tiger?
",Liger,Tigon,Tiges,Ligon,Liger
71,"What is the breed of animal created from the crossing of a female lion and a male tiger?
",Tigon,Tigen,Liger,Tigon,Liges
72,"What do male lions have which females do not possess?
",A mane,An extra tooth,A mane,Longer nails,Distinguished eyes
73,"What is the average lifespan of a lion living in the wild?
",10 -15 years,20 - 30 years,Less than 10 years,10 -15 years,Greater than 30 years
74,"Are male lions are generally stronger then female lions?
",Yes,No,Yes,,
75,"Female lions hunt in a group.
",True,False,True,,
76,"Cats twitch the tips of their tails slightly when hunting or when angry, while stronger twitching indicates what?
",Displeasure,Stress,Displeasure,Boredom,Playfulness
77,"If a cat pushes its face against your head, this means what?
",Acceptance,Impatience,Submission,Acceptance,Aggression
78,"Cats generally purr when they are happy, but they can also be heard purring in what other situation?
",When they are distressed or in pain,When they are distressed or in pain,When they are hunting or playing,When they are hungry or thirsty,When they are lonely or angry
79,"How many different vocalization sounds does a cat make?
",100,100,200,50,150
80,"All cats are born with green eyes.
",False,True,False,,
81,"A cats front paws have 5 toes and their back paws have 4.
",True,False,True,,
82,"What was the largest  eagle ever found on Earth?
",Haasts Eagle,Golden Eagle,Haasts Eagle,Harpy Eagle,Bald Eagle
83,"Which term refers to the group formed by frogs and amphibians?
",Herps,Drosophillia,Herps,Mollusks,Nematodes
84,"Which statement about elephants is untrue?
",Elephants do not have great memories,Elephants sleep standing up,Elephants cry,There are some pink elephants in India,Elephants do not have great memories
85,"All pigs are classified as un-Kosher meaning they can not be eaten by Jewish people.
",False,True,False,,
86,"What is alektorophobia?
",The unreasonable fear of chickens,The unreasonable fear of birds of prey,The unreasonable fear of roaches,The unreasonable fear of chickens,The unreasonable fear of sharks
87,"How do scientists calculate the age of a fish?
",They count the growth rings on the ear bone.,They count all the teeth in the fishs mouth.,They measure the size of the fish and compare that to the average size of that type of  fish.,They count the growth rings on the ear bone.,They count the teeth in the fishs lower lip.
88,"Pound for pound, humans are not the strongest animals. What is considered the strongest species, pound for pound?
",The Hercules beetle,The Hercules beetle,The leaf-cutting ant,The red ant,The atlas roach
89,"Human beings have 23 pairs of  chromosomes. Which animal has the most chromosomes?
",hermit crabs,minke whale,millipedes,elephants,hermit crabs
90,"What type of animal is a lamprey?
",fish,worm,fish,insect,amphibian
91,"What is the name of the first book by Darwin that directly dealt with evolution?
",On the Origins of the Species,Essay on the Principles of Population,Totem and Taboo,On the Origins of the Species,The Descent of Man and the Selection in Relation to Sex
92,"Which of these animals has the largest paws?
",An average lynx,An average mountain lion,An average nematode,An average lynx,An average lichen
93,"Sharks can only be found in salt water.
",False,False,True,,
94,"The smallest species of shark in the world is the Dwarf Lanternfish.
",True,False,True,,
95,"Sharks must eat continually in order to survive.
",False,True,False,,
96,"Sharks can have up to nine gills on each side of their body.
",False,False,True,,
97,"Rays and Skates are types of sharks.
",True,True,False,,
98,"Sharks have poor vision.
",False,True,False,,
99,"More shark attacks occur during the day than at night.
",True,False,True,,
100,"If attacked by a shark it is recommended that you punch the shark in the nose.
",False,False,True,,
101,"Sharks are immune to cancer.
",False,True,False,,
102,"The dogfish is actually a common species of small shark.
",True,False,True,,
103,"Despite the myth that Chihuahuas were descendants of the royal dog of the Aztecs, it is also believed that Spanish trade merchants brought Chihuahuas to which of these countries?
",Mexico,Venezuela,United States,Brazil,Mexico
104,"What maximum height at the withers can Chihuahuas reach?
",15 inches (38 cm),24 inches (60 cm),15 inches (38 cm),12 inches (30 cm),9 inches (22 cm)
105,"Chihuahuas come in three colors: brindle, black, and camel.
",False,True,False,,
106,"Chihuahuas are the only dogs to be born with what?
",An incomplete skull,An extra leg tendon,Hairless inner ears,An incomplete skull,Two extra canine teeth
107,"What is the average lifespan of Chihuahuas?
",8- 18 years,8 - 12 years,8- 18 years,8 - 26 years,8 - 15 years
108,"The Chihuahua Gidget is famous for what reason?
",It was a mascot for Taco Bell.,Paris Hilton has it as a pet.,It was a fill-in mascot for the Georgia Bulldogs.,It was a mascot for Taco Bell.,It was a mascot for Taco John.
109,"The Chihuahua is the smallest dog breed in the world.
",True,False,True,,
110,"Chihuahuas are prone to hypoglycemia (low blood sugar).
",True,True,False,,
111,"What does the word â€œhippopotamusâ€ mean?
",River horse,Water pig,Fat horse,River horse,River pig
112,"For their size hippos are pretty fast runners and are much faster than humans.
",True,True,False,,
113,"How long in years is the life span of an average wild hippopotamus?
",40-50,10-20,40-50,30-40,20-30
114,"Hippos secrete a red substance known as blood sweat that protects them from the sun.
",True,False,True,,
115,"Hippos are related to cetaceans (whales and porpoises).
",True,True,False,,
116,"The Spectacled bear makes its habitat around the Andes tropical basin.
",True,True,False,,
117,"This is the basic food of the sea. Billions upon billions of these organisms live in the sea.
",Plankton,Seaweed,Plankton,Crabs,Shrimp
118,"This is the result of the gravitational pull from the moon and sun.
",Tides,Migration of certain species of whales,Tides,Shoreline,Waves
119,"These creatures look like flowers as they grow attached to rocks. Their tentacles open like fleshy petals and contract whenever danger is near.
",Sea Anemones,Kelp,Jellyfish,Sponges,Sea Anemones
120,"This sea animal, widely considered the most valuable shellfish, is common in shallow, warmer waters of all oceans.
",Oyster,Oyster,Shrimp,Scallop,Lobster
121,"This crab is not really a crab, but an arthropod. Its closest relative is the spider.
",Horseshoe crab,Fiddler Crab,Horseshoe crab,Spider Crab,Rock Crab
122,"These worms are not in fact worms, but bivalves. They enter wood as larvae, where they remain and grow, burrowing through the wood.
",Shipworms,Sea Mice,Ribbon Worms,Lugworms,Shipworms
123,"Squid and octopus are mollusks.
",True,False,True,,
124,"The Pacific lobster has large pincers and a spiny shell.
",False,True,False,,
125,"Also called Sea Biscuit, this animal lives in deeper water half-buried in the sand.
",Sand Dollar,Sand Dollar,Star Fish,Scallop,Mussel
126,"The red kangaroo appears on the Coat of Arms of Australia together with what other endemic Australian animal?
",Emu,Emu,Platypus,Dingo,Koala
127,"Which of these mammals was brought to Australia by humans?
",The dingo,The echidna,The dingo,The koala,The Tasmanian tiger
128,"Which of the following statements about echidnas, mammals native to Australia, is wrong?
",Echidnas are marsupials.,Echidnas are covered with spines.,Echidnas have snouts.,Echidnas lay eggs.,Echidnas are marsupials.
129,"The diet of the koala consists mainly of what plant species?
",Eucalyptus,Eucalyptus,Bamboo,Willow,Cork Oak
130,"Which one of these Australian reptiles is the largest living crocodile in the world?
",The saltwater crocodile,The thorny devil,The weedy sea dragon,The blue-tongued skink,The saltwater crocodile
131,"This Australian monotreme lays eggs and has a remarkable sense of electroception.
",Platypus,Platypus,Red kangaroo,Dingo,Emu
132,"Which Australian animal is the largest living carnivorous marsupial on Earth?
",The Tasmanian devil,The Tasmanian tiger,The Tasmanian devil,The platypus,The red kangaroo
133,"Qantas, Australias largest airline company, has what Australian animal on its red-and-white logo?
",Kangaroo,Koala,Kangaroo,Emu,Tasmanian devil
134,"What is the difference between the male and the female Galah, a cockatoo bird native to Australia?
",Males and females have different eye colour.,There is no difference between them.,Males and females have different eye colour.,Galah males are crested.,Galah females have shorter tails.
135,"What is the average weight of the Tasmanian Pygmy Possum?
",About 7g,About 250g,About 50g,About 100g,About 7g
136,"Which lizard can squirt blood from the corners of its eyes in order to confuse and drive back its enemies?
",Horned lizard,Anole,Gila monster,Horned lizard,Komodo dragon
137,"The venomous lizard Gila monster was named after what?
",The Gila River basin,The Gila River basin,The Gila Expedition 1857,Alberto Gilardino,Gilligans Island
138,"The Komodo dragon, the largest living lizard on Earth, lives in which part of the world?
",Indonesia,North America,Indonesia,South-western China,Madagascar
139,"Which term refers to the self-defense mechanism which allows lizards to break off their tails when captured?
",Autotomy,Apotemnophilia,Autonomy,Autotomy,Autism
140,"Which of these statements about geckos is true?
",All of these,Geckos have toe pads which help them climb smooth vertical surfaces.,All of these,Geckos can make chirping sounds.,Geckos feed on insects.
141,"Chameleons are lizards that can change their colour. What does Chameleon mean in Greek?
",Earth lion,Green melon,Karma lion,Colourful,Earth lion
142,"Geckos have immovable eyelids and cant blink. How do they keep their eyes clean?
",They lick their own eyes.,A tiny insect lives under their eyelids and cleans their eyes.,They lick their own eyes.,They dip their eyes in water.,They cover their eyes with their toes.
143,"The lizards which do not have legs are commonly known by what name?
",Glass lizards,Glass lizards,Monitor lizards,Skinks,Iguanas
144,"Which of these lizard species is not endangered?
",Eastern Bearded Dragon,Eastern Bearded Dragon,Blunt-nosed Leopard Lizard,Mona Ground Iguana,Komodo Dragon
145,"No lizard species live on which continent?
",Antarctica,South America,Antarctica,Europe,Asia
146,"This shark is considered a filter- feeder. Its diet consists mainly of plankton, krill, and macro-algae.
",whale shark,whale shark,bull shark,great white shark,pygmy shark
147,"This sharks white belly and grey back make it difficult for prey to spot.
",great white shark,hammerhead shark,tiger shark,great white shark,whale shark
148,"Sharks have no bones.
",True,True,False,,
149,"Have sharks been around for about 400 million years?
",Yes,No,Yes,,
150,"Which of these sharks has a flat body like a stingray?
",angel shark,basking shark,blue shark,blacktip reef shark,angel shark
151,"This shark was believed to be extinct, until it was found on the coast of Japan in 1898.
",goblin shark,cookie cutter shark,mako shark,goblin shark,angel shark
152,"Which shark is the fastest swimmer?
",mako shark,goblin shark,mako shark,nurse shark,sandtiger shark
153,"The zebra shark is very small and gentle and can be kept close to other fish.
",True,False,True,,
154,"What is the common name for baby sharks?
",pups,calves,pecks,cubs,pups
155,"Two thirds of a sharks brain is dedicated to its sense of smell.
",True,False,True,,
156,"How many recognized giraffe subspecies exist?
",9,6,7,9,5
157,"Which of these is not a subspecies of giraffe?
",East African Giraffe,Somali Giraffe,Rothschilds Giraffe,Kordofan Giraffe,East African Giraffe
158,"How long is a giraffes gestation period?
",14- 15 months,18 - 20 months,10 months,14- 15 months,9 months
159,"How many pounds of leaves can a giraffe consume daily?
",140 pounds,60 pounds,100 pounds,140 pounds,210 pounds
160,"Giraffes need less sleep than nearly every other animal.
",True,False,True,,
161,"Giraffes were once thought to be a cross between a camel and a leopard.
",True,True,False,,
162,"What group of dogs does the beagle belong to?
",hound,retrievers,setters,hound,terriers
163,"The beagle was developed mainly for tracking what animal?
",rabbits,squirrels,rabbits,raccoons,coyotes
164,"About how many years have beagles been around?
","2,000","2,000","5,000","4,000","3,000"
165,"Which of the following cartoon dogs was a beagle?
",Snoopy,Courage,Scooby Doo,Snoopy,Clifford
166,"The beagle is not a good choice for a childrens pet because it is aggressive.
",False,False,True,,
167,"What is the typical lifespan of the beagle?
",12 years,20 years,15 years,7 years,12 years
168,"Beagles are sometimes used for termite detection in Australia.
",True,False,True,,
169,"Are beagles easy to housebreak?
",No,No,Yes,,
170,"What type of coat do beagles have?
",medium,long,short,medium,depends on the dog
171,"The puggle is a mix between a beagle and what dog?
",pug,papillion,puli,poodle,pug
172,"In what country was the goldfish first domesticated?
",China,Egypt,China,Japan,India
173,"A goldfish can reach a weight of almost 10 lbs (4.5 kg)
",True,False,True,,
174,"How long can a goldfish live in optimal conditions?
",20 years,5 years,8 years,10 years,20 years
175,"The world record for the oldest goldfish is 49 years.
",True,True,False,,
176,"In Europe goldfish were first introduced to what country?
",Portugal,France,England,Italy,Portugal
177,"What color goldfish were most prized by the Chinese royalty several centuries ago?
",Yellow,Silver,Yellow,Orange,Red
178,"Goldfish can die from overeating.
",True,True,False,,
179,"Is it true that goldfish only have a 3-second memory?
",No,Yes,No,,
180,"What color are wild goldfish?
",Green,Silver,Orange,Yellow,Green
181,"Goldfish are good parents. They nurse and protect their young until they grow up enough to defend themselves.
",False,False,True,,
182,"This bird is the fastest animal on the planet in its hunting method, the stoop.
",Peregrine Falcon,Bald Eagle,Red-tailed Hawk,Peregrine Falcon,Golden Eagle
183,"The Barn Owl likes to sleep all day long.
",True,False,True,,
184,"Red-tailed Hawks are hunted in the USA because of their frequent attacks on domestic animals.
",False,True,False,,
185,"These raptors are known for their unusually social behavior. They even hunt in groups while the majority of raptors are solitary hunters.
",Harris Hawk,Golden Eagle,Turkey Vulture,Spotted Owl,Harris Hawk
186,"This animal is the largest of the deer family and can be found in the northern parts of North America.
",Moose,Gazelle,Moose,White Tailed Deer,Elk
187,"Which of these animals cannot be found in North America?
",Dingo,Flamingo,Walrus,Dingo,Beaver
188,"This bear, also known as a Silvertip bear, is native to North America.
",Grizzly Bear,Panda Bear,Polar Bear,Red Panda Bear,Grizzly Bear
189,"The coyote lives in North America and also goes by this name.
",Prairie Wolf,Desert Dog,Prairie Wolf,Prairie Dog,Small Wolf
190,"This North American animal is at the top of the food chain in the arctic region.
",Polar Bear,Walrus,Polar Bear,Arctic Fox,Penguin
191,"This mammal is known for its black fur with a white stripe and for its apparent odor.
",Skunk,Sloth,Ferret,Skunk,Weasel
192,"What type of animal is the cottonmouth?
",Snake,Mouse,Snake,Bat,Lizard
193,"This creature belongs to the rodent family and is covered in sharp spines or quills.
",Porcupine,Nutria,Armadillo,Kiwi,Porcupine
194,"How many species of skunk exist?
",11,6,8,13,11
195,"How many young skunks can be born in one litter?
",1-7,1-10,1-5,1-7,1-4
196,"What do skunks eat in the wild?
",All of these,All of these,Insects,Meat,Fruit
197,"How much of an effective range do skunks odor glands have?
",15 feet,15 feet,10 feet,8 feet,20 feet
198,"Can skunks be trained to make good pets?
",Yes,Yes,No,,
199,"Sometimes skunks kill domestic animals.
",True,True,False,,
200,"How many subspecies of Red Fox are found in India?
",3,2,None. Red Fox are not native to India.,1,3
201,"Which of these coat colors is not found in wild Red Fox populations?
",Black,Golden,Spotted,Red,Black
202,"What is the top speed that the Red Fox can reach?
",45 mph,25 mph,35 mph,45 mph,55 mph
203,"Which of these are eaten by the Red Fox?
",All of these,Insects,worms,All of these,eggs
204,"How long is the Red Foxs lifespan in the wild?
",3 years,3 years,8 years,6 years,10 years
205,"Fox hunting was made illegal in the U.K. in 2005.
",True,True,False,,
206,"Do foxes hibernate in winter?
",No,Yes,No,,
207,"Approximately how long is a Red Foxs gestation period?
",55 days,89 days,55 days,40 days,34 days
208,"Is the Red Fox a protected species in most parts of the world?
",No,No,Yes,,
209,"What is an adult male rooster known as?
",Rooster,Rooster,Buck,Hen,Foul
210,"What is the word used for someone that is afraid of chickens?
",Alektorphobic,Xenophobic,Chickopobic,Alektorphobic,Avianphobic
211,"Which of the following is not a breed of chicken?
",Chinese Crested,Australorp,Cubalaya,Houdan,Chinese Crested
212,"The Silkie chicken is the newest known breed.
",False,False,True,,
213,"How many beats per minute does a chickens heart usually beat?
",280-315,100-234,147-189,280-315,95-124
214,"Which of the following color of egg is incorrect for a chicken egg?
",black,black,white,pink,blue
215,"All domestic chickens can be traced back to which bird?
",The Red Jungle Fowl,The Wild Turkey,The Macaw,The Red Jungle Fowl,The Amazon Rain Forest Chicken
216,"Which of the following characters is a chicken?
",Foghorn Leghorn,Dori,Foghorn Leghorn,Daffy,Kermit
217,"What is the average lifespan of a lion in the wild?
",10-14 years,6-9 years,20-24 years,10-14 years,15-20 years
218,"The lion is the largest member of the cat species.
",False,False,True,,
219,"Most lions only survive in Africa. But a population of the much endangered Asiatic lion lives in India. How many estimated lions live in India as of 2007?
",300,300,550,"1,500","3,000"
220,"What is the average maximal speed a lion can reach?
",35 mph / 56 km/h,35 mph / 56 km/h,45 mph / 72 km/h,20 mph / 32 km/h,40 mph / 64 km/h
221,"Lions are inactive about 20 hours per day.
",True,False,True,,
222,"Approximately what amount of meat does an adult male lionâ€™s diet require per day?
",15 lbs. (6.8 kg),10 lbs. (4.5 kg),5 lbs. (2.2 kg),15 lbs. (6.8 kg),25 lbs. (11 kg)
223,"Like most mammals lions can only breed with one male ensuring that the offspring belong to just one male.
",False,True,False,,
224,"Approximately how long is a lions gestation period?
",120 days,200 days,30 days,120 days,60 days
225,"Do white lions exsist in the wild?
",Yes,Yes,No,,
226,"All penguins are found exclusively in the Southern Hemisphere.
",True,True,False,,
227,"How many species of penguins live in warm or even tropical environments?
",4,0,3,2,4
228,"The larger the penguin species, the colder the region in which it is found.
",True,False,True,,
229,"Which of these is the largest species of penguins?
",Emperor Penguin,King Penguin,Giant Penguin,Emperor Penguin,Royal Penguin
230,"Fossil records have shown a species of giant penguin that once stood 4 feet high.
",False,False,True,,
231,"What does the word penguin mean?
",Fat,Fat,Black and White,Swimmer,Bird
232,"Large penguins can dive nearly 2,000 feet.
",True,True,False,,
233,"Which of these animals is NOT a natural predator of penguins?
",Polar Bear,Leopard Seal,Polar Bear,Stellars Sea Eagle,Orca (Killer Whale)
234,"Penguins secrete salt from their nostrils.
",True,False,True,,
235,"Where can the polar bear be found?
",Arctic,South Pole,Antartica,Arctic,All of these
236,"Polar bears are among penguinsâ€™ most dangerous natural enemies.
",False,True,False,,
237,"What color is a polar bears skin?
",Black,Black,White,Pink,Yellow
238,"A polar bear has white fur.
",False,False,True,,
239,"Approximately how many wild polar bears are estimated to live across the Arctic?
","20,000","20,000","100,000","150,000","60,000"
240,"Can polar bears be other colors besides white?
",Yes,No,Yes,,
241,"According to Guinness Book of World Records, the heaviest wild bear was caught in 1960 and weighed 1,960 lbs (890 kg). What was its length?
","Over 11 feet (3,40 m) tall","Over 11 feet (3,40 m) tall","Over 12 feet (3,70 m) tall","Over 9 feet (2,70 m) tall",Over 10 feet (3 m) tall
242,"According to statistics from the past 3 decades of the 20th century, there is a significant drop in polar bearsâ€™ size.
",True,True,False,,
243,"A polar bear is used as the marketing icon for which of these popular products?
",Klondike Bars,Maytag Freezers,Hoods Ice Cream,Popsicles,Klondike Bars
244,"Brown Bear/polar bear hybrids occur naturally in the wild.
",True,True,False,,
245,"All dinosaurs were cold-blooded reptiles.
",False,True,False,,
246,"The smallest dinosaur known to science was the size of a chicken.
",True,True,False,,
247,"All birds are descendants of dinosaurs.
",True,True,False,,
248,"Pterodactyls were large flying dinosaurs.
",False,True,False,,
249,"Humans and human descendants hunted dinosaurs for food.
",False,False,True,,
250,"Some dinosaurs swam in the oceans.
",False,True,False,,
251,"Mammals lived alongside dinosaurs.
",True,False,True,,
252,"All dinosaurs died out due to a meteor hitting the Earth.
",False,True,False,,
253,"Tyrannosaurus Rex means Tyrant Lizard King.
",True,False,True,,
254,"The giant four-legged dinosaurs such as Apatosauras and Diplodocus are known as Theropods.
",False,False,True,,
255,"The Labrador breed comes in 3 different colors.
",True,True,False,,
256,"The Labrador Retriever is considered a medium-sized dog. How much does it weigh when fully grown?
",55 - 80 pounds,65 - 110 pounds,40 - 55 pounds,55 - 80 pounds,20 - 60 pounds
257,"What is the estimated average lifespan of a crocodile?
",70+ years,80+ years,50+ years,90+ years,70+ years
258,"On which of these continents can you find the Salt Water Crocodile?
",Australia,Africa,South America,Australia,North America
259,"In 2006, a crocodile housed at the Australia Zoo, was estimated to be 130 years old.
",True,False,True,,
260,"A crocodile bite strength is up to how many pounds psi (per square inch)?
",3000 psi,3000 psi,5000 psi,700 psi,1500 psi
261,"Crocodiles sex is determined by the temperature of their nest.
",True,True,False,,
262,"Which of these is NOT a species of crocodile?
",African Crocodile,Nile Crocodile,Mugger Crocodile,American Crocodile,African Crocodile
263,"According to data from the year 2001, crocodiles were the second leading cause of animal related death worldwide, second to venomous snakes.
",False,False,True,,
264,"What is the average incubation period of crocodile eggs?
",80 days,50 days,80 days,120 days,25 days
265,"Beavers are the second largest rodents in the world after which animal?
",Capybara,Muskrat,Mountain Marmot,Capybara,Sea Otter
266,"In Europe, the European Beaver (Castor fiber) was almost wiped out. It was driven to near extinction because of its fur and its scent gland that was used for medicinal purposes.
",True,True,False,,
267,"A beaver will build a dam even in dried up waterways if a recording of rushing water is played.
",True,False,True,,
268,"The North American Beaver is Canadas National symbol that adorns which Canadian coin?
",Nickle,Penny,Nickle,Quarter,Dime
269,"In the 17th century a ban was placed on eating meat during lent but the beaver meat was not included in that ban.
",True,True,False,,
270,"What is the gestation period of a beaver?
",4 months,2 months,3 months,6 months,4 months
271,"Can a beaver hold its breath underwater for more than 30 minutes?
",No,Yes,No,,
272,"Butterflies need the warmth of the sun in order to fly. They cannot possibly fly if the temperature is below this.
",50 F (10 C),60 F (16 C),80 F (27 C),70 F (21 C),50 F (10 C)
273,"You can kill a butterfly if you hold its wings.
",False,True,False,,
274,"Butterflies taste their food through this organ.
",The legs,The wings,Their faceted eyes,The proboscis,The legs
275,"Butterflies do not have lungs. They breathe trough this organ.
",The abdomen,The proboscis,The abdomen,The eyes,The legs
