,Questions,Correct,A,B,C,D
69,"The real name of this John was Marion Robert Morrison. When his brother was born, the name Robert was given to him and the former became Marion Michael Morrison. Then he got the nickname Duke. Most sources state that his first movie was Words and Music (1929).
",John Wayne,John Wayne,John Goodman,John Bon Jovi,John Travolta
70,"This man is also known as Karol Wojtyla and Juan Pablo II. His reign as a Pope was the third-longest in the history of the Papacy. He named himself after his predecessor, who died suddenly after only 33 days of service to God.
",John Paul II,John Donne,John Paul II,John Major,John Paul I
71,"This seafarer John was captured by the Indians around 1600. He reported in his account that the Indian chief wanted to club him to death. He was saved by the 11-12 year old daughter of the chief, who stood between her father and the Englishman.
",John Smith,John Bravo,John Mcenroe,John Smith,John Brown
72,"This great Spanish explorer conquered what is now central and southern Mexico.
",Hernando Cortes,Christopher Columbus,Vasco Da Gama,Ferdinand Magellan,Hernando Cortes
73,"This mans voyages were the base for Frances claim to Canada. His initial intention was to search for the Northwest Passage to the Orient.
",Jacques Cartier,Marco Polo,Francis Drake,Samuel de Champlain,Jacques Cartier
74,"He is famous for sailing around the world twice. He became the first European to visit the coasts of Hawaii and Australia. Due to his voyages  some colonies were established throughout the Pacific region by several European nations.
",James Cook,John Franklin,Martin Frobisher,Henry Hudson,James Cook
75,"This great explorer is famous for his fulfilment of the first all water trade route between India and Europe .
",Vasco da Gama,Vasco da Gama,Gaspar Corte Real,Henry the Navigator,Marco Polo
76,"Along with his brother, this famous explorer reached Kaifeng, the capital of Kublai Khans Mongol Empire in 1265.
",Marco Polo,Gaspar Corte Real,Hernando Cortes,Marco Polo,Ferdinand Magellan
77,"This great explorer found a new continent thinking he had found a new way to India.
",Christopher Columbus,Hernando Cortes,Henry the Navigator,Christopher Columbus,Gaspar Corte Real
78,"This great explorer spent years searching for a seaway to China in order to trade Spains New World gold, thus contributing with information about America before its Indian cities were destroyed by foreign diseases.
",Hernando de Soto,John Franklin,Samuel de Champlain,John Nicolas,Hernando de Soto
79,"By his circumnavigation around the world, which took three years, from 1577 to 1580, this explorer gave a more accurate picture of the true geography of the world.
",Sir Francis Drake,Sir Francis Drake,Christopher Columbus,Ferdinand Magellan,Horatio Nelson
80,"He was the first man to explore Antarctica by land. He led two expeditions with the intention to find out more about the animals, weather and geology of the Antarctic.
",Captain Scott,Captain James Cook,Ferdinand Magellan,Captain Scott,Sebastian Cabot
81,"Famous for his sea explorations, this man helped develop the first self-contained underwater breathing apparatus (SCUBA).
",Jacques Cousteau,Neil Armstrong,Ernest Shackleton,David Livingstone,Jacques Cousteau
82,"People who do this job are responsible for making 3-D films look so real.  They create the hairstyles of the animated characters.
",Hair Simulation Supervisors,Computer Hair Stylist,Animation Hair Consultant,Hair Simulation Supervisors,Hair Care Animator
83,"What does a Wrinkle Chaser do?
",Irons wrinkles from shoes,Irons wrinkles from shoes,Chase wrinkles from your face,Studies the wrinkles on someones face,Performs plastic surgeries
84,"As a Banana Gasser, what gas would you use to catalyze the ripening of bananas?
",Ethylene,Ethylene,Methyl,Helium,Saline
85,"Are your taste buds working over time?  If so, this job might be perfect for you. John Harrison is doing this job for the Dreyers.
",Ice Cream Taster,Candy Licker,Drugs Tester,Ice Cream Taster,Fruit Tester
86,"Have you ever noticed that not all onions are created equal? Some are bigger, some smaller, some differ in color and this person has to sort them.
",Onion Graders,Onion Graders,Onion Janitors,Grocers,Onion Cleaners
87,"What does a Golf Ball Marshal do?
",They search for lost golf balls,They carry golf sticks,They search for lost golf balls,They win golf championships,They are retired golf players
88,"These guys provide the primary ingredient for life-saving serums to people who have been bitten by poisonous snakes.
",Snake Milkers,Snake Doctors,Zoo Keepers,Snake Milkers,Snake Taxidermist
89,"A Vermiculturist uses this animal to produce compost?
",Worms,Worms,Flies,Ticks,Bacteria
90,"Who made this popular statement in July 1969: Thats one small step for (a) man, one giant leap for mankind.?
",Neil Armstrong,John McKay,Neil Armstrong,Buzz Aldren,John Glenn
91,"Which US President said: I am not a crook.?
",Richard Nixon,Abraham Lincoln,John F Kennedy,John Glenn,Richard Nixon
92,"Ask not what your country can do for you, ask what you can do for your country. These words were delivered by which US President?
",John F. Kennedy,John F. Kennedy,George Washington,Richard Nixon,Abraham Lincoln
93,"Which famous boxer said that he would float like a butterfly and sting like a bee.?
",Muhammad Ali,Muhammad Ali,Leon Spinks,Sugar Ray Leonard,Mike Tyson
94,"Which scientist is credited with the following quote: I never think of the future - it comes soon enough.?
",Albert Einstein,Sir Issac Newton,Albert Einstein,Jack Parr,Thomas Edison
95,"Which famous politician said: We must all hang together, or, most assuredly, we shall all hang separately.?
",Benjamin Franklin,Thomas Jefferson,Theodore Roosevelt,John Hancock,Benjamin Franklin
96,"Who made a speech, known by the popular name I Have a Dream?
",Martin Luther King Jr,Willie Ricks,Roy Wilkins,Martin Luther King Jr,James Farmer
97,"What famous person delivered these words: I have nothing new to teach the world. Truth and non-violence are as old as the hills.?
",Mahatma Gandhi,John Hancock,Abraham Lincoln,Mahatma Gandhi,Mother Teresa
98,"Which fashion designer made this statement: Fashion passes, style remains.?
",Coco Chanel,Paco Rabanne,Coco Chanel,Ralph Lauren,Donatella Versace
99,"Which US President said the following words: Four score and seven years ago our fathers brought forth on this continent a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.?
",Abraham Lincoln,Thomas Jefferson,George Washington,Richard Nixon,Abraham Lincoln
100,"Who is credited with delivering the following words: 100% of the shots you dont take dont go in.?
",Wayne Gretzky,Larry Bird,Mike Tyson,Michael Jordan,Wayne Gretzky
101,"These words belong to which famous writer: Always do right. This will gratify some people and astonish the rest.?
",Mark Twain,Benjamin Franklin,Charles Schultz,Mark Twain,Dr Seuss
102,"One of the following terrorist leaders can be described as a tall and thin man with an olive complexion and a cane, who is left-handed and always wears a plain white turban.
",Osama bin Laden,Abdullah Sungkar,Osama bin Laden,Tohir Yuldashev,Abu Musab al-Zarqawi
103,"The Roman emperor, Tiberius, was a left-handed ruler, who belonged to what dynasty?
",Julio-Claudian dynasty,Julio-Claudian dynasty,Severan dynasty,Valentinian dynasty,Flavian dynasty
104,"Raphael was a left-handed painter and architect of the Florentine school in the Italian High Renaissance. One of these works does not belong to him.
",The Night Watch,Woman with a veil (La Donna Velata),The Marriage of the Virgin,The School of Athens,The Night Watch
105,"Ronald Reagan was a left-handed President.
",False,False,True,,
106,"The lefty, Henry Ford, founded the Ford Motor Company. Finish this quote and find out how he defined quality. 
",,ality means doing it right when ___________________________.,...no one is looking.,...everyone is looking.,...no one is looking.
107,"lity means doing it right when ___________________________.
",...no one is looking.,...everyone is looking.,...no one is looking.,...you are told to.,...you want to.
108,"Both rappers, 50 Cent and Eminem, are left-handed.
",True,True,False,,
109,"Which of these rulers / politicians was not left-handed?
",They were all left-handed,Benjamin Franklin,Julius Caesar,Bill Clinton,They were all left-handed
110,"During her trial, Joan of Arc was accused of being left-handed.
",False,True,False,,
111,"Nelson Rockefeller, the left-handed 41st Vice President of the United States of America, was a governor of this state before becoming Vice President.
",New York,Pennsylvania,Massachusetts,Connecticut,New York
112,"Jay Leno is a left-handed American comedian, who suffers from what disease?
",Dyslexia,Diabetes,Dyslexia,Mild deafness,Epilepsy
113,"The left-handed actor, Jim Carrey, played what character in the 2004 Hollywood production, Eternal Sunshine of the Spotless Mind?
",Joel,Frank,Stan,Patrick,Joel
114,"This is the last movie in which the lefty, Charlie Chaplin appeared.
",A Countess from Hong Kong,The Great Dictator,Limelight,Modern Times,A Countess from Hong Kong
115,"The left-handed Hollywood actor, Morgan Freeman, was born in which city?
",Memphis,Memphis,Nashville,Pittsburgh,Philadelphia
116,"After achieving success with his horror stories, this writer called himself Richard Bachman because he wanted to see if his novels would sell without his already famous name on them.
",Stephen King,D.B. Wyndham-Lewis,Stephen King,Bruce Frederick Cummings,John Bingham Morton
117,"Lewis Carroll conceived Alices Adventures in Wonderland as nursery tales for the daughter of a friend.
",Charles Lutwidge Dodgson,Charles Lutwidge Dodgson,EugÃ¨ne Grindel,D.B. Wyndham-Lewis,Sue Denim
118,"Paul Eluard was a major exponent of surrealism.  Many of his poems reflect the hardship after his separation with his first wife Gala, who left him for Salvador Dali.
",EugÃ¨ne Grindel,Jacques Anatole FranÃ§ois Thibault,Lucy Beatrice Malleson,Harry Hart Frank,EugÃ¨ne Grindel
119,"Besides a poet, Pablo Neruda was also a diplomat and a Communist leader.  He changed his original name because he didnt want his father to find out he was a poet.
",Ricardo Eliecer NeftalÃ­ Reyes Basoalto,Hector Hugh Munro,Louis Cha,Ricardo Eliecer NeftalÃ­ Reyes Basoalto,Eric Arthur Blair
120,"Anatole France was probably the most famous French man of letters of his time.  In 1921 he was awarded the Nobel Prize in Literature.
",Jacques Anatole Thibault,Jacques Anatole Thibault,Charles Lutwidge Dodgson,William Sidney Porter,John Dickson Carr
121,"Stendhal hated his father so he took the first opportunity to leave for Paris, where he became a lieutenant in Napoleonâ€™s army.  He began his literary career after the fall of Napoleon in 1814.
",Marie Henri Beyle,Marie Henri Beyle,Paul M. A. Linebarger,Dan Perkins,Johann Kaspar Schmidt
122,"Moliere became famous as the father of French high comedy. He coined the phrase castigat ridendo mores (to criticise customs through humour) which is sometimes mistaken for a genuine Latin proverb.
",Jean Baptiste Poquelin,Jean Baptiste Poquelin,Georges Remi,"James Oliver Rigney, Jr.",GÃ©rard Labrunie
123,"Saki was a master of short stories.  It is said that his pen name could be a reference to a monkey with the same name.
",Hector Hugh Munro,Hector Hugh Munro,Frederic Dannay,Theodore Seuss Geisel,Natsume Kinnosuke
124,"O. Henry was working as a bank teller when he was sent to jail for embezzlement.  He spent 3 years in jail where he started writing his short stories.
",William Sydney Porter,Georges Remi,William Sydney Porter,Harry Hart Frank,Stanley Martin Lieber
125,"Both in the year when Mark Twain was born and the year when he died, the Halleys Comet passed by Earth.
","ark borrowed his pseudonym from Mississippi riverboat terminology, where calling â€œmark twainâ€? marked safe water.",Samuel Langhorne Clemens,Johann Kaspar Schmidt,Samuel Langhorne Clemens,Don Novello
126,"This Roman dictator proclaimed himself a god and built statues and temples to himself in Rome. He even ordered his statue to be placed in Jerusalem, so Jews can worship him.
",Caligula,Caligula,Caesar,Claudius,Cassius Chaerea
127,"This Russian dictator was given the name Grozniy by his compatriots as he was an evil person. The number of his marriages is unknown, but it is stated that they are at least five. He killed his son in a fit of rage.
",Ivan The Terrible,Ivan The Terrible,Alexander,Ivan V,Peter I
128,"He was known for his terrorist tactics and cruel methods of punishing those he found guilty, especially by impalement, which gave him the nickname Tepes, or The Impaler.
",Vlad Dracula,Todor Jivkov,Vlad Dracula,Joseph Stalin,Nicolae Ceaucescu
129,"This Russian dictator established the USSR as a modern economic and military power, able to repel Hitlers armies in World War II. However his reign was marked by terror and the deaths of millions of real and presumed opponents of his policies.
",J. V. Stalin,Gorbachev,Yeltsin,J. V. Stalin,Lenin
130,"He directed the systematic extermination of over 11 million people, mostly Jews, in a genocide now known as the Holocaust.
",Hitler,Nikita Khrushchev,Napoleon,Stalin,Hitler
131,"This person was expelled from the Socialist party on the grounds that he advocated Italys involvement in the Great War.  Following the war, he organized the Italian Fascist Party.
",Benito Mussolini,Benito Mussolini,Nicolae Ceaucescu,George Papadopulos,Augusto Pinochet
132,"Under the rule of this fascist dictator all political parties and labor unions were banned. Books were  burned, and dissenters were tortured and executed.
",Francisco Franco,Francisco Franco,Antonio De Oliveira Salazar,Benito Mussolini,Turgut Ozal
133,"He claimed that Democracy is the breeding ground of Communism.  That is why he ended Chiles 150-years of democracy.
",Augusto Pinochet,Alfredo Stroessner,Augusto Pinochet,Joseph Stalin,Francisco Franco
134,"This Romanian leaders economic policies were a disaster. He was also repressive and corrupt. He and his wife Elena were executed in 1989.
",Nicolae Ceausescu,Alfredo Stroessner,Jorge Rafael Videla,Nicolae Ceausescu,Hugo Banzer
135,"The name of this Iraqi dictator means one who confronts.  He saw himself as a social revolutionary and a modernizer, following the model of Nasser.
",Saddam Hussein,Saddam Hussein,Hassanal Bolkiah,Ferdinand Marcos,Sitiveni Rabuka
136,"The Mafia was actually formed in Sicily in the Middle Ages as a secret society to resist the Turk and Norman invaders. Later, it spread to the United States and this was the first American city where it became influential.
",New York,Detroit,New York,San Francisco,Chicago
137,"There are many theories about the source and the translation of the word Mafia. However, the meaning of the name of the Italian Mafia, La Cosa Nostra, is not so controversial. Which of these translations is closest?
",Our Thing,Nothing Tangible,Our Thing,Their Thing,No ones Thing
138,"The Triads is the name of the Japanese Mafia.
",False,False,True,,
139,"Lucky Luciano was one of the most important bosses of the Mafia, because he literally created its structure as we know it today. This guy was his most loyal friend since childhood.
",Meyer Lansky,Carlo Gambino,Meyer Lansky,Vito Genovese,Frank Costello
140,"Al Capone was the Crime Boss in Chicago as the successor of Johnny Torrio. Although he committed many terrible crimes and violated many laws, he was convicted only of tax evasion and had to do 11 years in Alcatraz. He was released in 1939 due to his terrible disease. What was this disease?
",Syphilis,AIDS,Cancer,Leprosy,Syphilis
141,"If you are a member of Yakuza and disobey your boss, you have to cut one of your fingertips and send it to him, begging for forgiveness.
",True,True,False,,
142,"In the Italian-American Mafia, the hierarchy is very strict. Capo di Tutti Capi means Boss of all Bosses. This is the highest possible position in the chain of command. Then who is Capo Crimini?
",The Don of a crime family,A non-Italian member of the Mafia,The Underboss of the Don,The Don of a crime family,The Advisor of the Don
143,"There were five dominant families in the American Mafia.  The Bonanno family, the Colombo Family, the Gambino family, the Lucchese family and one more. Charles (Lucky) Luchiano was one of the Bosses of this powerful Mafia family.
",The Genovese Family,The Capone Family,The Luchiano Family,The Genovese Family,The Lucky Family
144,"The execution of a member of the American Mafia is called Omerta.
",False,True,False,,
145,"This is one of the most famous crime fighters in the history of the American Mafia. He prosecuted many gangsters, such as Lucky Luciano, Gurrah Shapiro and Louis Lepke. The mafioso Dutch Shultz was killed by his peers, because he planned to knock off this gang buster.
",Thomas Dewey,Herbert Hoover,Robert Taft,Thomas Dewey,Chief Hennessy
146,"Which U.S. President, nicknamed Old Hickory, was the target of an assassination attempt at the Capitol building in 1835 by a house painter named Richard Lawrence?
",Andrew Jackson,Martin Van Buren,William Henry Harrison,Andrew Jackson,John Quincy Adams
147,"Which U.S. President, the first in the nations history to be assassinated, died at Peterson House across the street from the site of his shooting?
",Abraham Lincoln,Abraham Lincoln,William McKinley,Andrew Jackson,James A. Garfield
148,"Which U.S. President, whose term was the second shortest in the nations history, died in 1881, two and a half months after he was shot at a train station in Washington, D.C.?
",James A. Garfield,James A. Garfield,Ulysses S. Grant,Chester A. Arthur,Rutherford B. Hayes
149,"Which U.S. President, shot at the Pan-American Exposition in Buffalo, New York, might have survived if doctors had used a new medical device on exhibit at the fair that could have helped them find the fatal bullet?
",William McKinley,Grover Cleveland,William McKinley,Theodore Roosevelt,Benjamin Harrison
150,"Which U.S. President, who had become President after the 1901 assassination of his predecessor, survived an assassination attempt more than three years after he left office?
",Theodore Roosevelt,Theodore Roosevelt,William McKinley,Woodrow Wilson,William H. Taft
151,"Which four-term Presidents motorcade was shot at a month before he first took office, resulting in the death of the mayor of Chicago?
",Franklin D. Roosevelt,Harry S. Truman,Franklin D. Roosevelt,Ronald W. Reagan,Dwight D. Eisenhower
152,"Which President, who resided in Blair House during renovations to the White House, commuted the death sentence of the man convicted of plotting to assassinate him?
",Harry S. Truman,Harry S. Truman,Martin Van Buren,John Adams,Abraham Lincoln
