,Questions,Correct,A,B,C,D
28,"In this country people drink gorilka. It is similar to vodka.
",Ukraine,Ukraine,Georgia,Azerbaijan,Belarus
29,"Sangria is consumed all year round in this country. It is made of wine mixed with fruit and spices.
",Spain,Malta,Ecuador,Argentina,Spain
30,"Caipirinha takes lime, caster sugar, and Cachaca, or Rum to chill out the citizens of this country.
",Brazil,Cuba,Mexico,Brazil,Hawaii
31,"Schnapps is a kind of fruit brandy and is typical for the country which gave the name of this beverage.
",Germany,Austria,Italy,The Netherlands,Germany
32,"Ouzo is the preferred drink in this country. It is produced from pressed grapes, herbs and berries.
",Greece,Hungary,Greece,Macedonia,Turkey
33,"The first sales of the Coca Cola drink were made at Jacobs Pharmacy in Atlanta, Georgia, in what year?
",1886,1886,1798,1900,1800
34,"Attorneys Benjamin Thomas and Joseph Whitehead of Chattanooga, Tennessee, bought the exclusive rights to distribute Coke syrup to bottlers across most of the US. How much did they pay to obtain the rights?
",$1,$100,$1000,$1,$10
35,"Coca-Cola used to contain cocaine.
",True,False,True,,
36,"Coca-Cola was originally green.
",False,False,True,,
37,"Why was Coca-Cola once considered an anti-Semitic company?
",All of these,Coca-Cola did not have a bottling plant in Israel,All of these,Coca-Cola was successfully doing business in the Middle East,The manager of Coca-Colas Egyptian bottling operations announced  that Coca-Cola would never allow the Israelis a franchise
38,"This was the original title of a song, produced by Billy Davis and sung by The New Seekers, and featured in a 1971 TV commercial of Coca Cola.
",Id Like to Teach the World to Sing,In Perfect Harmony,Id Like to Teach the World to Sing,Id Like to Buy the World a Coke,None of these
39,"The acids which the Coca-Cola beverage contains make it harmful to drink.
",False,False,True,,
40,"This zodiac sign is referred to as the youngest one. It is ruled by Mars and is famous as the initiator.
",Aries,Sagittarius,Aries,Leo,Taurus
41,"This sign is ruled by Venus and people born under it are known as peacemakers.
",Libra,Pisces,Capricorn,Aquarius,Libra
42,"This zodiac sign is ruled by the Sun.
",Leo,Aquarius,Sagittarius,Leo,Virgo
43,"Ruled by Saturn, people born under this zodiac sign, are ambitious and practical.
",Capricorn,Capricorn,Pisces,Sagittarius,Taurus
44,"Under the influence of Jupiter, people born under this sign always seek to extract meaning from experience and search for what lies behind the animal instinct. Having rather philosophical view towards life, a person under this sign will not maintain a relationship with a jealous spouse.
",Sagittarius,Gemini,Cancer,Sagittarius,Virgo
45,"Ruled by Mercury, people born under this sign are really clever. It is typical for them to constantly try to separate what is useful from what is not.
",Virgo,Pisces,Virgo,Leo,Sagittarius
46,"The people born under this zodiac sign are ruled by Neptune. They are probably the most sensitive of all, but have worked out a manner to conceal their sensitivity. They are prone to living their life in a constant daydream.
",Pisces,Libra,Aquarius,Pisces,Sagittarius
47,"This Moon sign characterizes the people under its rule as maternal. It is typical for them to hold firmly to the past, and to insist on the relation of the present with the past.  However, they are very romantic.
",Cancer,Cancer,Aquarius,Leo,Virgo
48,"This astrological sign, ruled by Pluto, has the reputation of being highly sexual. Persons born under it, usually feel emotionally secure if they are financially settled.
",Scorpio,Aquarius,Scorpio,Sagittarius,Leo
49,"The planet of this sign is Uranus. The most recognizable feature of people born under the sign is their need for independence. They are positive and optimistic, and see life as a wonderful adventure.
",Aquarius,Libra,Gemini,Pisces,Aquarius
50,"This zodiac sign is ruled by Mercury. People born under it often change their mind.  They are also known as being tender and caring.
",Gemini,Leo,Libra,Gemini,Aquarius
51,"This is another sign ruled by Venus. The people under this zodiac sign are really material. Good food, good clothing and furniture, good sex can really make them feel wonderful. They are possessive, but are calm and have great inner peace.
",Taurus,Capricorn,Aquarius,Taurus,Aries
52,"North Americans believed these were poisonous until 1820, when Colonel Robert Gibbon Johnson disproved that myth during a public demonstration on the courthouse steps in Salem, NJ.  They were imported from Mexico to Europe in the middle of 16th century.
",Tomatoes,Strawberries,Cherries,Peppers,Tomatoes
53,"This fresh, green vegetable comes from India, where people have been growing it for 3000 years. Although we regard it as a vegetable, it is actually a fruit and reproduces by seeds.
",Cucumber,Asparagus,Cucumber,Pepper,Tomato
54,"According to historians this indigo-colored vegetable originates from India.  However, there are some written accounts from the 5th century in China, which indicate its cultivation there as well.
",Eggplant,Celery,Eggplant,Pumpkin,Cucumber
55,"This vegetable comes from the Andes in Peru and Bolivia, where people have known it for 2400 years. It became popular in Europe in 1780, when it first appeared in Ireland.
",Potato,Potato,Cabbage,Beans,Peas
56,"With a Latin name of Capsicum, this American vegetable has been known to the western hemisphere for a very long time.  According to experts there is evidence it has been consumed since 7500 BC.
",Chili Pepper,Onion,Chili Pepper,Parsley,Pear
57,"This orange vegetable was first discovered in Afghanistan 5000 years ago. Paintings were found on the walls of temples in Egypt, where it is believed to have been used for  treatment of diseases.
",Carrot,Tomato,Carrot,Pumpkin,Broccoli
58,"This veggie comes from Mexico. It was later spread all over North America and from there, setters took it to Europe. Nowadays besides food, it is used in the manufacture of oils, paints, soaps, syrups, starches, and even for fuel.
",Corn,Corn,Peas,Peanut,Rice
59,"This member of the cabbage family was admitted to European and American cuisine in the beginning of the 20th century. However, it was very common in the Roman Empire and was first cultivated on the territory of present day Turkey
",Broccoli,Peas,Green beans,Broccoli,Cabbage
60,"This low-carb vegetable was first seen along Atlantic coasts of Europe. Its in the same group as cauliflower, broccoli, kale, collards, kohlrabi, and Brussels sprouts.
",Cabbage,Cabbage,Lettuce,Dill,Carrot
61,"This is a vegetable with no homeland, dispersed all over the world.  In Egypt, it was worshipped for its spherical shape and concentric rings, believed to be symbols of eternity.
",Onions,Carrot,Garlic,Parsley,Onions
62,"Ploughmans Lunch is traditional for this country. It consists of cheese, a bit of pickle and pickled onion, and a slice of bread.
",England,Wales,England,Scotland,Ireland
63,"Boza is a thick, fermented beverage with a sweet and sour taste. It is made from millet seed and various astringent substances and was invented in which country?
",Turkey,Bulgaria,Greece,Macedonia,Turkey
64,"Zong Zi is a traditional food for this country. It is a rice dumpling wrapped in bamboo or reed leaves.
",China,Thailand,Japan,Singapore,China
65,"Coq Au Vin is a typical dish for this country, and it is prepared in all its regions, though with slight changes in recipe. It is a kind of chicken stew.
",France,France,Belgium,Germany,Switzerland
66,"Bratwurst is often consumed in this country.  They are sausages made of pork and veal and seasoned with ginger, nutmeg, and coriander or caraway.
",Germany,Macedonia,Hungary,Germany,Romania
67,"Feijohada has been consumed for centuries in this country. It is a stew made of black beans and pork.
",Brazil,Spain,Brazil,Mexico,Portugal
68,"Tzatziki is a typical dip of this country. It is made with yogurt, olive oil, cucumbers and onions.
",Greece,Greece,Montenegro,Turkey,Romania
69,"Quesadillas are folded tortillas, stuffed with cheese and then grilled.
",Mexico,China,Italy,Japan,Mexico
70,"The Shish Kabob is very popular in this country. It is often served with the traditional greens and tomato salad, tahini sauce and pita bread.
",Egypt,Egypt,Russia,Germany,France
71,"Tandoori Chicken is a meal named after the oven in which it is cooked - a small clay oven using a wood fire.
",India,Indonesia,Thailand,India,Siam
72,"This popular board game, patented in 1935 by salesman Charles Darrow, is known for the long hours a single game could take to complete.
",Monopoly,Go,Snakes and ladders,Sorry!,Monopoly
73,"Which of these games of skill and strategy has a pen and pencil version, played on a field of 8x10 boxes?
",Soccer,Volleyball,Pool,Soccer,Baseball
74,"Simon says, generally a childrens game of concentration and quick reactions, appears in which of these action-packed movies?
",The Die Hard series,The James Bond series,Cobra,Speed,The Die Hard series
75,"This strategic board game, which involves play by two parties on an eight-by-eight square grid, enjoys a great following in Japan, and has an estimated 10 to the power of 28 legal positions.
",Othello,Hex,Othello,Fanorona,Checkers
76,"One of the most popular casino games in the world, its precursor , vingt-et-un originated in French casinos around 1700.
",Blackjack,Bingo,Roulette,Two-up,Blackjack
77,"Scrabble, an amusing family game created by architect Alfred Mosher Butts in 1938, is what type of game?
",Word game,Dare game,Chance game,Word game,Athletic game
78,"Pong, the first commercially successful video game, is a video screen adaptation of what classic game?
",Table tennis,Othello,Tic-tac-toe,Table tennis,Soccer
79,"Tic-tac-toe is the American name of which popular paper and pencil game?
",Noughts and crosses,Noughts and crosses,Sprouts,Gomoku,Strategio
80,"This hand game, also known as Roshambo, is used to randomly select a person for some purpose.
","Rock, Paper, Scissors",Thumb wrestling,Odd or Even,Hand jive,"Rock, Paper, Scissors"
81,"The name of the popular tile game, Dominoes, often considered to be the modern descendant of the dice, originated from which of these?
",Domino masks,Domino masks,Domino parties,The name of the town it was created in,Chinese word for tiles
82,"What meat does a proper Irish breakfast usually include?
",Pork,It does not include meat.,Beef,Chicken,Pork
83,"What dish is traditionally served for breakfast in Cambodia, Thailand and Vietnam?
",Soup,Fish,Pork chops,Fried potatoes,Soup
84,"Which kind of breakfast is sometimes referred to as a Full Monty?
",Full English breakfast,Continental breakfast,Irish breakfast,French breakfast,Full English breakfast
85,"Which word refers to the fermented soybeans that are a part of the traditional Japanese breakfast?
",Natto,Congee,Negi,Natto,Youtiao
86,"In the United Kingdom, when is the wedding breakfast served?
",at the wedding reception,at the wedding reception,in the morning after the wedding,in the morning before the wedding,the day before the wedding
87,"The popular breakfast cereal dish muesli was invented in 1900 in which country?
",Switzerland,Sweden,Switzerland,Ireland,Turkey
88,"The traditional Malayan breakfast dish Nasi lemak includes soaking rice in what?
",Coconut cream,Cow milk,Coconut cream,Coffee,Green tea
89,"In which country does the typical breakfast consist of CaffÃ¨ e latte and a pastry?
",Italy,Italy,Cambodia,Scotland,England
90,"Besides flour and milk, what is the third essential ingredient of the batter for pancakes in the UK?
",Eggs,Lemon,Jam,Eggs,Sugar
91,"The title of Kurt Vonneguts book Breakfast of Champions is also the slogan of what famous American breakfast cereal?
",Wheaties,Honey Bunches of Oats,Krispies,Wheaties,Cheerios
92,"The carbonated beverage Fanta is a product of which company?
",Coca-Cola Bottling Co.,Royal Crown (RC),Independently owned and operated,Pepsi,Coca-Cola Bottling Co.
93,"The special Fanta flavour in Romania, based on a traditional local drink made from elderflower, is called by what name?
",Fanta Shokata,Fanta Shokata,Fanta Roma,Fanta Amanta,Fanta Eldera
94,"Fanta was named by a German salesman, named Joe Knipp. During a contest for employees, the contestants were told to let their fantasy run wild and Knipp said: Fanta.
",True,False,True,,
95,"The first soft drinks that were sold in all-aluminum cans in 1964 were products of the Royal Crown Cola company.
",True,True,False,,
96,"In 1985, Shasta  was acquired by the Royal Crown Cola Corp., which also owned the Faygo line of soft drinks.
",False,True,False,,
97,"Which American soft drink company was established by pharmacist Claude A. Hatcher in 1905?
",Royal Crown Cola Corp.,Royal Crown Cola Corp.,Tropical Fantasy,National Beverage Corp.,None of these
98,"What soft drink brand has the same name as a Native American tribe of Northern California?
",Shasta,Shasta,Coca-Cola,RC Cola,Pespi
99,"This cocktail is prepared from 1 1/2 oz. dark rum, 1/2 oz. each: Orange Curacao and creme de noyaux, lime juice, dash of grenadine. You shake the ingredients with ice and serve in a Hurricane or decorative glass.
",Mai Tai,Frozen Daiquiri,Sea Breeze,Southern Sparkler,Mai Tai
100,"Mix 1 ts powdered sugar and 2 ts water with some crushed ice into a glass. Then add 2 1/2 oz bourbon whiskey and some mint sprigs on top. 
",u should leave it until the glass is frosted.,Mint Julep,Margarita,Pina Colada,Mint Julep
101,"This summer cocktail requires 1 1/2 oz. vodka, 1/2 oz. lime juice, 1/2 oz. triple sec, 6 frozen watermelon cubes, 1/2 shaker of ice, 1/2 oz. chambord. The ingredients are placed into a shaker and mixed very well.
",Watermelon Martini,Watermelon Martini,Goom Bay Smash,Hurricane,Caribbean Cruise
102,"If you want to prepare this cocktail, you will need 3 oz pineapple juice, 3 oz orange juice, 3 oz lime juice, 8 dashes Angostura bitters, 6 oz rum and 2 oz simple syrup. Mix the ingredients in a shaker with ice.
",Rum Punch,Mint Julep,Mai Tai,Rum Punch,Peppermint Pattie
103,"This cocktail is made of 2 oz vodka, 3 oz cranberry juice, 2 oz grapefruit juice. The ingredients are shaken with ice and then strain into a highball glass.
",Sea Breeze,Bloody Mary,Caipirinha,Sea Breeze,Kamikaze
104,"This is a type of punch. In a big bowl pour the following ingredients: 1 bottle red wine, shotglass of lime juice, 2 shots Bacardi and add random fruit. Chill the mixture overnight.
",Sangria,Godfather,Greyhound,Sangria,Gin Buck
105,"You just need 1 oz white creme de cacao and 1 oz white creme de menthe for this cocktail. They are poured over ice in an old fashioned glass.
",Peppermint Pattie,Peppermint Pattie,Kama Sutra,Kapu-Kai,Grape Crush
106,"This more complex cocktail requires 1 1/2 oz light rum, 1 tbsp triple sec, 1 1/2 oz lime juice, 1 tsp sugar, 1 cherry and 1 cup crushed ice. Except the cherry, combine all ingredients and blend them for 5 seconds in a blender. Pour the mixture into a champagne glass and top with the cherry.
",Frozen Daiquiri,Kats Kiss,Acapulco,Frozen Daiquiri,La Florida
107,"This cocktails ingredients are as follows: 1 1/4 oz. Southern Comfort, grapefruit juice, pineapple juice, soda. They are all mixed and shaken with ice.
",Southern Sparkler,Lobotomy,Kir,After Five,Southern Sparkler
108,"To prepare this one, you need 1 1/2 oz. Kahlua, 1/2 oz. peppermint schnapps, splash of cream and splash of cola. Shake the ingredients and add ice.
",Colorado Minty Dog,Cosmopolitan,Vodka Martini,Georgia Peach,Colorado Minty Dog
109,"This strongly acidic and detoxifying fruit grows on trees named Citrus sinensis and Citrus aurantium.
",Orange,Grapefruit,Orange,Avocado,Lemon
110,"Similarly to spinach, this fruit, called petia in Spain, contains plenty of iron.
",Watermelon,Mango,Avocado,Banana,Watermelon
111,"Which of the following groups of fruits are considered low-acid fruits?
",All of these,"Cherries, sweet peaches, sweet plums","Blueberries, huckleberries, strawberries",All of these,"Mangos, elderberries, olives, fresh figs"
112,"Botanically speaking, which of the following is not a fruit?
",Arugula,Tomato,Arugula,Olive,None of these
113,"These fruits of the Family Musaceae are a valuable source of Vitamin A, Vitamin C, and potassium and are highly recommended by doctors to patients, whose potassium levels are low.
",Banana,Pear,Strawberry,Apple,Banana
114,"Why do doctors and dietitians recommend that we have five to nine fresh pieces of fruit a day?
",All of these,All of these,Fruits stimulate the memory.,Fruits help the organism release toxins.,Fruits are rich in vital vitamins.
115,"What was the first self service grocery store?
",Piggly Wiggly,Safeway,Atlantic  Pacific Tea Company,Piggly Wiggly,Hinky Dinky
116,"A potato will sometimes have green skin. What is characteristic of this skin?
",It contains a poisonous alkaloid.,It is sweet.,It identifies a foreign (non USA) potato.,It is ugly but edible.,It contains a poisonous alkaloid.
117,"What type of food is Pancetta?
",bacon,sausage,milk,bacon,small pepper
118,"Who built the first restaurant from the McDonalds chain, one of the worlds largest chains of fast-food restaurants?
",The MacDonald brothers,The MacDonald brothers,The U. S. meatpackers conglomerate,Ray Kroc,Dave Thomas
119,"Sometimes sushi is served rolled in nori. What is nori?
",seaweed,meat,mushroom,rice,seaweed
120,"Is it true that the word corn may refer to any cereal that is grown in a country?
",Yes,Yes,No,,
121,"The fish taco is generally cooked by what method?
",Frying,Broiling,Baking,Poaching,Frying
122,"Stilton is a cheese which originated in which country?
",England,France,The Netherlands,Switzerland,England
123,"This cocktail is as simple as mixing 1  oz vanilla liqueur and 1/2  fluid ounce cream.
",Little Beer,Good Night,Creme De Cocoa,Gimlet,Little Beer
124,"Prepare 1 1/2  oz lemon-flavored vodka, 3/4  oz fresh lemon juice, 1 lemon wedge, 1  teaspoon sugar. Moisten a martini glass with the lemon wedge and then dip it into sugar. Shake the ingredients well and strain into the sugared glass.
",Lemon Drop Cocktail,Lemon Drop Cocktail,Havana,Grenada,Hot Toddy
125,"Take 50ml Rye Whiskey, 25ml Sweet Vermouth, 1 dash Angostura Bitters. Stir all the ingredients together with ice and strain in a martini glass. Garnish with a Maraschino cherry.
",Manhattan,Manhattan,Irish Coffee,Grapefruit,Jamaica Glow
126,"In a shaker, mix 1 oz Kahlua, 1 oz butterscotch schnapps and 6 oz milk. Strain into a glass.
",Kahlua Butterball,Irish Coffee,Kahlua Butterball,John Collins,Hot Toddy
127,"Layer ingredients in a shot glass in the following order: 15 ml Creme De Cacao white liqueur, 15 ml  Blue curacao liqueur, 15 ml Scotch Whisky.
",African Violet,Kiss Me Quick,Martini Perfect,Mexican Coffee,African Violet
128,"For this refreshing cocktail you need 2 oz tequila, juice of 1/2 lime and Coca-Cola.  Mix tequila and lime  juice over ice cubes in a the glass. Add cola, stir, and its ready.
",Mexicola,Mexicola,Mojito,Mimosa,Monmartre
129,"Prepare 1 1/2 oz gin, 2 tsp grapefruit juice, 1 tbsp maraschino liqueur.  Mix all ingredients and shake them with ice. Then strain into a cocktail glass. Add a sprig of mint.
",Seventh Heaven,Singapore Sling,Silver Fizz,Sangria,Seventh Heaven
130,"To experience this sweet delight you need 1 oz light rum, 1 oz dark rum, 1 oz coconut cream, 1 cup Ice, 4 oz pineapple juice and 4 strawberries. Mix all the ingredients in a shaker.  Garnish with a pineapple wedge.
",Strawberry Colada,Swamp Water,Strawberry Colada,Spanish Coffee,Singapore Sling
131,"Shake the following ingredients with ice: 1/2 oz. Creme De Banane, 1/2 oz. pineapple juice, 1 oz. gin, 1 oz. cream and add a dash of Grenadine.
",Velvet Kiss,Velvet Kiss,Frozen Irish Coffee,Silver Fizz,White Russian
132,"This cocktail is a sweet combination of 4 oz. vodka, 2 oz. Midori and some Sprite mixed with ice.
",Midori Dream,Hocus Pocus,Midori Dream,Hole In One,Highland Sling
133,"In the trick-taking game of Hearts, what have you done, if you have just shot the sun?
",Taken every trick,Taken every trick,Avoided all of the points,Taken all of the points,Taken all but one point
134,"Assuming there are no wildcards, which of the following hands would win a four-handed game of poker?
","Ten of hearts, queen of diamonds, ten of clubs, queen of clubs, queen of spades","Ten of hearts, queen of diamonds, ten of clubs, queen of clubs, queen of spades","Five of clubs, five of diamonds, jack of hearts, jack of clubs, jack of spades","Ace of diamonds, five of hearts, four of clubs, three of hearts, two of spades","Six of diamonds, five of spades, four of hearts, three of spades, two of clubs"
135,"High, low, jack, and game are the four possible points in what trick-taking game?
",Pitch,Pinochle,Pitch,Whist,Bridge
136,"Taking all thirteen tricks in a game of bridge is referred to as what?
",Grand slam,Small slam,Grand slam,Knock,Double nil
137,"You have just laid down your entire hand in matched sets of four card books by taking cards from another player. What game have you just won?
",Go Fish,Gin Rummy,Rummy 500,Go Fish,War
138,"Beleaguered castle is a form of what kind of card game?
",Solitaire,Trick taking,Rummy,Poker,Solitaire
139,"In the card game Texas hold em, the last community card to hit the table is referred to as what?
",The river,Fourth street,The river,The turn,The flop
140,"Which card game, invented by British poet Sir John Suckling, is scored with a peg board?
",Cribbage,Cribbage,Piquet,Canasta,Euchre
141,"In a game of Pinochle, what is the second highest ranking card?
",Ten,Ten,Nine,Ace,King
142,"In order to double down in a game of blackjack, your two cards must total exactly what number?
",Any number,Twenty,Eleven,Any number,Ten
143,"This flowering plant, native to the eastern Mediterranean region and southwest Asia, is used as a spice in different liqueurs like raki and ouzo.
",Anise,Chicory,Cardamon,Allspice,Anise
144,"This herb, regarded as the king of herbs in many cooking books, is also known as Albahaca and St. Josephs Wort.
",Basil,Bergamot,Annato,Basil,Calamus
145,"Which popular substance, derived from orchids, is widely used in  the making of desserts.
",Vanilla,Vanilla,Oregano,Nigella,Lovage
146,"Mace is one of the spices, derived from the fruit of this evergreen tree, indigenous to tropical southeast Asia and Australasia.
",Nutmeg,Paprika,Nutmeg,Primrose,Poppy
147,"Oregano is a spicy perennial herb, particularly common to which region in Europe?
",The Mediterranean Region,The Baltic Region,The Mediterranean Region,The North Region,The Arabic Region
148,"This highly aromatic perennial herb, native to southern Europe, is widely used in salads, meat and potato balls, and its flavor is similar to that of anise.
",Fennel,Licorice,Ginger,Fennel,Hyssop
149,"The seeds of which of these herbs are the key spice in Indian curries?
",Coriander,Coriander,Tansy,Costmary,Thyme
150,"Which special type of wormwood, used exclusively for spicing, is one of the four fines herbes of French cooking?
",Tarragon,Rocket,Tarragon,Sumac,Mustard
151,"This aromatic perennial herb, that is native to Europe, North Africa and Asia, is widely used in many cuisines, especially in the Mediterranean.
",Thyme,Poppy,Pepper,Thyme,Paprika
152,"Sesame is an annual plant , whose closest relatives originated in which continent?
",Africa,South America,Europe,Asia,Africa
153,"Greyhound is a cocktail which contains Tonic.
",False,False,True,,
154,"This London style porter has the flavor of chocolate and coffee incorporated into the brewing process for a unique tasting adventure.
",Blackhook,Blackhook,Bud,Winterhook,Copperhook
155,"A Grasshopper is characterized by its soft color and taste, which comes from this strong green liqueur.
",Creme de Menthe,Apple Pucker,Creme de Grasshopper,Creme de Menthe,Lime Juice
156,"One and a half ounce of 80 proof liquor, straight or with a mixer, 12 ounce beer (a regular size can, bottle, mug, or glass) or a 5 ounce glass of wine all take about 8 hours each for your body to get rid of them.
",False,True,False,,
157,"There are several renditions of the famed Long Island Iced Tea, but almost all of the recipes call for this carbonated drink.
",Cola,Sparkling Water,7-UP,Soda Water,Cola
158,"Brandy Separators are made with this coffee-flavored liqueur.
",Kahlua,Creme de Cacao,Kahlua,Baileys,Frangelico
159,"The legal drinking age in a few US states is 18.
",False,False,True,,
160,"This is a traditional Scottish dish, boiled in a sheepâ€™s stomach. Some of the main ingredients are sheepâ€™s pluck, onion, salt and spices.
",Haggis,Ratatouille,Haggis,Marmite,Hot Pot
161,"This dish is usually cooked in a large, flat pan. It is most typical for the region of Valencia, Spain and contains ingredients such as rice, saffron and olive oil.
",Paella,Enchilada,Paella,Lasagna,Tajine
162,"Which of these dishes is a traditional Mexican dish, prepared out of a tortilla dipped in a sauce, containing peppers?
",Enchilada,Polenta,Enchilada,Baccala,Jambalaya
163,"This Hungarian dish, meaning cowherd, is prepared with beef, onion, red peppers and paprika.
",Goulash,Utopenec,Bramborak,Pljeskavica,Goulash
164,"This Romanian dish, widely known around the world under the Italian name of polenta, is traditionally prepared of maize, cooked in an iron pot.
",MÄƒmÄƒligÄƒ,Vesalica,MÄƒmÄƒligÄƒ,Hornazo,Pilaf
165,"This delicacy, typical for â€˜The Country of the Rising Sunâ€™, usually only consists of thinly sliced raw seafood, dipping sauce and garnish.
",Sashimi,Sashimi,Moussaka,Tsatsiki,Vaho
166,"This member of Czech cuisine, consists of a marinated sausage, usually served with slices of Czech bread.
",Utopenec,Drstkova,Utopenec,Polevka,Knedliky
167,"Which of these is a French dish, whose main ingredients are veal, onions and mushrooms?
",Blanquette de veau,Blanquette de veau,Souffle,Pot-au-feu,Coq au Vin
