,Questions,Correct,A,B,C,D
85,"This team, with head coach Tom Osborne, won the most NCAA football Championships in the 1990s.
",Nebraska,Tennessee,Nebraska,Florida,Florida State
86,"According to Dickinson poll, in 1928 this football team, coached by Howard Jones, won its first national title.
",USC,LSU,USC,BYU,Yale
87,"This team, nicknamed The Hurricanes, won three NCAA Football Titles in the 1980s.
",Miami,Miami,Oklahoma,Penn State,Notre Dame
88,"In what year did Notre Dame and their head coach Knute Rockne, win their first NCAA football Championship?
",1924,1987,1980,1938,1924
89,"This team, led by head coach James Tressel,  won the 2002 NCAA championship, beating Miami in overtime.
",Ohio State,USC,Ohio State,LSU,Miami
90,"The athletic teams of St. Johnâ€™s University were called the Redmen in the 1920s.
",True,False,True,,
91,"Which is the nickname of North Carolina and of the University of North Carolina at Chapel Hill?
",Tar Heels,Hoyas,Buckeyes,Tar Heels,Bruins
92,"Which American university has chosen the spider as its official mascot?
",University of Richmond,University of Richmond,Boston College,University of Rhode Island,Valipariaso
93,"The nickname for the University of Washington is the Huskies.
",True,False,True,,
94,"The Eagles athletic teams represent which college/university?
",Boston College,Boston College,University of Arizona,University of Philadelphia,Yale
95,"What is the nickname of the University of Tennessees teams?
",Volunteers,Hokies,Terrapins,Crimsom Tide,Volunteers
96,"The Boilermakers is the nickname of which American university?
",Purdue University,University of Michigan,Indiana State University,Northwestern University,Purdue University
97,"In 1933 this team won the first NFL Championship Game.
",Chicago Bears,New York Giants,Chicago Bears,Canton Bulldogs,Washington Redskins
98,"Which team won the 1940 National Football League Championship Game with 73-0?
",Chicago Bears,New York Giants,Oakland Raiders,Washington Redskins,Chicago Bears
99,"Which of these teams won their first Super Bowl in 2005?
",None of these,Atlanta,None of these,Seattle,Cincinnati
100,"Which championship game was called The Greatest Game Ever Played and was the first  championship game to go into overtime?
",The 1958 Championship Game,The 1983 Championship Game,The 1974 Championship Game,The 1990 Championship Game,The 1958 Championship Game
101,"In the 1967 NFL Championship Game Green Bay beat Dallas 21-17. Which nickname is attached to this game?
",The Ice Bowl,The Long Fourth-Quarter Game,The Ice Bowl,The One -Quarter Game,The First Super Bowl
102,"Which NFL team won their 12th Championship in 1997?
",Green Bay Packers,Green Bay Packers,New England Patriots,Chicago Bears,Cleveland Bowns
103,"Which of these teams was defeated at the Super Bowl XXXIII game by the Denver Broncos?
",Atlanta Falcons,Atlanta Falcons,Providence Steam Roller,Frankford Yellow Jackets,Tennessee Titans
104,"Which team won Super Bowl VII and Super Bowl VIII?
",Miami Dolphins,Pittsburgh Steelers,San Francisco 49ERs,Miami Dolphins,Dallas Cowboys
105,"This player from Alabama University was the Championship MVP in 1968.
",Bart Starr,Paul Horning,Darryl LaMonica,Bart Starr,Max McGee
106,"Which of these players have never won the Super Bowl MVP?
",Dan Marino,Richard Dent,Jake Scott,Dan Marino,Chuck Howley
107,"The Ultimate Warrior and Rick Rude competed for the Intercontinental Title in which SummerSlam?
",1989,1989,1990,1988,1991
108,"The Honky Tonk man lost the Intercontinental Title to Ultimate Warrior at the first SummerSlam in 1988, but who was Honky originally to defend his title against?
",Brutus Beefcake,Don Murracco,Jake Roberts,Brutus Beefcake,Jim Duggan
109,"Bret Hart wrestled in every SummerSlam that he could, while a WWF SuperStar.  From 1988-1997 he missed only one SummerSlam.  What year?
",1996,1989,1990,1996,1988
110,"How Many Times has Randy Savage been the Macho King at SummerSlam?
",1,2,1,0,3
111,"Hulk Hogan has won a title at SummerSlam.
",False,False,True,,
112,"The Largest in terms of attendance SummerSlam took Place in what year?
",1992,2001,2002,1994,1992
113,"In the SmackDown! US title match from the 2003 edition of SummerSlam, who walked out the US Champion?
",Eddie Guerrero,Tajiri,Chris Benoit,Eddie Guerrero,Rhyno
114,"The first steel cage match at SummerSlam was between which two competitors?
",Ultimate Warrior/Rick Rude,Diesel/Mabel,Bret Hart/Owen Hart,Ultimate Warrior/Rick Rude,Mankind/Hunter Hearst Helmsley
115,"How many times has SummerSlam been in New York City, at Madison Square Garden?
",At least 3,1,At least 3,2,0
116,"Which team won five NBA titles in the 1980s?
",Los Angeles Lakers,New York Knicks,Chicago Bulls,Los Angeles Lakers,Boston Celtics
117,"What NFL team did O.J. Simpson play for at the end of his career?
",San Francisco 49ers,San Francisco 49ers,Oakland Raiders,Philadelphia Eagles,Miami Dolphins
118,"What NBA team did Bill Walton lead to a NBA title?
",Portland Trail Blazers,Portland Trail Blazers,Utah Jazz,San Antonio Spurs,Houston Rockets
119,"What college basketball team did Billy King, general manager of the Philadelphia 76ers, play for?
",Duke,Alabama,UCLA,Georgetown,Duke
120,"What NBA team is known for their cowbells?
",Sacramento Kings,Atlanta Hawks,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs
121,"What NFL team went 1-15 during the 1989 season?
",Dallas Cowboys,Houston Texans,Chicago Bears,Dallas Cowboys,The New York Jets
122,"What team did Oklahoma beat in the 2000 Orange Bowl to win the national title?
",Florida Sate,Florida Sate,ISU,Miami,Nebraska
123,"What number did Ralph Kiner, who was inducted into the Baseball Hall of Fame in 1975, wear when he played for the Pittsburgh Pirates in the 40s and 50s?
",4,11,7,3,4
124,"What number did Tom Seaver, who was elected to the Baseball Hall of Fame on January in 1992,  wear when he was a player for the New York Mets in the 1970s?
",41,35,47,41,32
125,"What number did Major League Baseball player Pete Rose wear when he played for the Cincinnati Reds?
",14,14,5,4,7
126,"What number did  Baseball Hall of Famer, Rod Carew, wear on his uniform when he played for the Minnesota Twins?
",29,33,6,29,44
127,"What number did Don Mattingly wear when he played as a part-time first baseman and outfielder for the New York Yankees in 1983?
",46,33,18,23,46
128,"What number did baseball player Darryl Strawberry wear when he played for the Los Angeles Dodgers in the 1990s?
",44,44,39,8,18
129,"What number did American football quarterback Joe Montana wear when he played for the college team Notre Dame?
",3,18,3,16,12
130,"What number did O. J. Simpson, a member of the Pro Football Hall of Fame, wear when he played for the Buffalo Bills in the 70s?
",32,44,33,32,34
131,"What number did Kirby Puckett,  who was elected to the Baseball Hall of Fame in 2001, wear when he was a player for the Minnesota Twins?
",34,14,34,32,18
132,"What number did Carlton Fisk, who was inducted into the Baseball Hall of Fame in 2000, wear when he played for the Chicago White Sox?
",72,27,72,15,13
133,"This college was first to have the first overall pick for both the NFL and the NBA in the same year.
",Utah,Notre Dame,Texas,Utah,USC
134,"Which two schools are given credit for playing the first college football game?
",Princeton - Rutgers,Chicago - Ohio State,UCLA - USC,Princeton - Rutgers,Purdue - Notre Dame
135,"In NCAA football, a conference can play a conference championship game if it has this many teams.
",12,12,16,10,11
136,"Which of these bascetball players scored 100 points in one college game?
",Frank Selvey,Wilt Chamberlain,Rod Thorn,Frank Selvey,Kareem Abdul Jabbar
137,"For which college did Wilt Chamberlain play?
",Kansas,Villanova,Kansas,UCLA,North Carolina
138,"For which college  did Reggie Jackson play baseball?
",Arizona State,Florida,UCLA,Texas,Arizona State
139,"Which college used to have the nickname The Ramblin Wrecks?
",Georgia Tech,Purdue,Georgia Tech,Texas Tech,Oklahoma State
140,"Which college has the team nicknamed The Boiler Makers?
",Purdue,Florida,Purdue,Miami,Stanford
141,"Which college has the team nicknamed The Sooners?
",Oklahoma,San Diego State,Oklahoma,Purdue,Florida
142,"Which college football team set the record for most consecutive wins, eventually losing to Notre Dame?
",Oklahoma,Oklahoma,USC,Nebraska,Army
143,"Which three teams are eligible to win The Commanders Trophy ?
","Army, Navy and Air Force","Indiana, Purdue and Ball state.","UCLA, USC and Stanford","Harvard, Yale, and Princeton","Army, Navy and Air Force"
144,"Which former football quarterback, inducted into the Pro Football Hall of Fame in 1977, was the MVP of the first two Super Bowls?
",Bart Starr,Art Donovan,Eric Dickerson,Al Davis,Bart Starr
145,"This former American football wide receiver, nicknamed Bambi, was inducted into the Pro Football Hall of Fame in 1978.
",Lance Alworth,Don Hutson,Charlie Joiner,Bobby Mitchell,Lance Alworth
146,"Who was the first person to become a member of both the Pro Football Hall of Fame and the Baseball Hall of Fame?
",Cal Hubbard,Cal Hubbard,Jackie Jensen,Dave Winfield,Bo Jackson
147,"Which former quarterback was named the Most Valuable Player of Super Bowl XXIX, and was inducted into the Pro Football Hall of Fame in 2005?
",Steve Young,Jim Kelly,Bobby Layne,Norm Van Brocklin,Steve Young
148,"Which versatile athlete, inducted into the Pro Football Hall of Fame in 1963, won Olympic gold medals in the pentathlon and decathlon?
",Jim Thorpe,Kirk Gibson,Bo Jackson,Jim Thorpe,Jim Brown
149,"This legendary Green Bay Packers head coach, inducted into the Pro Football Hall of Fame in 1971, had the following maxim: Winning isnt everything; its the only thing.
",Vince Lombardi,Chuck Noll,Vince Lombardi,Tom Landry,Bill Parcells
150,"This retired cornerback, who played college football at Grambling University, was inducted into the Pro Football Hall of Fame on July 28, 1984.
",William Brown,Buck Buchanan,William Brown,Charlie Joiner,Willie Davis
151,"Henry Aaron hit home run number 715 off of which Dodger pitcher?
",Al Downing,Don Drysdale,Don Sutton,Al Downing,Sandy Koufax
152,"What year did the Braves move to Atlanta?
",1966,1967,1965,1968,1966
153,"What is Chipper Jones actual first name?
",Larry,Peter,Paul,Larry,George
154,"Atlanta Fulton County Stadium had what nickname?
",The Launching Pad,Braveland,The Hot-Lanta,The Launching Pad,The Homer Dome
155,"The first couple of years in Atlanta, the Braves were considered lovable losers.  They won the first NL West title in 1969, the first year of divisional play.
",True,True,False,,
156,"This pitcher ended Pete Roses 44 game hit streak in 1978 with a strikeout.
",Gene Garber,John Smoltz,Bruce Sutter,Pat Jarvis,Gene Garber
157,"In the 1996 World Series, this Braves player hit a home run in his first two at-bats.
",Andruw Jones,David Justice,Andruw Jones,Fred McGriff,Chipper Jones
158,"Who was the winning pitcher in game six of the 1995 World Series, 1-0 victory over the Cleveland Indians?
",Tom Glavine,Steve Avery,Greg Maddux,John Smoltz,Tom Glavine
159,"Who is considered the first modern heavyweight boxing champion?
",John L. Sullivan,Bob Fotzsimmons,Jimmy Ellis,John L. Sullivan,James J. Corbett
160,"Which boxing heavyweight champ was the subject of the movie The Great White Hope?
",Jack Johnson,Marvin Hart,Jack Johnson,Jersey Joe Walcott,Tommy Burns
161,"Who lost the boxing heavyweight championship to Joe Louis?
",James J. Braddock,Jack Dempsey,James J. Braddock,Jess Willard,Max Baer
162,"Who was the only undefeated boxing heavyweight champ, later killed in an airplane accident?
",Rocky Marciano,Floyd Patterson,Ezzard Charles,Leon Spinks,Rocky Marciano
163,"A Swedish boxer once held the boxing heavyweight title.
",True,True,False,,
164,"From whom did Muhammad Ali get the championship the first time?
",Sonny Liston,Leon Spinks,Cassius Clay,Sonny Liston,Floyd Patterson
165,"Who did Muhammad Ali beat to get the boxing crown the second time?
",George Foreman,Joe Frazier,Ernie Terrell,George Foreman,Ken Norton
166,"Which boxers shared the boxing heavyweight crown in 1978 ?
","Ali, Norton, Spinks, Holmes and Ali","Ali, Spinks and Holmes","Norton, Spinks, Holmes and  Dokes",Ali and Norton,"Ali, Norton, Spinks, Holmes and Ali"
167,"How did boxer James J. Braddock get most of his money?
",From Joe Louis,Shipping,Appearance fees,From Joe Louis,Boxing
168,"What country did boxing champion Lennox Lewis represent?
",England,Ireland,Canada,Texas,England
169,"Former NBA player, Michael Jeffrey Jordan was born on February 17, what year?
",1963,1965,1963,1960,1961
170,"What is the height of former NBA player, Michael Jordan?
",6 6,68,6 6,67,65
171,"Michael Jordan majored in geography at what university?
",University of North Carolina,University of North Carolina,Duke University,Arizona State University,Florida State University
172,"After retiring from basketball in 1993, Michael Jordan spent the next year playing professional baseball.
",True,True,False,,
173,"Former NBA player Michael Jordan won his second Olympic gold medal in what year?
",1992,1992,1988,1996,1984
174,"What number did Michael Jordan wear after the return to NBA from his first retirement?
",45,23,15,45,3
175,"On January 19, 2000, Jordan returned to the NBA not as a player, but as part owner and President of Basketball Operations of which team?
",The Washington Wizards,The Washington Wizards,The Los Angeles Clippers,The Indiana Pacers,The Chicago Bulls
176,"What former catcher managed the New York Mets in 1973?
",Yogi Berra,Gil Hodges,Joe Frazier,Wes Westrum,Yogi Berra
177,"Joining the team in 1962, this former infielder, manager and coach was the first 3rd baseman to play for the New York Mets.
",Don Zimmer,Wayne Garrett,Don Zimmer,Ed Charles,Elliot Maddox
178,"This great pitcher of the New York Mets won the Rookie of the Year award in 1972 by going 15-10 with a 2.32 ERA.
",Jon Matlack,Jerry Koosman,Tom Seaver,Jon Matlack,Nino Espinosa
179,"This right-handed Major League Baseball player won the World Series MVP award, and then became the first player to sign with new team after winning the award, joining the Orioles in 1987.
",Ray Knight,Lenny Dykstra,Dave Kingman,Ray Knight,Darryl Strawberry
180,"What Dominican Republic born baseball player, played shortstop for the New York Mets in 1979?
",Frank Taveras,Mike Phillips,Frank Taveras,Tim Foli,Ray Sadecki
181,"What former Major League Baseball shortstop, who at the time played for the New York Mets, got into a fight with Pete Rose during the 1973 playoffs?
",Bud Harrelson,Tim Foli,Teddy Martinez,Bud Harrelson,Rafael Santana
182,"This former pitcher, manager and executive in Major League Baseball, who led the Philadelphia Phillies to their first World Series title in 1980, managed the New York Mets during 1993-96.
",Dallas Green,Dallas Green,Davey Johnson,Joe Torre,Bobby Valentine
183,"Who became owner of  Major League Baseball, New york Mets in 1961?
",Joan Payson,Nelson Doubleday,Lorinda De Roulet,Joan Payson,M. Donald Grant
184,"This baseball player, signed by the New York Yankees as an amateur free agent in 1976, played for the New York Mets during 1984-1987.
",Rafael Santana,Rafael Santana,Kevin Elster,Larry Bowa,Al Pedrique
185,"After five seasons as a roving instructor for the Seattle Mariners, this man eventually got hired by the New York Mets as the pitching coach, a position he held for ten years.
",Mel Stottlemyre,Mel Stottlemyre,Joe Pignatano,Bob Apodaca,Rube Walker
186,"This baseball player and American national icon was known as The Sultan of Swat.
",Babe Ruth,Christy Mathewson,Babe Ruth,Lou Gehrig,Cy Young
187,"Which multiple MVP winner was called the Georgia Peach?
",Ty Cobb,Walter Johnson,Ty Cobb,Albert Belle,Eddie Murray
188,"This Baseball Hall of Famer is known as The Splendid Splinter.
",Ted Williams,Johnny Bench,Ted Williams,Joe DiMaggio,Hank Aaron
189,"Which Hall of Fame pitcher was known as Rapid Robert?
",Bob Feller,Bob Turley,Bob Esposito,Bob Miller,Bob Feller
190,"This former baseball player, called The Ol Perfesser, left his mark on the game as a manager.
",Casey Stengel,Miller Huggins,Earl Weaver,Connie Mack,Casey Stengel
191,"This baseball player appeared in 14 World Series, won the American League MVP Award three times and was elected to the Hall of Fame in 1972. His given name is Lawrence Peter but hes better known under what nickname?
",Yogi,Dutch,L.P.,Yogi,Larry
192,"This former baseball player called The Major won the World Series in his first two seasons as manager.
",Ralph Houk,Ralph Houk,Earl Weaver,Joe McCarthy,Dick Howser
193,"Which player for the New York Mets was called Choo-Choo?
",Clarence Coleman,Rusty Staub,Jerry Grote,Rod Kanehl,Clarence Coleman
194,"This baseball player, nicknamed True, was a three time 20-game winner for the Oakland As.
",Vida Blue,Jim Hunter,Dennis Eckersley,Vida Blue,Rollie Fingers
195,"Which New York Yankee pitcher was known as Louisiana Lightning?
",Ron Guidry,Fritz Peterson,Ron Guidry,Bob Turley,Mel Stottlemyre
196,"This baseball player, who started his career with the Texas Rangers in 1991 at the age of 19, is known as Pudge.
",Ivan Rodriguez,Rusty Greer,Alfonso Soriano,Doug Mirabelli,Ivan Rodriguez
197,"Dating back to 776 B.C., the ancient Olympic Games were held in the valley of Olympia in southwestern Greece, to honor this god.
",Zeus,Poseidon,Hermes,Zeus,Apollo
198,"This person, widely regarded as the founder of the modern Olympic Games, presented his ideas of reviving the Olympics at a 1894 congress, held in Paris.
",Pierre de Coubertin,Father Henri Martin Didon,Harold Abrahams,Gaston Doumergue,Pierre de Coubertin
199,"The parade of the nations is part of the opening ceremony of the Olympic Games. Since the1928 Summer Olympics, which nation traditionally leads the parade?
",Greece,The first country in alphabetical order,Greece,The country with the most medals from the last Olympics,The host country
200,"One of the most important symbols of the Olympic Games is the flag with five interlocking rings representing the unity of the continents. The rings appear in five colours, on white background. Why were the colours red, blue, green, yellow, and black chosen for the rings?
",Because each country at that time had one of these colours in its national flag,Because each of these colours is a symbol of one of the continents,Because these are the colours of Nature,None of these,Because each country at that time had one of these colours in its national flag
