,Questions,Correct,A,B,C,D
20,"This country is home to the northernmost capital in mainland Europe?
",Finland,Sweden,Denmark,Finland,United Kingdom
21,"It is the sixth largest country and home of The Doctor breeze.
",Australia,Ukraine,Canada,Australia,United Kingdom
22,"Its three-year-old Socialist government was overthrown in 1973 by a dictatorial military regime led by Augusto Pinochet.
",Chile,Peru,Paraguay,Chile,Uruguay
23,"This country dominates the Aegian Sea and possesses an archipelago of about 2,000 islands.
",Greece,Italy,Cyprus,Greece,Turkey
24,"This country controls the Sinai Peninsula.  Following the completion of the Suez Canal in 1869, it became an important world transportation hub.
",Egypt,Thailand,Egypt,Hong Kong,Libya
25,"This countrys national holidays include:
","Independence Day, 10 December (date of independence from Spain, 1898) ","20 May (independence from US administration, 1902)",Rebellion Day 26 July (1953),Cuba,Palestine
26,"The first American capital.  It has a nick name coined by musicians - it means  to play the big time.
",New York,Washington D.C.,New York,Boston,San Francisco
27,"The cable cars of this city are the only mobile National Monument.
",San Francisco,Oklahoma,San Francisco,Nevada,Los Angeles
28,"When broken down into kanji, the name of this capital city means “east” and “capital”.
",Tokyo,Nagoya,Osaka,Kyoto,Tokyo
29,"The Seine river divides this city into the Rive Droite (French for Right Bank) north of the river and the Rive Gauche (French for Left Bank) south of the river.
",Paris,Lille,Lyon,Marseille,Paris
30,"This city situated south of China is made up of 230 islands, Lantau Island being the largest.
",Hong Kong,Taipei,Peking,Shanghai,Hong Kong
31,"This city is the only one located on two continents.
",Istanbul,Kadis,Istanbul,Tanjer,Athens
32,"In the devilish year of  1666 a great fire occured in this European capital city. Half of it burned down.
",London,Rome,Paris,Vienna,London
33,"One of this citys most prominent landmarks is the Brandenburger Tor (Brandenburg Gate).  It once marked the boundary between East and West Germany.
",Berlin,Berlin,Munchen,Frankfurt,Bonn
34,"This city is famous for its water-channel traffic. It has been designated a World Heritage Site.
",Venice,Barri,Naples,Venice,Rome
35,"This Peruvian city is stuck between the desert and the sea. It is also known as “The City of the Kings”.
",Lima,Trujillo,Cuzco,Chimbote,Lima
36,"Which of these U.S. states is not a Four Corners state?
",Wyoming,New Mexico,Utah,Colorado,Wyoming
37,"The Appalachian Trail divides two states as it makes its trek through Great Smoky Mountains National Park. Name the states it divides.
",North Carolina and Tennessee.,New Hampshire and Maine.,North Carolina and Tennessee.,West Virginia and Maryland.,Georgia and Alabama.
38,"Is the state of North Carolina south of the Mason - Dixon line?
",Yes,Yes,No,,
39,"Sullivan street (in Sullivan County) serves as the state line, running east and west, effectively bi-locating this town in two states.  Name the city and the two states.
","Bristol, Tennessee, Virginia","Memphis, Tennessee, Arkansas","Bristol, Tennessee, Virginia","Latham,  Maryland,  Pennsylvania","Nogales, Arizona, New Mexico"
40,"The town of San Ysidro is located in what state, near what border?
","California, near the border with Mexico.","California, near the border with Mexico.","Washington, near the border with Oregon","California,  near the border with Arizona","Iowa, near the border with Missouri"
41,"The border between Georgia and Mississippi is also a time zone boundary.
",False,True,False,,
42,"Although Angel Falls bear the notion of something angelic, the phenomenon is named after Jimmy Angel, a barnstorming pilot from Missouri, who has become a modern legend.
",Venezuela,Argentina,Venezuela,Panama,Equador
43,"Mount Fuji is a nearly perfectly shaped volcano.  It has been worshipped as a sacred mountain.
",Japan,Thailand,China,Japan,Malaysia
44,"Mount Everest was formed some 50 million years ago. It rises a few meters each year because of geological forces. On the border between which two countries is this mount situated?
",China and Nepal,Sumatra and China,Thailand and Nepal,China and Nepal,Nepal and India
45,"From forest to desert, the Grand Canyon has the most extreme nature climate.
",USA,Mexico,Canada,USA,Brazil
46,"Through thousands of years in existence, Niagara Falls has been eroding at a rate of 4 feet (1.5 meters) per year.
",Canada,Mexico,Equador,Canada,Argentina
47,"The name of mount Kilimanjaro comes from Swahili and means the mountain that glitters.
",Tanzania,Tanzania,Zimbabwe,Uruguai,Zambia
48,"The Great Barrier Reef consists of many colonies of corals. That is why it is sometimes referred to as the largest living animal in the world.
",Australia,Armenia,Australia,Austria,Anrgentina
49,"Krakatoa volcano caused the most violent volcanic eruption recorded in worlds history.  In 1883, it destroyed 75 % of the territory of its island.
",Indonesia,Thailand,Malaysia,Indonesia,Surinam
50,"Local Batonga people had named Victoria Falls Mosi-Oa-Tunya, which stands for “the smoke that thunders”.
",Zimbabwe,Malawi,Zimbabwe,Mozambique,Namibia
51,"The scientific name for the Northern Lights phenomenon is “Aurora Borealis. They are often mistaken for UFOs.  Where do they happen?
",In the northern part of our planet,In the southern part of our planet,On the Equator,In Newfoundlend,In the northern part of our planet
52,"Nicknamed the Grand Canyon State, it entered the Union on Feb 14, 1912.
",Arizona,Utah,Nevada,New Mexico,Arizona
53,"This US state, nicknamed The Sunshine State, is famous with its beaches and theme parks.
",Florida,Texas,California,Georgia,Florida
54,"Nicknamed the Treasure State, this western US state is fourth largest in area.
",Montana,Nevada,Oregon,Montana,California
55,"Nicknamed the Ocean State, it is the smallest US state.
",Rhode Island,Hawaii,Delaware,New Hampshire,Rhode Island
56,"The Beehive State requested admission to the Union in 1849 under the name Deseret.  After polygamous marriage practices were discontinued, it was finally admitted in 1896, under what name?
",Utah,Arizona,Colorado,South Dakota,Utah
57,"Nicknamed the Green Mountain State, this eastern US state was admitted to the Union on March 4, 1791.
",Vermont,Vermont,Pennsylvania,Connecticut,Delaware
58,"Nicknamed The Buckeye State, it is the birthplace many former US presidents, including Ulysses S. Grant.
",Ohio,Nebraska,Iowa,Ohio,Indiana
59,"This US state, known as the Equality State, is home of Devils Tower, featured in the movie Close Encounters of the Third Kind.
",Wyoming,North Dakota,Wyoming,Idaho,Washington
60,"Home on the Range is the state song of this US mid-western state, known as The Sunflower State.
",Kansas,Kansas,Nebraska,Indiana,Illinois
61,"This Bluegrass State hosts a famous horserace in Louisville, and is the birthplace of President Abraham Lincoln.
",Kentucky,Kentucky,Kansas,Nebraska,Illinois
62,"This volcano, featured in a short 1933 Academy Award-winning movie, is located near the Indonesian island of Rakata, in the Sunda Strait.
",Krakatoa,Ruapehu,Krakatoa,Kilauea,Pinatubo
63,"Located in Tanzania, it is Africas highest mountain.
",Mount Kilimanjaro,Mount Kenya,Maromokotro,Mount Kilimanjaro,Ras Dascian
64,"One of the most intriguing attractions of Venice is Ponte dei Sospiri, which means this in English.
",The Bridge of Sighs,The River of Tears,The Bridge of Sighs,The Street of Sorrow,The House of Death
65,"If you think you can see the Statue of Liberty only in New York City, think again! I went to this huge European city and saw it right there, standing near the Grenelle Bridge and looking towards the Atlantic Ocean, facing its larger sister in New York Harbor.
",Paris,Paris,Madrid,London,Barcelona
66,"When I visited this lonely continent I was so moved by the spherical-sectioned shells of the opera house in this city.
",Sydney,Sydney,Melbourne,Brisbane,Adelaide
67,"Madrid is the largest city and capital of this country, whose the most valuable natural resource is the soil - nearly one-third of the land is suitable for cultivation.
",Spain,Spain,Portugal,Argentina,Brazil
68,"Bern is the capital of this country, where most rivers are not suitable for navigation due to their great falls and swift currents.
",Switzerland,Denmark,Sweden,Finland,Switzerland
69,"Ulaan Baator is the capital of this sparsely populated country, where domesticated animals outnumber people.
",Mongolia,Chile,Brazil,Mongolia,Uruguay
70,"This countryâ€™s capital, Sucre, is nicknamed â€œthe white cityâ€ because most of the colonial buildings in the city centre are white.
",Bolivia,Bolivia,Pakistan,Honduras,Kenya
71,"This country is about the size of California but has about one -sixth of its population. Its capital city is AsunciÃ³n.
",Paraguay,Cuba,Paraguay,Peru,Honduras
72,"Vientiane is the capital of this country, which has more than 50 ethnic groups, divided into three broad categories.
",Laos,North Korea,Vietnam,Laos,Cambodia
73,"Phnom Penh is the capital of this country, whose official language is Khmer.
",Cambodia,Cambodia,South Vietnam,Laos,North Vietnam
74,"Vienna is the capital of this landlocked country, which became a member of the European Union in 1995.
",Austria,Australia,Belgium,Austria,Germany
75,"Montevideo is the capital of this second smallest country in South America, after Suriname.
",Uruguay,Paraguay,Bolivia,Chile,Uruguay
76,"Caracas is the capital of this country, a Spanish colony for more than 300 years, before it declared its independence in the early 19th century.
",Venezuela,Peru,Columbia,Venezuela,Chile
77,"Prince Henry the Navigator contributed to the Great Geographical Discoveries by leading all Portuguese expeditions.
",False,True,False,,
78,"In 1488, a bold captain named Bartholomew Diaz gave the name Cape of Storms to the most southern African tip.  However, the Portuguese King altered the name to this.
",Cape of Good Hope,Cape Cod Bay,Cape of Breakers,Cape of Good Hope,Cape of South Africa
79,"With the aid of Queen Isabella of Spain, Christopher Columbus set off in 1492 using three tiny ships.  One of these ships was not part of the expedition.
",The Victoria,The Santa Maria,The Pinta,The Victoria,The Nina
80,"Which of the following pairs (explorer - region he discovered) is not correct?
",Cabral - Uruguay,Cortez - Mexico,Pizarro - Peru,Cabral - Uruguay,Vespucci - Argentina
81,"None of these  could be found in Europe before the Great Geographical Discoveries:
","tatoes, chocolate, cocoa, quinine, tobacco, cabbage, cane-sugar, furs, whale oil, indigo, tea, coffee, porcelain, and cotton silks .",False,True,False,
82,"The Great Geographical Discoveries led to the spreading of colonialism and imperialism and even exploitation.
",True,True,False,,
83,"How did the political life in England, Spain and France change as a result of the geographical discoveries?
",They turned into strong monarchies with rich and autocratic monarchs,Peasants rebelled and took over,The political life did not change significantly,They were weakened because their armies were spread thin on other continents,They turned into strong monarchies with rich and autocratic monarchs
84,"Which of the following was not a cause of the Great Geographical Discoveries?
",The Portuguese King thought his admirals would dethrone him and he wanted to send them away.,The Portuguese King thought his admirals would dethrone him and he wanted to send them away.,Many new inventions like the compass helped the sailors a lot.,The Turks controlled the land route to India. That forced the Western countries to seek alternative routes.,Western monarchs along with the Pope wanted to spread their influence through converting the newly discovered nations to Christianity.
85,"Trenton is the capital of this eastern state.
",New Jersey,Maryland,New York,New Jersey,Connecticut
86,"Juneau is the capital of this last frontier state.
",Alaska,Utah,Alaska,California,Nevada
87,"Columbus discovered the Americas in 1492, and is rewarded with this midwestern state naming its capital after him.
",Ohio,North Carolina,South Carolina,Ohio,Georgia
88,"Helena is this Rocky Mountain states capital.
",Montana,Nevada,California,Wyoming,Montana
89,"Richmond is the capital of this state where many US presidents were born.
",Virginia,Maryland,Virginia,West Virginia,Delaware
90,"The capital of this diverse northwestern state is Salem.
",Oregon,Massachusetts,Oregon,New Hampshire,Washington
91,"This state, which houses one of the largest cities in the world, has Albany as its capital.
",New York,New York,New Mexico,Georgia,Minnesota
92,"Jefferson City serves as the capital of this Midwestern state.
",Missouri,Texas,California,Missouri,Florida
93,"The capital of this southern state is also known as music city.
",Tennessee,Delaware,Tennessee,Kentucky,Georgia
94,"Carson City is the capital of this Battle Born State.
",Nevada,Arizona,Nevada,California,Utah
95,"Tallahassee is situated on the panhandle of this southern state and serves as its capital.
",Florida,Pennsylvania,Florida,North Dakota,California
96,"If you are in Sacramento, the capital of this western state, you are within a days drive to beautiful beaches, high mountains with famous national parks, and one of the deepest, most picturesque lakes in the world.
",California,Arizona,California,Utah,Washington
97,"Austin is the capital of this US state which once existed as an independent republic.
",Texas,Texas,Maine,Georgia,South Carolina
98,"This northeast state has Augusta as its capital.
",Maine,New Hampshire,Maine,Pennsylvania,Vermont
99,"This southern state has many beaches, an incredible fort from the revolutionary war, and Columbia as its capital.
",South Carolina,South Carolina,Ohio,Illinois,North Carolina
100,"This midwestern state has Madison as its capital.
",Wisconsin,Wisconsin,Indiana,Kentucky,Illinois
101,"Salt Lake City, known for the salty, barren desert lake to the west of the city, was founded by mormons and is the capital of this geographically diverse state.
",Utah,Utah,South Dakota,Nevada,North Dakota
102,"This eastern state with rich history has Annapolis as its capital.
",Maryland,Maryland,New Mexico,New Jersey,Virginia
103,"Springfield is the capital of this midwestern state.
",Illinois,Kentucky,Missouri,Illinois,Ohio
104,"Only this one of the seven wonders of the world survived the trials of time and is open to visitors.
",Great Pyramid of Giza,Colossus of Rhodes,Statue of Zeus at Olympia,Great Pyramid of Giza,Lighthouse of Alexandria
105,"A wonder of the ancient world was built on the territory of all of these modern-day countries, but one.  Which is the odd one?
",Syria,Iraq,Syria,Egypt,Turkey
106,"In what century was the original version of the Seven Wonders of the World list created by Antipater of Sidon?
",2nd century BC,6th century BC,2nd century BC,7th century AD,3th century AD
107,"The Great Pyramid of Giza, the oldest of the Seven Wonders of the Ancient World, was built approximately how long ago?
",4500 years ago,1000 years ago,2000 years ago,700 years ago,4500 years ago
108,"According to legends, what was the purpose of the most mysterious of the Seven Wonders of the Ancient World -- The Hanging Gardens of Babylon?
",Comfort a rulers wife,Resemble the Heavens,Please the gods,Comfort a rulers wife,Provide a place of solace and recreation for the rulers
109,"The Statue of Zeus, a Wonder of the Ancient World created in the ancient city of Olympia in 435 BC, was made primarily of what material?
",Ivory,Copper,Gold,Marble,Ivory
110,"Built in honor of the Greek goddess Artemis, the Temple of Artemis was an enormous architectural construction for its time. In Greek mythology, Artemis is the goddes of what?
",Hunt and the moon,"Wisdom, strategy, and war",Beauty and Love,"Plague, beauty, light, healing, colonists, medicine",Hunt and the moon
111,"Like the Great Pyramid of Giza, the Mausoleum of Maussollos is the burial place of an ancient ruler - king Mausollos of Caria. Who conceived the idea of building this ancient wonder of the world?
",Maussolloss sister,Maussolloss best friend and advisor,Maussolloss son,Maussolloss sister,Maussolloss brother
112,"The Colossus of Rhodes was a giant statue, erected at the Greek island Rhodes harbor in 3rd century BC. Which ancient Greek god did the statue depict?
",Helios,Ares,Helios,Zeus,Eurus
113,"The Lighthouse of Alexandria, the only one of the Seven Wonders, which had a practical use in addition to architectural elegance, included this remarkable device that astonishes even modern researchers.
",A huge mirror,A huge mirror,A telescope,A heavy catapult,A windsock
114,"Over 125 million people of more than 250 ethnic groups share the territory of this African country. This constitutes 1/5 of the population of the entire continent.
",Nigeria,Nigeria,Egypt,Zaire,South Africa
115,"There is a vending machine for every 23 of the almost 130 million people that live in this country.
",Japan,China,Singapore,Japan,Korea
116,"Dhaka, formerly Dacca, is the capital and largest city of this  country with over 140 million citizens.  Families there are large, unfortunately so is infant mortality.
",Bangladesh,Ecuador,Pakistan,Nauru,Bangladesh
117,"This home to 144 million spans 11 time zones and its territory takes up 1/8th of the entire Earth surface.
",Russia,Australia,Canada,USA,Russia
118,"Islam, Christianity and Hinduism all coexist in this country of 160 million.
",Pakistan,Bangladesh,Pakistan,Iran,Iraq
119,"About 75% of the 185 million citizens of this country live in the cities. The largest city is Sao Paulo with a population of 16 million.
",Brazil,Peru,Brazil,Bolivia,Argentina
120,"Constituted of 17,508 islands this country gives home to about 240 million. Its tropical rain forest accounts for 10% of the worlds rain forests.
",Indonesia,Bali,Singapore,Malaysia,Indonesia
121,"It is home of almost 300 million.  There were millions of buffaloes before the first settlers arrived, but urbanization has been a factor in their decrease.
",USA,Canada,Mexico,Australia,USA
122,"The first medical school, Ayurveda was founded in this populous country.
",India,Israel,India,Pakistan,China
123,"This is the most populated country in the world - 1.3 billion people live there.  The native language, Mandarin, is most widely spoken, with 885 million speakers.
",China,Japan,India,China,South Korea
124,"The famous Bull Run is held in this Spanish city.
",Pamplona,Valencia,Pamplona,Cordoba,Barcelona
125,"This American city used to be called  El Pueblo de Nuestra Senora la Reina de (blank) de Porciuncula.
",Los Angeles,Las Vegas,New York,Los Angeles,Kansas
126,"This East European capital city is famous for its wide, tree-lined boulevards and glorious Belle Epoque buildings. Some call it Little Paris because of these buildings.
","Bucharest, Romania","Belgrade, Serbia","Sofia, Bulgaria","Athens, Greece","Bucharest, Romania"
127,"The famous Forbidden City located in this Chinese city.
",Beijing,Fujian,Beijing,Guangdong,Yunnan
128,"This Indian city was the capital of Mogul sovereigns from 1526 to 1658.  Its most notable building is the Taj Mahal.
",Agra,Agra,Varanasi,Mumbay,Jaipur
129,"Indian city again. This one, founded in 1727 AD  is known as The Pink City and is often visited by honeymooners.
",Jaipur,Delhi,Jaipur,Bengal,Agra
130,"In close proximity to this Italian city are the famous ruins of Pompeii, which once was a thriving town for wealthy Romans. The city of Pompeii was destroyed in the cataclysmic eruption of Mount Vesuvius in 79 AD.
",Naples,Bologna,Venice,Naples,Rome
131,"This city is famous for the fact, that a living goddess dwells there.  She is a young girl by the name of Kumari,  believed to have appeared in the 18th century.
",Katmandu,Tansen,Kurari,Pokhara,Katmandu
132,"The name of this 5th largest city in North America originates from a Mohawk word, meaning where there are trees standing in the water.
",Toronto,Toronto,Quebec,Montreal,Ottawa
133,"The name of this city means the capital in the native language.  It is the capital of South Korea.
",Seoul,Seoul,Taegu,Taejeon,Pusan
134,"This state, officially nicknamed The Golden State, is situated in the southern half of the west coast of the USA.
",California,Florida,Utah,California,Miami
135,"This mid-Atlantic state is called The First State due to the fact that it was the first to ratify the US Constitution.
",Delaware,Columbia,Georgia,Maine,Delaware
136,"Widely known for huge gambling and the legalization of gambling industry, this states official nickname is The Silver State.
",Nevada,Kansas,Nevada,Florida,Alaska
137,"Due to its natural beauty and relative wilderness, this Southern state is called The Natural State.
",Arkansas,Arkansas,Alabama,Alaska,Arizona
138,"This state of the New England region of the United States has the nicknames Pine Tree State and Vacationland.
",Maine,Michigan,Maryland,Massachusetts,Maine
139,"Which Southern state of the United States has a nickname The Magnolia State and a name that is the same as that of a big river?
",Mississippi,South Dakota,Mississippi,South Carolina,Colorado
140,"This state, located in the mid-Atlantic region of the USA, has a capital called Trenton and is usually nicknamed The Garden State.
",New Jersey,Wyoming,New Jersey,Rhode Island,Maine
141,"Nicknamed after the international park located in it, this state is often called The Peace Garden State.
",North Dakota,North Dakota,Oregon,South Dakota,Tennessee
142,"What is the real name of the Evergreen State, situated in the Pacific Northwest of the United States.
",Washington,Pennsylvania,New Jersey,Massachusetts,Washington
143,"This small Mountain Sate is located in the region of Appalachia in the Eastern parts of the USA.
",West Virginia,New Jersey,Pennsylvania,East Virginia,West Virginia
144,"This country, a victor in both World War I and World War II is the largest West European nation.
",France,Spain,United Kingdom,France,Germany
145,"After multiple agreements between 1772 and 1795, Russia, Prussia, and Austria divided this central European country among themselves.  It finally regained its independence in 1918.
",Poland,Slovakia,Belarus,Germany,Poland
146,"This Central America country, slightly smaller than South Carolina, withdrew from Colombia in 1903 with the help of US support.
",Panama,Chile,Panama,Ecuador,Venezuela
147,"In 1895, military defeat forced China to cede this country to Japan. China re-gained control after World War II.
",Taiwan,Thailand,Hong Kong,Singapore,Taiwan
148,"This kingdom was a founding member of NATO and the EU.  It remained neutral during World War I, but was invaded and occupied by Germany during World War II.
",Netherlands,Denmark,Switzerland,Netherlands,Belgium
149,"This island country tried to gain its independence from Spain in 1821, but was conquered and ruled by the Haitians for 22 years.  It finally became independent in 1844.
",Dominican Republic,Peru,Chile,Dominican Republic,Costa Rica
150,"This independent country, located in Southeastern Asia was first colonized by Portugal in the 16th century.  Between 1976 and 1999 it was a provice of Indonesia.
",East Timor,Brunei,Myanmar (formerly Burma),East Timor,Philippines
151,"This Southeast European country allied with the Axis powers and participated in the 1941 German invasion of the USSR.  In 1947, overrun by the Soviets, it bacame a Communist peoples republic.
",Romania,Hungary,Yugoslavia,Slovenia,Romania
152,"This powerful world empire of the 16th and 17th centuries borders Andorra, France, Gibraltar, Portugal and  Morocco.
",Spain,France,Tunisia,Algeria,Spain
153,"Frances conquest of this country began in 1858 and was completed by 1884.  Independence was declared after World War II, but the French continued to rule until 1954.
",Vietnam,Tunisia,Morocco,Vietnam,Algeria
154,"Who is the little brother of Ralphie, the main character of A Christmas Story?
",Randy,Rascal,Rudy,Rocky,Randy
155,"In the movie A Christmas Story, which of Ralphies friends gets his tongue stuck to a pole?
",Flick,Scutt,Schwartz,Grover,Flick
156,"What does Ralphies dad win in A Christmas Story?
",Womans Leg Lamp,Womans Leg Trophy,Womans Leg Lamp,Womans Leg Can Opener,Womans Leg Statue
157,"In A Christmas Story which famous piece of music always played in the background, when the bully and his minion entered a scene?
",Peter and the Wolf,Ode to Joy,William Tell Overture,Pachelbels Canon,Peter and the Wolf
158,"What present does Ralphie want more than anything in the film A Christmas Story?
",Red Ryder BB Gun,Slingshot,Bow and Arrow,Red Ryder BB Gun,Brandywine Cannon
159,"In the movie A Christmas Story, when Ralphies mother puts soap in his mouth to teach him a lesson,
",at effect does he imagine the soap will have on him in the future?,He goes blind,He goes blind,He goes mute,He goes deaf
160,"Where do the Parkers end up having Christmas dinner in the film A Christmas Story?
",Chinese Restaurant,Chinese Restaurant,Goldblatts Department Store,The Bumpass,Griffith
161,"What favorite television show did the film A Christmas Story inspire?
",The Wonder Years,That 70s Show,Full House,Happy Days,The Wonder Years
162,"Christmas is the Christian holiday that celebrates the birth of Christ.  Christ was born in this city, according to the Bible.
",Bethlehem,Nazareth,Jerusalem,Bethlehem,Rome
163,"In the United Kingdom, what holiday is December 26th?
",Boxing Day,Perihelion,Boxing Day,Candlemas,St Patricks Day
164,"Christmas celebrations in the Soviet Union were banned after the Russian Revolution.
",True,True,False,,
165,"Finish the popular Christmas carol:
",,lent night Holy night,l is calm all is bright,und yon virgin Mother and Child,ly infant ...
166,"ent night Holy night
",l is calm all is bright,und yon virgin Mother and Child,ly infant ...,so tender and mild,so tender and mild
167,"The origins of the widespread tradition of decorating a Christmas tree can be traced back to the 16th century, in this country.
",Germany,The United States,France,Russia,Germany
168,"For Catholics, Protestants and most Orthodox Christians, the 25th of December is celebrated as Christmas. However, the Jerusalem, Russian, Coptic, Serbian and Georgian Orthodox churches celebrate the birth of Jesus on this date.
",January 7,December 31,February 15,January 7,November 25
169,"The burning of the Yule Log is one of many Christmas traditions that come from the Yule festival. Do you know what this tradition symbolizes?
",The returning light,The mortality of humans,The returning light,The Holy Spirit,The life-cycle
170,"Jingle Bells, undoubtedly one of the most famous Christmas songs in the world, was written in 1857 by this person.
",James Pierpont,Joyce Ballantyne,Iza Trapani,Haddon Sundblom,James Pierpont
171,"Three of these names are of reindeers of Santa Claus. Which is the odd one?
",Clement,Comet,Rudolph,Clement,Donder
172,"Even though Jack Nicholson and Eddie Murphy were considered for the role of the Grinch in the 2000 movie, How the Grinch Stole Christmas, this man was the one who played the part.
",Jim Carrey,Al Pachino,Jim Carrey,Danny DeVito,Eddie Griffin
173,"Known as the Triumphant City, this place is one of the largest urban settlements which features both Christian and Islamic monuments.
",Cairo,New York,Moscow,Lima,Cairo
174,"The biggest mosque in India, called Jama Masjid, is situated in this city, which is considered the heart of the country.
",Delhi,Jaipur,Delhi,Bombay,Calcutta
175,"What is the capital of the biggest Muslim-majority country, which is officially not a city but a province?
",Jakarta,Jakarta,Ankara,Kairo,Istanbul
176,"This city originated from a Muslim settlement near the Pasig River in a country, which was a colony of Spain for almost three centuries.
",Manila,Lima,Afghanistan,Seoul,Manila
177,"This city is located in the province Sindh in Pakistan, on the cost of the Arabian Sea.
",Karachi,Beijing,Hanoi,Karachi,Sydney
178,"This big city, originally named Naniwa, is famous for a huge aquarium called Kaiyukan.
",Osaka,Osaka,Seoul,Kobe,Delhi
179,"Which big capital city is famous for being the site of the magnificent Saint Basils Cathedral?
",Moscow,Dhaka,London,Moscow,Paris
180,"This Latin Amrican city, known also as the City of the Holy Trinity, is located on the southern shore of the RÃ­o de la Plata.
",Buenos Aires,Buenos Aires,Lima,Mexico City,Sacramento
181,"This city is situated at the foot of the Alborz mountain range and one of its most famous landmarks is the Azadi Tower.
",Tehran,Shanghai,Lagos,Calcutta,Tehran
182,"Which city, known as the City of Light, was originally called Lutetia in Latin?
",Paris,Paris,London,Rome,Vienna
183,"Who was the first person to sign the the United States Declaration of Independence?
",John Hancock,John Adams,Benjamin Franklin,Thomas Jefferson,John Hancock
184,"Puerto Rico is a territory of the United States.
",True,False,True,,
185,"What was the last state to join America?
",Hawaii,Alaska,Hawaii,Florida,New Mexico
186,"In 1776 America declared independence from what country?
",Great Britain,Spain,Great Britain,Mexico,France
187,"Where did the first people on North America cross to get to America?
",Beringa,The Atlantic Ocean,The Pacific Ocean,Theajs,Beringa
188,"George Washington signed the Declaration of Independence.
",False,False,True,,
189,"What is the highest mountain peak in the United States?
",Mount McKinley,Mount McKinley,Mount Rushmore,Mount Hood,Mount St. Helens
190,"What country gave the Statue of Liberty to America?
",France,Italy,France,Great Britain,Spain
191,"What was the first state to ratify the US Constitution and therefore the first state of the United States of America?
",Delaware,Delaware,New Jersey,Pennsylvania,New York
192,"Who was the first American on the moon?
",Neil Armstrong,Buzz Aldrin,John Young,Michael Collins,Neil Armstrong
193,"What year was the classic Christmas movie â€œItâ€™s A Wonderful Life released?
",1946,1941,1939,1946,1955
194,"In the classic Christmas movie â€œItâ€™s A Wonderful Life,â€ what is the name of the town that George Bailey lives in?
",Bedford Falls,Junction City,Bedford Stuyvestant,Bedford Falls,Middle Village
195,"In the movie â€œItâ€™s A Wonderful Life,â€ what is the name of the guardian angel that looks after George in his time of need?
",Clarence Oddbody,Sam Wainright,Carl Switzer,Clarence Oddbody,Bartleby
196,"In the movie â€œItâ€™s A Wonderful Life,â€ Drew Barrymores great grand uncle plays the role of crusty Mr. Potter.
",True,True,False,,
197,"In the movie â€œItâ€™s A Wonderful Life,â€ George gets beaten up by drugstore owner Mr. Gower, who happened to be drunk at the time. Ultimately, George saves Mr. Gower from putting poison in a drug prescription. What propelled Mr. Gower to getting drunk that day?
",He just learnt about the death of his son.,He just learnt about the death of his son.,He just turned 50 and was depressed.,He was an obsessive drinker.,It was his 25th wedding anniversary.
198,"In the classic movie â€œItâ€™s A Wonderful Life,â€ George and Mary were at the gym dancing in a contest. What kind of contest was it?
",Charleston,Charleston,Waltz,Tango,Hop
