,Questions,Correct,A,B,C,D
26,"This American actor was one of the child stars of The Goonies and also played a brave and helpful hobbit in Lord Of The Rings.
",Sean Astin,Orlando Bloom,Garrett Hedlund,Sean Astin,Norman Reedus
27,"This American actor has received two Academy Award nominations for Best Actor in a Leading Role, winning it once for his portrayal of a suicidal alcoholic in Leaving Las Vegas.
",Nicholas Cage,Steve Buscemi,Nicholas Cage,Macaulay Culkin,Danny Glover
28,"This British actor came to fame playing a drug addict in Trainspotting and has appeared in a variety of independent and blockbuster movies, including the recent Star Wars films.
",Ewan McGregor,Ian McKellen,Ryan Reynolds,Norman Wisdom,Ewan McGregor
29,"This American is an actor, producer, director and general philanthropist.  He is responsible for setting up the Sundance Independent Film Festival.
",Robert Redford,Stephen Dorff,Matthew Broderick,Nick Nolte,Robert Redford
30,"This British actor is mainly known for his portrayal of a schoolboy wizard, but has also appeared on stage naked!
",Daniel Radcliffe,Frank Converse,Kenneth Branagh,Ewan McGregor,Daniel Radcliffe
31,"This versatile young actor has played a diverse range of characters in films, but is known best as a heroic little hobbit in Peter Jacksons blockbuster trilogy of Lord Of The Rings.
",Elijah Wood,Haley Joel Osment,Elijah Wood,Ryan Reynolds,Edward Speleers
32,"This British actor is probably best known for playing the villain Blofeld in the James Bond series of films and Dr. Loomis in the Halloween movies.
",Donald Pleasence,Stuart Townsend,Samuel West,Donald Pleasence,Tom Baker
33,"Which actor, who played Legolas in The Lord of the Rings trilogy, was born on January 13, 1977?
",Orlando Bloom,Elijah Wood,Sean Astin,Orlando Bloom,Viggo Mortensen
34,"What more than 10-time Grammy Award winning pop singer was born on February 2, 1977.
",Shakira,Nelly Furtado,Pink,Mya,Shakira
35,"This actress, who starred in the movie I Know What You Did Last Summer, was born on April 14, 1977. What is her name?
",Sarah Michelle Gellar,Rachael Leigh Cook,Jennifer Love Hewitt,Sarah Michelle Gellar,Brandy
36,"Which singer, born on January 28, 1977, was a member of the popular boy-band N Sync?
",Joey Fatone,Joey Fatone,Lance Bass,Nick Carter,Justin Timberlake
37,"This actor, who is also an animal rights activist, was born on August 2, 1977. He was arrested in Kentucky for attempting to free lobsters from a grocery store.
",Edward Furlong,Chris Klein,Macaulay Culkin,Edward Norton,Edward Furlong
38,"What instrument did Louis Armstrong play?
",Trumpet,Saxophone,Trumpet,Clarinet,Violin
39,"What instrument did jazz musician Benny Goodman play?
",Clarinet,Drums,Flute,Clarinet,Saxophone
40,"Prince can play the drums.
",True,False,True,,
41,"Matt Cameron, who has been a member of Soundgarden and Pearl Jam, plays what instrument?
",Drums,Keyboards,Drums,Bass,Guitar
42,"Bobby Militello of The Dave Brubeck Quartet plays the piano.
",False,False,True,,
43,"Adam Yauch, one of the founding members of the Beastie Boys, plays which of the following instruments?
",Bass,Turntable,Bass,Keyboards,Guitar
44,"Buddy Guy played a Fender Stratocaster.
",True,True,False,,
45,"David Bowie plays many instruments, which of the below does he also play?
",Cello,French Horn,Cello,Flute,Bass
46,"Nick Rhodes from Duran Duran plays what instrument?
",Keyboards,Keyboards,Tuba,Symbols,Drums
47,"What is the middle name of John Stamos?
",Phillip,Jesse,Ronald,Roy,Phillip
48,"Actor John Stamos didnt play in which one of these shows?
",Different Strokes,Full House,General Hospital,Different Strokes,ER
49,"John Stamos original family name was Stamotopoulos.
",True,False,True,,
50,"John Stamos dated singer and American Idol judge, Paula Abdul.
",Yes,No,Yes,,
51,"Was John Stamos cast in the role of the main character Jake in Jake in Progress?
",Yes,Yes,No,,
52,"The TV sitcom Fullhouse ran on ABC for how many seasons?
",8,1,6,8,11
53,"John Stamos was born in Cypress, California on what date?
","August, 19","August, 2","August, 19","July, 11","August, 12"
54,"Did Rebecca Romijn and John Stamos divorce in 2005?
",Yes,Yes,No,,
55,"John Stamos appeared in an episode of Friends.
",True,True,False,,
56,"The song A Day in the Life, from the Beatles Sgt. Peppers album, contains a Paul McCartney death clue that supposedly reveals what?
",The manner of Pauls death,Pauls age when he died,Who took Pauls place in the band,The manner of Pauls death,Why Pauls death was kept a secret
57,"Who took Paul McCartneys place in the Beatles, according to a death clue in the song Sgt. Peppers Lonely Hearts Club Band on the album of the same name?
",Billy Shears,Mr. Kite,Sgt. Pepper,Billy Shears,An unnamed replacement
58,"The Paul is dead myth holds that Paul McCartney died on November 9, 1966.  Which of the following is not a clue suggesting that date?
",The Beatles had released nine albums by the time Paul supposedly died.,"The bass drum on the Sgt. Peppers album cover has a hidden message, visible by holding a mirror through the middle of the drum, indicating 11/9.","The lyrics of Shes Leaving Home include the line, Wednesday morning at five oclock, and November 9, 1966, was a Wednesday.",The repetition of number nine in the song Revolution 9 means November nine.,The Beatles had released nine albums by the time Paul supposedly died.
59,"Richard Kiel, who is 72 tall, remains best known for which role in the James Bond movies?
",Jaws,Jaws,Mr. Kidd,Largo,Mister Big
60,"Sean Connery was placed third in the tall mans division of 1953 Mr. Universe Bodybuilding Contest.
",True,True,False,,
61,"Which of the following James Bond movies, starring Sean Connery, was released first?
",Dr. No,Thunderball,Never Say Never Again,From Russia with Love,Dr. No
62,"What of these was the last movie Sean Connery made?
",The League of Extraordinary Gentlemen,Finding Forrester,The League of Extraordinary Gentlemen,First Knight,The Avengers
63,"Sean Connery was offered a role in The Matrix but turned it down.
",True,True,False,,
64,"Sean Connery has done voice-over work in a video game.
",True,True,False,,
65,"Sean Connery got tattoos while he was in the Navy.
",True,False,True,,
66,"Why was Sean Connerys service in the Navy shortened?
",stomach ulcer,Bad conduct,none of the above,injury to his back,stomach ulcer
67,"This actor gave his voice to the popular animated cartoon cat Garfield. He was also known as the voice of Carlton, the doorman on the television comedy Rhoda, a spin-off of the Mary Tyler More Show.
",Lorenzo Music,Lorenzo Music,Billy Gilbert,Ernie Sabella,Peter Falk
68,"An elephant in Dumbo, the Queen of Hearts in Alice in Wonderland, and Flora in Sleeping Beauty were some of the best roles of this voice actress.
",Verna Felton,Edith Head,Nancy Cartwright,Lucille La Verne,Verna Felton
69,"You remember this actress voice from Mulan (Grandmother Fa), Cinderella (Lucifer the Cat) and The Smurfs (Jokey Smurf and Mother Nature). She was also Granny, the owner of Tweety and Sylvester the cat.
",June Foray,Adriana Caselotti,Mary K. Bergman,Shaaron Claridge,June Foray
70,"Which of these characters was voiced by Adriana Caselotti, an Italian-American actress of a musical family?
",Snow White,Roger Rabbit,Snow White,The Little Mermaid,Cinderella
71,"This TV and voice actor is from a Jewish family from Greece. He has had many voice roles (numerous characters on the The Simpsons, Eddie Brock in the Spider-Man animated series), several Emmys, and roles in many movies and TV shows.
",Hank Azaria,Mike Judge,Johnny Knoxville,Hank Azaria,Paul Giamotti
72,"To which of these animated films has popular American actress and voice artist, Mae Questel not contributed?
",Micky Mouse,Who Framed Roger Rabbit,Popeye the Sailor,Micky Mouse,Betty Boop
73,"This remarkable ventriloquist voiced Scooby-Doo, Papa Smurf, Astro (the Jetsons dog), Hampton Pig, Boo-Boo (Yogi Bears buddy) and Ruff from Ruff n Reddy.
",Don Messick,Don Messick,Thurl Ravenscroft,Trey Parker,Hans Conreid
74,"This voice actor was often called the king of the movie trailer, having voiced the trailers for over 3,000 movies. He is given credit for such movie clichÃ©s as A one man army.... and In a world, where....
",Don La Fontaine,Isaac Hayes,Peter Cullen,Don La Fontaine,Melvin Franklin
75,"This actor from Paterson, New Jersey voiced Joe Swanson in Family Guy, Kronk in The Emperors New Groove, and Tick in TV series, Tick.
",Patrick Warburton,Mike Judge,Daws Butler,Tex Brasher,Patrick Warburton
76,"Bill Scott, a voice actor, writer, and producer of animated cartoons, primarily in association with Jay Ward, was the voice of three of these characters. Name the one he did not voice.
",Boris Badenough,Boris Badenough,Bullwinkle,Mr. Big,George of the Jungle
77,"This American actress, born in Paris, is best known for voicing Lisa Simpson from The Simpsons series. She also appeared on the situation comedies Hermans Head and Dharma and Greg.
",Yeardley Smith,Julie Kravner,Yeardley Smith,Nancy Cartwright,Daniella Castellaneta
78,"Her name is Memphis Eve. Who is her famous dad?
",Bono,Bono,Todd Rundgren,Shaquille ONeal,Gregg Allman
79,"He changed his family name to separate himself from his famous uncle, but he named his son Kal-El.
",Nicholas Cage,Jack Black,Nicholas Cage,Elliot DePalma,John Soderburgh
80,"She has named her children Six, Seven, Fly and Puma.
",Erykah Badu,Erykah Badu,Shakira,Mel B.,Mel C.
81,"This Hawaiian born actress/singer starred in A Knights Tale; Kiss, Kiss, Bang, Bang; and appeared as a guest star on several TV shows. She named her son Audio Science Clayton.
",Shannon Sossamon,Edie Falco,Shannon Sossamon,Keira Knightly,Bette Midler
82,"Singer Sarah McLachlan has children named India Ann Sushil and Tajah Summer.
",True,False,True,,
83,"This actor and friend of Jimmy Stewart served on board the U.S.S. destroyer, Satterlee. He served honorably in war, yet his daughter spent most of her early life protesting the Vietnam War.
",Henry Fonda,Robert Mitchum,Kirk Douglas,John Wayne,Henry Fonda
84,"It was clear...frankly my dear, he did give a damn. He served honorably in WWII in the air force.
",Clark Gable,Spencer Tracy,Clark Gable,Douglas Fairbanks,Lee Marvin
85,"Nicolas Cage played one of the protagonists in the movie Fast Times at Ridgemont High.
",False,True,False,,
86,"In which of these movies has Nicolas Cage not appeared?
",Crash (2004),Face Off,Crash (2004),Con Air,The Family Man
87,"What was the occupation of Nicolas Cages character in the movie It Could Happen to You?
",a police officer,a painter,a lawyer,a judge,a police officer
88,"In which of these movies does Nicolas Cage play an arms dealer?
",Lord of War,Warlord,The Warlords,Lord of War,War
89,"Which of these war movies stars Nicolas Cage?
",Windtalkers,Black Hawk Down,Saving Private Ryan,Windtalkers,Thin Red Line
90,"Does Willem Dafoe star with Nicolas Cage in the 1990 movie Wild at Heart?
",Yes,Yes,No,,
91,"Nicolas Cage plays Andrew Sterling in the movie Amos  Andrew.
",False,False,True,,
92,"What was the name of Nicolas Cages character in the movie City of Angels?
",Seth,Steven,Nate,Nathaniel,Seth
93,"Nicolas Cage won an Academy Award for his performance as a suicidal alcoholic in this movie.
",Leaving Las Vegas,Wild at Heart,8mm,Leaving Las Vegas,Adaptation
94,"The movie Captain Corellis Mandolin, starring Nicolas Cage, is set during which war?
",WWII,The Vietnam War,None of these,WWII,WWI
95,"What was the full name of Hardy, of the famous comedy partnership, Laurel and Hardy?
",Oliver Norwell Hardy,Oliver Norwell Hardy,Oliver Wendell Hardy,Wendell Oliver Hardy,Norton Oliver Hardy
96,"What was the full name of Laurel, of the famous comedy duo, Laurel and Hardy?
",Arthur Stanley Jefferson,Stanley Arthur Jefferson,Wolliam Wendell Laurel,Arthur Stanley Jefferson,Arthur Stanley Laurel
97,"Which was the first movie in which Stan Laurel and Oliver Hardy both appeared in 1921, albeit not as a team?
",A Lucky Dog,A Lucky Dog,The Second Hundred Years,The Bohemians,The  Piano Movers
98,"What was the last movie famous comedy duo, Laurel and Hardy made together?
",Atoll K (aka Utopia),The Bohemians,Atoll K (aka Utopia),The Jerks at Sea,The Kentucky Gentlemen
99,"Which of these is not a name comedy duo Laurel and Hardy went by, in European countries?
",Da Schoene und da Huebsche,Dick und Dorf,Da Schoene und da Huebsche,El Gordo y El Flaco,Stallio and Ollio
100,"Which of the two members of comedy team Laurel and Hardy won a Lifetime Achievement Academy Award from the Screen Actors Guild ?
",Laurel,Neither,Laurel,They won as a team,Hardy
101,"What was the cause of American actor, Oliver Hardys death on August 7, 1957?
",Stroke,Stroke,Tuberculosis,Cancer,Heart attack
102,"Which of comedy team, Laurel and Hardys films won an Oscar for Best Comedy Short Subject in 1932?
",The Music Box,The Music Box,The Tie Twiddler,The Bohemian Girl,Two Jerks at Sea
103,"Which was the first movie in which actors Stan Laurel and Oliver Hardy officially appeared as a team?
",The Second Hundred Years (June 1927),The Second Hundred Years (June 1927),Babes in Toyland (1934),The Lucky Dog (1921),The Music Box (1932)
104,"Who co-starred with Elvis in Flaming Star?
",Barbara Eden,Debra Paget,Juliet Prowse,Shelly Fabares,Barbara Eden
105,"Which actress was Elviss love interest in Blue Hawaii?
",Joan Blackman,Joan Blackman,Judy Tyler,Debra Paget,Carolyn Jones
106,"Loving You stars Elvis Presley and this actress.
",Dolores Hart,Diana Goodwin,Judy Tyler,Barbara Eden,Dolores Hart
107,"Elviss first film, Love Me Tender, stars what leading lady?
",Debra Paget,Dolores Hart,Judy Tyler,Dianna Goodwin,Debra Paget
108,"Elviss girlfriend in Charro was played by this actress.
",Ina Balin,Carolyn Jones,Ina Balin,Barbara Eden,Dolores Hart
109,"Stay Away Joe was a completely different image for Elvis.  Who starred with him in this film?
",Katy Jurado,Ann-Margret,Katy Jurado,Carolyn Jones,Shelly Fabares
110,"Of all the movie stars Elvis Presley worked with, she was the only one to attend his funeral.
",Ann-Margret,Juliet Prowse,Ann-Margret,Stella Stevens,Shelly Fabares
111,"Who did Elvis dance the Flamenco with, in movie Girls, Girls, Girls?
",Laura Goodwin,Laura Goodwin,Donna Douglas,Stella Stevens,Juliet Prowse
112,"What actress starts in Live A Little Love A Little,  alongside Elvis?
",Michele Cary,Nancy Sinatra,Connie Stevens,Michele Cary,Debra Paget
113,"There is more than one lady after Elviss attention in the move Fun In Acapulco, but only this one can be his Bosa Nova Baby.
",Elsa Cardenas,Elsa Cardenas,Ann-Margret,Joan Blackman,Ursula Andress
114,"It Happened at the Worlds Fair (1963) stars Elvis and this beauty.
",Joan OBrien,Elsa Cardenas,Ursula Andress,Joan OBrien,Ann-Margret
115,"In the film,Wild in the Country, Elvis had to choose between three of these four leading ladies. Which actress did he pick?
",Tuesday Weld,Tuesday Weld,Millie Perkins,Hope Lange,Laura Goodwin
116,"Which R  B songstress named her child Puma?
",Erykah Badu,Toni Braxton,Erykah Badu,Lauryn Hill,Mary J. Blige
117,"Diezel is the child of which R  B songstress?
",Toni Braxton,Vanessa Williams,Toni Braxton,Brandy,Lauryn Hill
118,"Kal-el is the child of which Oscar winning actor?
",Nicholas Cage,Dustin Hoffman,Nicholas Cage,Russell Crowe,Tom Hanks
119,"This Oscar winning actress named her daughter Apple.
",Gwyneth Paltrow,Helen Hunt,Frances McDormand,Gwyneth Paltrow,Hilary Swank
120,"This former supermodel named her child Sailor Lee.
",Christie Brinkley,Kathy Ireland,Rachel Hunter,Cheryl Tiegs,Christie Brinkley
121,"Which television and movie actor has a child named Thyme?
",Isiah Washington,Patrick Dempsey,Kevin Bacon,Bruce Willis,Isiah Washington
122,"This movie star named his child Reignbeau.
",Ving Rhames,Damon Wayans,Jamie Foxx,Ving Rhames,Samuel L. Jackson
123,"Which Australian born actress named her child Banjo?
",Rachel Griffiths,Rachel Griffiths,Toni Collette,Naomi Watts,Nicole Kidman
124,"Which comedian has a child named Moxie Crimefighter?
",Penn Jillette,Adam Carolla,Penn Jillette,Jason Alexander,Chris Kattan
125,"Which musician has a son named Speck Wildhorse?
",John Mellancamp,Jon Bon Jovi,John Denver,John Mellancamp,Bono
126,"Which Aerosmith song are the following lyrics from: Sing with me, sing for the year, sing for the laughter, sing for tear..?
",Dream On,Walk This Way,I Dont Want To Miss A Thing,Dream On,Rag Doll
127,"Which is the missing word from the lyrics of the popular Aerosmith song I Dont Want To Miss A Thing: â€œI could stay awake, just to hear you _________â€?
",Breathing,Sleeping,Blinking,Walking,Breathing
128,"The following lyrics are from the song Walk On Water by Aerosmith: â€œCruised into a bar on the, her picture graced the grime on the door.â€
",False,True,False,,
129,"What Aerosmith song are the following lyrics from: â€œGet ready for the big time, tap dancing on a land mineâ€?
",Rag Doll,Rag Doll,Angel,Walk This Way,Cryin
130,"What is the missing word in these lyrics by Aerosmith: â€œI was _____ when I met you, now Im dying to forget youâ€?
",Cryin,Angry,Crazy,Cryin,Sad
131,"What song by Aerosmith has the following lyrics: You talk about things that nobody cares, youâ€™re wearing out things that nobody wears?
",Sweet Emotion,Dream On,Sweet Emotion,Amazing,Janies Got A Gun
132,"The following lyrics are from the song Amazing by Aerosmith: Lifes a journey, not a destination, and theres just no telling what tomorrow brings.
",True,False,True,,
133,"What Aerosmith song are the following lyrics from: That kind of lovin, sends a man, to his grave?
",Crazy,Cryin,Love In An Elavator,Crazy,Angel
134,"What is the most popular nickname of TV talk show host Jay Leno?
",The Chin,The Boss,The Grandpa,The Wig,The Chin
135,"Justin Timberlakes very curly blond hair has earned him this funny nickname.
",Curly Spice,Perm,Surly-Curly,Curly Spice,Noddle Hair
136,"What was the reason Madonna was called Madge in Great Britain?
",It is short for Your Majesty,Because she mentions Joe DiMaggio in her song Vogue,It is just a pet name for Madonna,It is short for Your Majesty,Because she resembles Mary Magdalene
137,"What is actress Courtney Coxs nickname that she was given by her family and friends as a child?
",CeCe,Tsetse,CeCe,Coxie,CoCo
138,"Reportedly president George W. Bush liked to call himself this, being a big fan of nicknames.
",The Decider,The Decider,The Big Brother,The Manager,The Big Bad Boss
139,"Gwen Stefani has been called this nickname because of her smile and her signature platinum blond hair.
",Sunshine,Sunshine,Sunrise,Barbie,Marilyn
140,"What female singer has been called Booty because of her impressive buttocks?
",Janet Jackson,Shakira,Beyonce,Jennifer Lopez,Janet Jackson
141,"What nickname was given to actor Charlie Sheen which rhymes with his last name?
",Masheen,Teen,Spleen,Mean,Masheen
142,"Aerosmiths lead singer Steven Tyler was called this nickname to refer to his powerful voice and signature vocalization.
",Demon of Screaming,Soundwave,The Deafening Monster,Demon of Screaming,Gigahertz
143,"What American actor was given the ingenious nickname Italian Stallion?
",Sylvester Stallone,Robert De Niro,Leonardo DiCaprio,Sylvester Stallone,Ray Liotta
144,"For which film did Frank Sinatra get his Oscar?
",From Here to Eternity,Suddenly,Kings go Forth,From Here to Eternity,Can-Can
145,"Which film starring Frank Sinatra was based on the life of the comedian Joe E. Lewis?
",The Joker is Wild,The Tender Trap,Pal Joey,The Joker is Wild,Meet Danny Wilson
146,"In which movie did Frank Sinatra make his starring debut?
",Higher and Higher,Higher and Higher,Take Me Out to the Ballgame,Miracle of the Bells,On the Town
147,"Which of these movies stars both Doris Day and Frank Sinatra?
",Young at Heart,On the Town,The Tender Trap,Oceans 11,Young at Heart
148,"Name the 1955 film in which Frank Sinatra co-starred with Debbie Reynolds and David Wayne.
",The Tender Trap,The Pride and the Passion,The Lady in Cement,The Tender Trap,The Devil at 4 OClock
149,"Which of these is a Rat Pack film starring Frank Sinatra set in the Old West?
",Sergeants Three,Dirty Dingus McGee,Assult on a Queen,The Miracle of the Bells,Sergeants Three
150,"Which western spoof co-starred George Kennedy and Frank Sinatra as an outlaw with a $10.00 (ten dollar) price on his head?
",Dirty Dingus McGee,Way Out West,Dirty Dingus McGee,Miracle of the Bells,Suddenly
151,"In which film did Frank Sinatra play the owner of a naughty Parisian night spot?
",Can-Can,The French Twist,The Joker is Wild,I Remember Paris,Can-Can
152,"Which 1966 Frank Sinatra films plot centred around a heist on an ocean liner?
",Assault on a Queen,War and Peace at Sea,Assault on a Queen,Oceans Eleven,The Cruise Ship Caper
153,"In which film did Frank Sinatra and Jules Munshin sing the emblematic theme song New York, New York?
",On the Town,In Old New York,On the Town,"New York, New York",Wonderful Town
154,"In which Frank Sinatra film did Old Blue Eyes play Nathan Detroit?
",Guys and Dolls,On the Town,Can-Can,Guys and Dolls,"New York, New York"
155,"Which movie, for which Frank Sinatra was already cast, saw him pull out when he learned he would have to film each scene in two different technologies?
",Carousel,Carousel,My Fair Lady,Guys and Dolls,Oklahoma
156,"When and where was Robert Duvall born?
","January 5, 1931in SanDiego, California","January 5, 1931in SanDiego, California","January 5, 1951in Dumont, Texas","January 5, 1956 in Des Moines, Iowa","January 5, 1941in Annapolis, Maryland"
157,"Which statement is incorrect about Luciana Pedraza, Robert Duvalls fourth wife?
","She was born in Verz Cruz, Mexico.",She is over 40 years younger than he is.,She was the writer and director of the movie Portrait of Billy Joe.,She and Robert are avid Tango dancers.,"She was born in Verz Cruz, Mexico."
158,"Robert Duvall and his good friend Dustin Hoffman studied with the same famous acting  teacher. Who was he?
",Sanford Meisner,Sanford Meisner,Uta Hagen,Lee Strassberg,Tyrone Guthrie
159,"Robert Duvalls acting teacher got him a part in the play The Midnight Caller. Who was the author of this play?
",Horton Foote,Tom Stoppard,Sanford Meisner,David Mamet,Horton Foote
160,"Robert Duvall was the first actor to play Major Frank Burns.
",True,False,True,,
161,"For which of these movies did Robert Duvall win the Best Actor Oscar?
",Tender Mercies,The Godfather,The Apostle,Apocalypse Now,Tender Mercies
162,"Robert Duvall is known to be aligned with which political party?
",The Republican Party,The Republican Party,The Green Party,The Libertarian Party,The Democratic Party
163,"In the Godfather movies, how many men did Robert Duvalls character personally kill?
",0,1,5,0,2
164,"In which movie does Robert Duvall not portray Lt. Col. Meacham, a fighter pilot?
",The Pilot,The Gift of Fury,The Ace,The Great Santini,The Pilot
165,"To which famous American can Robert Duvall trace his lineage?
",Robert E. Lee,Robert E. Lee,U.S. Grant,George Washington,William T. Sherman
166,"Which of these roles was not played by Robert Duvall?
",Kit Carson,Josef Stalin,James Earl Jones brother,Adolph Eichmann,Kit Carson
167,"Which of these characters was not portrayed by Robert Duvall?
",Jimmy Carter,Joseph Pulitzer,Dwight D. Eisenhower,Robert E. Lee,Jimmy Carter
168,"The following lyrics are from a song by the Rolling Stones, released in 1971 as the first single of the album, Sticky Fingers.  Name the song.
",,ld Coast slaveship bound for cotton fields,ld in a market down in New Orleans,arred old slaver know hes doin alright,ar him whip the women just around midnight
169,"d Coast slaveship bound for cotton fields
",ld in a market down in New Orleans,arred old slaver know hes doin alright,ar him whip the women just around midnight,Brown Sugar,Brown Sugar
170,"The following lyrics are from Miss You, a 1978 hit song by the Rolling Stones: 
",,e been waiting in the hall,en waiting on your call,en the phone rings,"s just some friends of mine that say,"
171," been waiting in the hall
",en waiting on your call,en the phone rings,"s just some friends of mine that say,","y, whats the matter man?",re gonna come around at twelve
172,"These are the opening lines of a song by The Rolling Stones, which first appeared as the opening track on the 1968 album, Beggars Banquet.  Guess the song.
",,ease allow me to introduce myself, a man of wealth and taste,e been around for a long long year stolen many mans soul and faith,was around when Jesus Christ had His moment of doubt and pain
173,"ase allow me to introduce myself
", a man of wealth and taste,e been around for a long long year stolen many mans soul and faith,was around when Jesus Christ had His moment of doubt and pain,Sympathy for the Devil,Harlem Shuffle
174,"These lyrics come from Fool to Cry, a song which appears on The Rolling Stones album, Black and Blue:
",, more will my green sea go turn a deeper blue,could not foresee this thing happening to you, I look hard enough into the setting sun, love will laugh with me before the morning comes
175,"more will my green sea go turn a deeper blue
",could not foresee this thing happening to you, I look hard enough into the setting sun, love will laugh with me before the morning comes,False,False
176,"Which statement concerning Bernie Mac is true?
","Bernie was born October 5 1958 in Chicago, Illinois.","Bernie was born October 5 1963 in Compton, California.","Bernie was born October 5 1958 in Chicago, Illinois.","Bernie was born October 5 1962 in Oakland, California.","Bernie was born October 5 1960 in Philadelphia, Pennsylvania."
177,"In 1992  Bernie Mac made his film debut in this comedy about a con artist who gets a job at a credit card  company.
",MoMoney,MoMoney,Im Gonna Git You Sucka,Punchline,Blankman
178,"In 1993 Bernie Mac was in a movie about two totally inept barbers, starring Ice-T and Ed Lover.
",Whos the Man,Barber Shop,Friday,Above Heaven,Whos the Man
179,"Bernie Mac tours with three other entertainers known as The Kings of Comedy. Which of the following is  not one of them?
",Chris Rock,Steve Harvey,Cedric the Entertainer,Chris Rock,D.L. Hughley
180,"What was the name of the HBO special which Bernie Mac did in 1995 in Chicago?
",Midnight Mac,Mac Attack,Just Bernie,Midnight Mac,The Bernie Mac Hour
181,"Which 2003 movie, written and directed by Chris Rock, starred Bernie Mac as Chris Rocks brother?
",Head of State,Friday,Colors,Get on the Bus,Head of State
182,"From which ailment is Bernie Mac known to suffer?
",Sarcoidosis,Type II Diabetes,Bucelosis,Sarcoidosis,Type I Diabetes
183,"In this 2004 movie, Bernie Mac portrayed a baseball player who had to return to the game to get his 3000th hit.
",Mr. 3000,Mr. 3000,The Last Season,Its All in the Game,Major League
184,"In Oceans 11and 12, Bernie Mac plays Frank Catton. What is his specialty in the movie?
",Infiltration,Infiltration,Weaponry,Gymnastics,Electronic
