,Questions,Correct,A,B,C,D
69,"She is Tom Riddles mother.
",Merope,Lily,Mekare,Jane,Merope
70,"This was the password to the Griffindore Tower after Christmas break.
",abstinence,abysmal,caput draconis,abstinence,abstraction
71,"Who was not at Hermiones table in Herbology?
",Neville,Neville,Ron,They all were,Harry
72,"Tom Riddle worked for Florrish and Blott after he left Hogwarts.
",False,False,True,,
73,"Who is the author of the Harry Potter series of books?
",J.K. Rowling,J.R. Rolling,J.R. Tolkien,J.K. Rowling,Gilderoy Lockhart
74,"Harry Potter and the Chamber of Secrets, the second book in the Harry Potter series, was published in what year?
",1998,2000,1989,2001,1998
75,"In the book Harry Potter and the Chamber of Secrets, during the summer break Harry gets a visit from a character named Dobby. What kind of creature is Dobby?
",a house elf,a house dwarf,a house Imp,a house nymph,a house elf
76,"This fictional character, introduced in the book Harry Potter and the Chamber of Secrets, was teacher of the class called Defense Against the Dark Artsand five-time winner of Witch Weeklys Most Charming Smile Award.
",Gilderoy Lockhart,Lupin,Stan Shunpike,Gilderoy Lockhart,Rowling
77,"In the book Harry Potter and the Chamber of Secrets, Harry and Ron take a ride with the flying Ford Anglia and crash into what kind of tree?
",a whomping willow tree,a black willow tree,a whomping willow tree,a deadwood Tree,a weeping willow tree
78,"This fictional character from the book Harry Potter and the Chamber of Secrets is a ghost ,who haunts the second floor girls lavatory at Hogwarts School for Witchcraft and Wizardry.
",Moaning Myrtle,Moaning Molly,Moaning Martha,Moaning Myrtle,Moaning Mary
79,"Which character of the Harry Potter series of books opens the Chamber of Secrets?
",Ginny Weasley,Cho Chang,None of these,Draco Malfoy,Ginny Weasley
80,"What is the language of snakes, spoken by some of the characters in the Harry Potter books?
",parseltongue,parseltongue,none of these,parsellanguage,parselspeak
81,"The fictional Hogwarts School of Witchcraft and Wizardry is geographically located in which part of the United Kingdom?
",Scotland,Wales,Scotland,England,Northern Ireland
82,"How is the wizarding worlds newspaper, The Daily Prophet, delivered each morning in the Harry Potter novels?
",Owl post,Workers of the Postal Union 151,Owl post,United Parcel Service,Postal carriage
83,"According to the Harry Potter books, the Floo Network, or traveling using floo powder, means using what method of transportation?
",Fireplaces,Internet,Fireplaces,Toilets,Fedex
84,"Which of the following animals does NOT symbolize one of the four Hogwarts Houses, described in the Harry Potter series of books?
",Panda,Eagle,Panda,Serpent,Lion
85,"Hagrid, the keeper of the keys at Hogwarts in the Harry Potter books, lives in this building on the edge of the Forbidden Forest.
",Wooden cabin,"750 meter highrise, which is the tallest building in the wizarding world.",Wigwam,Wooden cabin,A miniature copy of the Tower of Piza
86,"In what type of vehicle did Ron and Harry Potter fly to Hogwarts from London?
",Ford Anglia,Ford Anglia,Apache helicopter,Boeing 767,Flying carpet
87,"While looking for the Sorcerers Stone, Ron and Harry Potter must play a life-size version of this game.
",Chess,Monopoly,Checkers,Chess,Scrabble
88,"This flying machine was owned by Sirius Black and used by Hagrid in his first appearance on Privet Drive.
",Motorcycle,Hydroplane,Motorcycle,Lamborghini,Hot air balloon
89,"In the Harry Potter universe, a hippogriff is a hybrid of what two animals?
",An eagle and a horse,A hippopotamus and a vulture,An eagle and a lion,A hawk and a donkey,An eagle and a horse
90,"In the Harry Potter books, if a person is a parselmouth, then he or she is able to understand what?
",Snakes,Women,Snakes,Centaurs,Elfs
91,"What do the rings on a tree tell us?
",how old the tree is,how tall the tree is,how old the tree is,whether or not it is a fruit bearing tree,what type of tree it is
92,"The path in which electricity travels is called an electric circuit.
",False,True,False,,
93,"Seasons change because the Earth is getting closer and further from the sun.
",False,True,False,,
94,"Stars vanish during the day.
",False,False,True,,
95,"There are 4 basic conditions needed to produce an echo.
",True,False,True,,
96,"What are the names of the four children in the story The Lion, the Witch and the Wardrobe?
","Peter, Susan, Edmund, Lucy","Peter, Annie, Alan, Lucy","Peter, Susan, Edmund, Sydney","Peter, Susan, Edmund, Lucy","Peter, Sally, Edward, Lucinda"
97,"Which character is the enemy of the four children in the movie The Chronicles of Narnia: The Lion, the Witch and the Wardrobe?
",The White Witch,The Red Witch,The Evil Witch,The Terrible Witch of the West,The White Witch
98,"In the movie The Lion, the Witch and the Wardrobe, Susan is the oldest of the four children.
",False,True,False,,
99,"In the movie The Lion, the Witch and the Wardrobe Edmund asked if the White Witch had what candy?
",Turkish Delight,Turkish Delight,Laffy Taffy,Jolly Rancher,Turkish Joy
100,"Is it true that in the movie The Lion, the Witch and the Wardrobe, Lucy discovered the wardrobe, while the children were playing hide and seek?
",Yes,Yes,No,,
101,"What was the colour of Susans eyes in the movie The Lion, the Witch and the Wardrobe?
",blue,green,brown,hazel,blue
102,"Is Peter the second of the Pevensie children to enter Narnia in the film The Lion, the Witch and the Wardrobe?
",No,No,Yes,,
103,"The action in the movie The Lion, the Witch and the Wardrobe begins in 1940 during a German bombing raid of London.
",True,False,True,,
104,"What is the name of the faun that Lucy meets in The Lion, the Witch and the Wardrobe?
",Tumnus,Taurus,Tamus,Tumnus,Timus
105,"The lion that the children meet in the end of the movie The Lion, the Witch and the Wardrobeis called Aslan.
",True,True,False,,
106,"Which of the following characters in the Harry Potter books is a poltergeist?
",Peeves,Moaning Myrthle,Peeves,Nearly-headless Nick,The Bloody Baron
107,"What is the name of the potion that grants good luck, mentioned in Harry Potter and the Half-Blood Prince?
",Felix Felicis,Felix Felicis,Polyjuice Potion,none of these,Avada Kedava
108,"Which of these characters kissed Harry after a lesson of DA in Harry Potter and the Order of the Phoenix?
",Cho,Hermione,Cho,Ginny,Blaise
109,"What group did Nearly-headless Nick never become a part of in Harry Potter and the Chamber of Secrets?
",The Headless Hunt,The Order of the Phoenix,The Headless Hunt,The Triwizard Cup,The DA
110,"Which of the following characters are described as trustworthy in Harry Potter and the Prisoner of Azkaban?
","James Potter, Remus Lupin, Sirius Black","James Potter, Remus Lupin, Sirius Black","James Potter, Remus Lupin","James Potter, Sirius Black, Peter Pettigrew",James Potter only
111,"According to the Harry Potter books, what is the full name of Dumbledore, the headmaster of Hogwarts School of Witchcraft and Wizardry?
",Albus Percival Wulfric Brian Dumbledore,Albus Percival Dumbledore,Albus Wulfric Dumbledore,Albus Percival Wulfric Brian Dumbledore,He never revealed his full name in the books
112,"Dumbledore was in contact with Sirius Black in Harry Potter and the Goblet of Fire.
",True,True,False,,
113,"In Harry Potter and the Half-Blood Prince, the half-blood prince tells Harry to do what to his potion?
",Add a clockwise stir after every seventh counterclockwise stir,Stir clockwise until the potion turns as clear as water,Add a counterclockwise stir after every seventh clockwise stir,Stir counterclockwise until the potion turns as clear as water,Add a clockwise stir after every seventh counterclockwise stir
114,"What kind of creature was Buckbeak from the book Harry Potter and the Prisoner of Azkaban?
",Hippogriff,Manticore,Unicorn,Hippogriff,Bird
115,"Who was the last person to talk to Harry at the end of Harry Potter and the Chamber of Secrets?
",Hermione,Dudley,Ron,Hermione,Ms. Weasley
116,"In the Harry Potter books, what is the name of Hagrids three-headed dog?
",Fluffy,Fluffy,Norbert,Aragog,Fang
117,"According to the Harry Potter books, who is Harrys godfather?
",Sirius Black,Sirius Black,Remus Lupin,Peter Pettigrew,James Potter
118,"In what book of the Harry Potter series does professor Trelawney get fired?
",Harry Potter and the Order of the Phoenix,Harry Potter and the Philosophers Stone,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,She doesnt get fired in the books
119,"In the Harry Potter books, what is Harrys classmate Hermiones full name?
",Hermione Jean Granger,Hermione Cassandra Granger,It was never mentioned.,Hermione James Dumbledore,Hermione Jean Granger
120,"In which movie did Hermione Granger say the following:
"," going to bed, before either one of you have another clever idea to get us killed, or worse, expelled",Harry Potter and the Sorcerers Stone,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets
121,"What did Hermione Granger, a character from the Harry Potter series, think about the Firebolt?
",that it was jinxed and was given to Harry by Sirius Black,that it was jinxed and was given to Harry by Sirius Black,that it was given to Harry by Dumbledore because he felt bad after Harrys broom was demolished by the Whomping Willow,that it was amazing and wanted to be the first to ride it after Harry,that it was jinxed and was given to Harry by Lucius Malfoy who was still angry about the loss of his House Elf
122,"It is stated in the Harry Potter books that Hermione Grangers parents are teachers.
",False,True,False,,
123,"Was Hermione able to see the Thresals in Harry Potter and the Order of the Phoenix?
",No,No,Yes,,
124,"In the Harry Potter series, Hermiones full name is Hermione Denise Granger.
",False,False,True,,
125,"What is the wooden stick used to hit a baseball called?
",Baseball Bat,Baseball Wand,Baseball Bat,Baseball Raquet,Baseball Club
126,"What color is a major league baseball?
",White,Green,White,Black,Blue
127,"Should you wear a helmet while hitting a baseball?
",Yes,Yes,No,,
128,"What is it called when you hit a baseball out of the park?
",Home Run,Home Run,Stolen Base,Hat Trick,3 Pointer
129,"What do you wear on your hand when playing the field in baseball?
",Baseball Glove,Baseball Helmet,Baseball Glove,Baseball Mittens,Baseball Shoes
130,"In baseball, what is the name of the player who squats behind the hitter and catches the ball?
",Catcher,Catcher,Short Stop,Manager,Pitcher
131,"When you run the bases in baseball you should run from 3rd base to 1st base.
",False,False,True,,
132,"What is the player who throws the ball to the hitter called in baseball?
",Pitcher,Coach,Catcher,Short Stop,Pitcher
133,"Baseball is usually played indoors.
",False,False,True,,
134,"Casey has 2 ten dollar bills, 3 five dollar bills, and 4 one dollar bills. How much money does Casey have altogether?
",$39,$44,$35,$39,$37
135,"What would be next in this pattern:  XX, XXXX, XXXXXX, ________?
",XXXXXXXX,XXXXXXXX,XXXXXXX,XXXXXXXXX,XXXXXXXXXX
136,"Reeses Pieces cost $0.60. Nerds cost $0.35. Pepsi costs $0.90. Gum costs $0.45. I have $1.25, and want to spend all of my money. What should I buy?
",Pepsi and Nerds,"Reeses Pieces, Nerds, and Gum",Pepsi and Gum,Pepsi and Nerds,Reeses Pieces and Gum
137,"Chad and Jason have a collection of comic books. Chad has 23 books. Together, Chad and Jason have a total of 59 books. How many books does Jason have?
",36,26,35,36,82
138,"Leah is making chocolate chip cookies. She has 6 groups of 5 chocolate chips each. If she adds one more group of 5 chocolate chips, how many chocolate chips will she have?
",35,30,35,45,40
139,"Stephanie has $0.85. She gives a quarter to Jennifer. In return, Jennifer gives Stephanie a dime. How much money does Stephanie have now?
",$0.70,$0.60,$0.65,$0.70,$0.75
140,"Mike has to be to school at 8:00 a.m. If it takes him 25 minutes to walk to school, what time should he leave?
",7:35 a.m.,7:35 a.m.,7:45 a.m.,8:25 a.m,7:25 a.m.
141,"The Chronicles of Narnia, written by C.S. Lewis, is a series of seven fantasy novels. Which of the following is not one of the books in this series?
",The Boy and His Horse,Prince Caspian,The Boy and His Horse,"The Lion, the Witch and the Wardrobe",The Voyage of the Dawn Treader
142,"In The Voyage of the Dawn Treader, published in 1952, Edmund and Lucy Pevensie return to Narnia along with their younger cousin named what?
",Eustace,Caspian,Telmar,Eustace,Digory
143,"There comes a point when Peter, Susan, Edmund, and Lucy Pevensie are no longer allowed to visit Narnia because they are too old. So the lion calls their young cousin back to Narnia together with Jill, a fellow student of his. This happens in which book of The Chronicles of Narnia series?
",The Silver Chair,The Last Battle,Prince Caspian,The Voyage of the Dawn Treader,The Silver Chair
144,"Which of the Pevensie children is lured into teaming up with the White Witch in the novel The Lion, the Witch and the Wardrobe?
",Edmund,Lucy,Susan,Edmund,Peter
145,"In The Last Battle chronicles, which earned C.S. Lewis a Carnegie Medal, two children return to save Narnia from Shift who tricks the donkey Puzzle into impersonating the Great Lion. What kind of creature is Shift?
",Ape,Ape,Centaur,Unicorn,Faun
146,"What can Bungy the budgie do?
",water ski,water ski,bungy jump,walk a tightrope,snow ski
147,"Who sent Harry a letter in Chapter 2 telling him not to do any more magic, or to surrender his wand?
",Arthur Weasley,Hermione,Sirius Black,Arthur Weasley,Molly Weasley
148,"Cornelius Fudge thinks that who wants to be the Minister of Magic?
",Albus Dumbledore,Sirius Black,Lucius Malfoy,Arthur Weasly,Albus Dumbledore
149,"This person is Siriuss brother.
",Regulus,Regulus,Tom,Ronald,Remus
150,"Luna Lovegood was reading the Quippler on the Hogwarts Express.
",False,False,True,,
151,"What ward was Arthur Weasly in while at St Mungos?
",Llewellyn,Llewellyn,Corwin,Blaise,Diedre
152,"This is Professor Umbridges middle name.
",Jane,Jane,Marie,Barbara,Mary
153,"A giant chief is called this.
",Gurg,Urg,Gurg,Gurrl,Ugh
154,"Who had Neville Longbottom seen die?
",his Grandfather,his Grandmother,no one,his Grandfather,his parents
155,"Who did not go with Harry to the Ministry of Magic to rescue Black?
",Cho,Cho,Neville,Luna,Ron
156,"Josh and Parker star on this Nickelodeon show which takes place mostly at a fast food restaurant. What is the name of the show?
",Mr. Meaty,Mr. Fast Food,Mr. Meaty,Mr. Meat,Dr. Burger
157,"Which of these Nickelodeon animated shows stars a big headed kid who also has a very big brain?
",Jimmy Neutron,Jimmy Neutron,Drake and Josh,"Neutron, Boy Genius",The fairly odd parents
158,"In the show Jimmy Neutron, Jimmy goes to Mars in search of a major power source and runs into some huge rock creatures living on Mars. What substance are these creatures vulnerable to?
",Water,Water,Fire,Air,Light
159,"Actor Drake Bell from the Nickelodeon show Drake and Josh founded a band named Drake 24/7 in real life.
",True,False,True,,
160,"In Neds Declassified School Survival Guide, who dares Moze to wear a frilly dress with flowers for 48 hours?
",Nobody dares her that,Ned Bigby,Simon Nelson Cook,Nobody dares her that,Billy Loomer
161,"Actress Miranda Cosgrove plays Megan in the hit Nickelodeon show Drake and Josh.
",True,True,False,,
162,"Complete this line from the classic childrens book Green Eggs and Ham:
",am ______.,Sam,A Lamb,Jean-Claude Van Damme,Sam
163,"The book Green Eggs and Ham was first published in 1952.
",False,True,False,,
164,"Where did Green Eggs and Ham rank according to Publishers Weekly 2001 list of best selling childrens books of all-time?
",Fourth,Fourth,Second,First,Third
165,"Rev. Jesse Jackson once read Green Eggs and Ham aloud on the late Night show Saturday Night Live.
",True,False,True,,
166,"Complete this line from the book Green Eggs and Ham:
",do not like them in a box! I do not like them with a _____!,Fox,Dog with Chicken Pox,Bag of Rocks,Clock
167,"The book Green Eggs and Ham contains only 50 different words.
",True,True,False,,
168,"What word is missing in this line from the book Green Eggs and Ham:
",uld you? Could you?, a ........?,Car,Line at the DMV,Jeep
169,"What should you wear on your head when you play American football?
",Helmet,Hat,Helmet,Wig,Shoe
170,"In American football, the player who throws the ball to the other players on the field is called what?
",Quarterback,Quarterback,Running back,Kicker,Tight End
171,"Which of these items is not used in an American football game?
",Stick,Helmet,Stick,Padding,Football
172,"What is the main method of scoring in American football?
",Touchdown,Touchdown,Three Pointer,Home Run,Hat Trick
173,"What is the professional team of Miami in American football called?
",Dolphins,Patriots,Dolphins,Yankees,Jets
174,"What do you call the grassy area on which an American football game is played?
",Field,Court,Rink,Diamond,Field
175,"What is the color of a traditional American football?
",Brown and white,Brown and white,Green and yellow,Pink and purple,Blue and red
176,"How many points is a touchdown worth in American football?
",6,2,4,5,6
177,"What is the shape of a traditional American football?
",Oval,Rectangle,Square,Oval,Round
178,"What do you call the man or woman who runs a football team and tells the players what to do?
",Coach,Wide Receiver,Quarterback,Tight End,Coach
179,"In what year did Disney release the film The Little Mermaid?
",1989,1889,1985,1989,1885
180,"What was the name of the housemaid that served dinner on Ariels first night in the palace in the movie The Little Mermaid?
",Carlotta,Marianne,Vanessa,Janice,Carlotta
181,"Ursula, one of the characters in the Disney movie The Little Mermaid, is a cecaelia sea witch.
",True,True,False,,
182,"What name did Ursula adopt while in disguise in the movie The Little Mermaid?
",Vanessa,Matilda,Vanessa,Gertrude,Louise
183,"Buddy Hackett provided the voice of Flounder in the movie The Little Mermaid.
",False,False,True,,
184,"The film The Little Mermaid grossed approximately $200,000,000.
",True,True,False,,
185,"The first line in the movie The Little Mermaid was Flounder, quit being such a guppy!.
",False,False,True,,
186,"When was the film The Little Mermaid released in Germany?
",Nov. 29 1990,Nov. 18 1989,Nov. 29 1990,Nov. 15 1989,Nov. 15 1990
187,"In the book Harry Potter and the Half-Blood Prince, when Harry went to his potions class the first time that year, there were 4 potions on Mr. Slughorns desk. What were they called?
","Veritaserum, Felix felicis, Amortentia and Poly juice potion","Veritaserum, Felix felicis, Amortentia and Poly juice potion","Veritaserum, hurnslug, setumaniea and felkamena","Poly juice potion, majoina, conastance and cenputok","Draught of the living death, milliitinie, carnaogdhor and gononala"
188,"McLaggen, who was first introduced in Harry Potter and the Half Blood Prince hit Harry in the back of his head with a wooden bat.
",True,False,True,,
189,"Was Ron poisoned in the book Harry Potter and the Half-blood Prince?
",Yes,Yes,No,,
190,"In the book Harry Potter and the Half-Blood Prince, Harry almost killed Malfoy.
",True,False,True,,
191,"Is it true that Mrs. Arabella Figg, a character from the Harry Potter books, is a Squib?
",Yes,Yes,No,,
192,"In Harry Potter and the Half-Blood Prince, was the horcrux Dumbledore and Harry recovered fake?
",Yes,Yes,No,,
193,"Who went first into the barrier in the book Harry Potter and the Chamber of Secrets?
",Percy,Ron,Fred and George,Percy,Harry
194,"What was the name of the book which Ron gave Harry for Christmas in Harry Potter and the Chamber of Secrets?
",Flying with the Cannons,Flying with the Cannons,Gold Stars - How do they do it?,Fantastic Beasts and Where to Find them,Quidditch through the ages
195,"What did Dudley want Harry to pass him at breakfast in chapter 1 of Harry Potter and the Chamber of Secrets?
",bacon,bacon,waffles,pancakes,eggs
196,"What is the title of chapter 11 of the book Harry Potter and the Chamber of Secrets?
",The Dueling Club,Quidditch,The Dueling Club,The Writing on the Wall,The Rogue Bludger
197,"In the book Harry Potter and the Chamber of Secrets, what did Ron keep on doing to his Charms homework?
",dropping ink blots on it,scribbling on it,poking holes in it,making finger prints on it,dropping ink blots on it
198,"What was the first spell cast at the dueling match in the book Harry Potter and the Chamber of Secrets?
",Expelliarmus,Sarpensortia,Wingardium Leviosa,Expelliarmus,Rictusempra
199,"In the book Harry Potter and the Chamber of Secrets, Tom Riddles diary falls into whose hands?
",Ginnys,Rons,Hermiones,Ginnys,Harrys
