,Questions,Correct,A,B,C,D
30,"Three of the following movies are produced by 20th Century Fox. Which is the odd one?
",House of Wax,"Me, Myself  Irene",Dr. Dolittle 2,Cast Away,House of Wax
31,"David Suchet and Peter Ustinov are two actors who have played the role of the famous detective Sherlock Holmes.
",False,False,True,,
32,"Tom Cruise had a lead role in all, but one of these movies.  Which one?
",Endless Love,Rain Man,The Firm,Magnolia,Endless Love
33,"All but one of these statements represents a common bond between the movies, The Terminal and Catch Me if You Can.
",Leonardo DiCaprio stars in them both.,They both can be classified as dramas.,They both are produced by Spielberg.,Tom Hanks stars in them both.,Leonardo DiCaprio stars in them both.
34,"Brad Pitt starred in all these movies, except one. Can you spot it?
",The Beach,Meet Joe Black,Mr.  Mrs. Smith,Oceans Eleven,The Beach
35,"Robin Williams starred in Mrs. Doubtfire. Another great actor, Dustin Hoffman starred in Tootsie. Both characters pretended to be this.
",Women,Women,Dead,Insane,Bed-ridden and sick
36,"A ghost is a supernatural entity thought to be the spirit of a person remaining on Earth after their death to seek revenge.
",False,False,True,,
37,"There is something specific about Anne Boleyns ghost. What is it?
",Her ghost is without a head.,She does not have a ghost.,Her ghost is male.,Her ghost is without hands.,Her ghost is without a head.
38,"Which of the following statements about ghosts is incorrect?
",They are always depicted of a human size and shape.,They are always depicted of a human size and shape.,Ghosts do not have a gross physical body.,Sometimes they might manifest their presence by moving other objects or producing noises.,"They are usually portrayed as silvery, shadowy and fog-like."
39,"The ghost of the Roman Emperor Caligula was said to haunt this place.
",The Lamian Gardens of Rome,Basilica di San Giovanni in Laterano,Amphitheatrum Castrense,The Lamian Gardens of Rome,Great Synagogue of Rome
40,"Ghosts have taken a significant place in literature and art since this period.
",Renaissance,Renaissance,Middle Ages,Romanticism,Baroque
41,"What does Suetonius, Geoffrey of Monmouth and Herodotus have in common?
",They are three writers that produced the first urban legends.,They are three writers that produce modern urban legends.,They are three writers that produced the first urban legends.,They are three ghost from the modern urban legends.,They are three ghosts from the first urban legends.
42,"Is there a difference between a poltergeist and a ghost?
",Yes,Yes,No,,
43,"The Epic of Gilgamesh is the oldest written story, containing a lot of references to the spirits of the dead.
",True,False,True,,
44,"In 1993 an interesting study about Friday the 13th was published in the British Medical Journal. Its authors investigated if this mystical date is really dangerous. They compared the ratio of traffic volume to the number of vehicular accidents on two different days throughout several years. What was the conclusion of the study?
",Friday the 13th actually affects the number of vehicular accidents,The number of vehicular accidents is lower on Friday the 13th,The results were inconclusive,Friday the 13th doesnt have any affect on the number of vehicular accidents,Friday the 13th actually affects the number of vehicular accidents
45,"The fear of the fatal date is called this.
",Paraskevidekatriaphobia,Paraskevidekatriaphobia,Aphenphosmphobia,Chronomentrophobia,Coitophobia
46,"Chinese people believe that 13 is a lucky number.
",True,True,False,,
47,"There are countless theories about the origins of fear of number 13. One says that the phobia comes from Norse mythology. According to a legend, the 13th god, the god of mischief, turned up at a gathering of the 12 Viking gods and caused the death of Balder the Good.  What was the god of mischief called?
",Loki,Loki,Tor,Odin,Hod
48,"People fear Friday for many reasons. For example, Jesus Christ was crucified on Friday, the Great Flood began on Friday and Adam and Eve were banned from the Garden of Eden on Friday. Do you know what type of day Friday was in the pagan Roman empire?
",Execution day,Parade day,Tax day,Execution day,Day for prayers
49,"Most estate agents find it difficult to sell a house, numbered thirteen.
",True,False,True,,
50,"The bad name of both Friday and number 13 can be explained by many historical and religious facts. However, the reason why they are linked together to form this powerful superstition, cant be explained so easily. According to one theory, the ill-fame of Friday 13th dates back to 13 October 1307, when King Philip IV of France arrested most of the knights of one famous Order. What was the name of the Order?
",The Knights Templar,The Ancient and Illustrious Order Knights of Malta,Ancient Order Knights of the Mystic Chain,The Knights Templar,Teutonic Order
51,"Female drivers have more traffic accidents on Friday the 13th.
",False,True,False,,
52,"Having in mind the mysterious background of Black Friday, it is quite natural that the TV series Friday the 13th were so popular. The main character, Jason, is one of the biggest celebrities in the world of horror movies. What is Jasons family name?
",Vorhees,Hardy,Vorhees,Christy,Burrell
53,"Over any given 400-year cycle the 13th day of the month occurs 4800 times. The 13th most often falls on this day of the week.
",Friday,Sunday,Monday,Wednesday,Friday
54,"What movie stars George Peppard as a WWI ace pilot?
",The Blue Max,The Blue Max,The Blue Baron,The Red Baron,The Black Knight
55,"This movie, directed by Stanley Kubrick, stars Malcolm McDowell as Alex DeLarge.
",A Clockwork Orange,A Backward Peach,A Future of  Red,A Clockwork Orange,Soylent Green
56,"Actors Patrick Swayze, Jennifer Gray, Charlie Sheen and C.Thomas Howell played in both Red Dawn and The Outsiders.
",False,False,True,,
57,"In Black Sunday, Michael Lander played by Bruce Dern, conspires with a Palestinian terrorist group to kill masses of innocent people in what way?
","by detonating a bomb, housed in the undercarriage of a blimp, over a football stadium during the Super Bowl",by detonating a nuclear device inside the Pentagon,"by detonating a bomb, housed in the undercarriage of a blimp, over a football stadium during the Super Bowl",by hijacking a 747 and taking it to Syria,by infecting a water supply with the black plague
58,"In Pretty in Pink, the character played by Molly Ringwald has a guest, named Long Duk Dong, who is a  foreign exchange student.
",False,False,True,,
59,"In the film The Hunt For Red October, what was the unique quality of the Russian submarine Red October?
","It was built with a revolutionary stealth propulsion system called the caterpillar drive,",It was a laser guided sub that tracks 24 targets at the same time.,"It was built with a revolutionary stealth propulsion system called the caterpillar drive,",Its stealth armor confuses the enemy sonar,None of these
60,"Which 1985 comedy film starred Tom Hanks, Jim Belushi and Lori Singer?
",The Man With One Red Shoe,The Man With One Red Shoe,The Woman In Red,The Masque of the Red Death,Reds
61,"In the movie Goldfinger, which one of the following characters does not die?
",Pussy Galore,Tilly Masterson,Pussy Galore,Goldfinger,Oddjob
62,"What was unique about The Green Berets, a film starring John Wayne?
",It was the only Vietnam War film that was produced during the war itself,None of these,It was John Waynes first movie without a female co-star,It was the only non-western John Wayne movie in color,It was the only Vietnam War film that was produced during the war itself
63,"In White Men Cant Jump, Sidney Deane, played by Wesley Snipes is married to Rosie Perez character, Gloria Clemente.
",False,False,True,,
64,"One of the first known blondes was this Greek goddess, whose hair was described by Homer as golden.
",Aphrodite,Demeter,Aphrodite,Hera,Medusa
65,"The hairs of a natural blonde can be described as this.
",More than those of a brunette,More than those of a brunette,Thinner than those of a brunette,The same number as those of a brunette,Fewer than those of a brunette
66,"Researchers in England found this to be true of  blond cashiers in supermarkets.
",Gather greater queues,Have frequent technical issues with the registers,Gather greater queues,Receive more tips from customers,Have higher chances of not balancing the register at the end of the day
67,"During The Restoration period blond hair became a symbol of this.
",Prostitution,Stupidity,High class,Intelligence,Prostitution
68,"Most fairy tale characters have this color hair.
",Blonde,Blonde,Dark,Green,Red
69,"Blonde hair was important to Hitler, according to him it symbolized this.
",The purity of the Aryan race,Valor,German nationality,Innocence,The purity of the Aryan race
70,"She is regarded as the most famous blonde of all times.
",Marilyn Monroe,Marlene Dietrich,Eva Brown,Marilyn Monroe,Madonna
71,"Strange as it may be, there are paintings, depicting a blonde one of her.
",Cleopatra,Madamme Butterfly,Cleopatra,Beyonce,Aretha Franklyn
72,"Red is the color of all these except one.
",Sadness,Danger,Warmth,Passion,Sadness
73,"Red is believed to provoke hunger.
",True,True,False,,
74,"The movie Trois couleurs: Rouge (Three Colors: Red) is about a girl who discovers her neighbour is keen on invading peoples privacy. This is her profession.
",Model,Photographer,Teacher,Model,Actress
75,"The Rothschilds were one of the most successful business families in history. Their family name literally means this.
",Red Shield,Red Shire,Red Sheath,Red Shield,Red Sheave
76,"Three of the following albums are by the band Red Hot Chili Peppers. Which is the odd one?
",In Another Land,Blood Sugar Sex Magik,Freaky Styley,In Another Land,By the Way
77,"Red River College (RRC) is a large and very comprehensive institute of applied learning, located in this city.
",Winnipeg,Ottawa,Toronto,Vancouver,Winnipeg
78,"Red Lobster is a U.S. chain of seafood restaurants. Its original name was this.
",Harbor for Seafood Lovers,Harbor for Seafood Lovers,Lobster Lovers,Lobster Barbecue,Red Harbor
79,"Manfred Albrecht Freiherr von Richthofen was a German pilot and is still regarded today as the ace of aces. Which of the following pairs (nickname - nation calling him that) is wrong?
",They are all true.,Red Battle-Flyer - the Germans,Red Devil - the French,Red Baron - the British,They are all true.
80,"Simply Red is a British band. The bands name is related to this soccer team.
",Manchester United,Arsenal,Liverpool,Manchester United,Middlesbrough
81,"One of these four countries does not border the Red Sea.
",Oman,Jordan,Egypt,Oman,Sudan
82,"Internationally, blue is the color of these political parties.
",Conservative parties,Labour parties,Liberal parties,Communist parties,Conservative parties
83,"The term blue blood, meaning aristocracy or related to aristocracy, originated in this country.
",Spain,England,Germany,Spain,France
84,"Eiffel 65 is a trio of Italian musicians who play electronic music. One of their biggest hits is Blue (Da Ba Dee). The album featured this hit.
",Europop,Eiffel 65,Contact!,Europop,Suggested Title - Crash Test
85,"In German the word for blue is used to describe that a person is this.
",Drunk,Married,Crazy,Rich,Drunk
86,"Blue is a British boy band consisting of four members. The song Signed, Sealed, Delivered, Im Yours is performed by them and this musician.
",Stevie Wonder,Jim Morrison,Stevie Wonder,Elton John,Steve Lawrence
87,"In The Hitchhikers Guide to the Galaxy there are several references to a super-intelligent shade of the color blue, called this.
",Hooloovoo,Cyan,Volo-loco,Hooloovoo,Gobo
88,"Blue pages are a telephone directory of these.
",Government offices,Business offices,Celebrities home numbers,Brothels numbers,Government offices
89,"This huge company is often referred to as Big Blue.
",IBM,Hewlett-Packard,Microsoft,IBM,"Cisco Systems, Inc."
90,"What did electrical engineering professor, Dr. Brent Townshend, invent in 1996?
",The 56K modem,The 56K modem,Potato Chips,Bookshelf speakers,The remote control locator
91,"What did George Crum invent at the Moon Lake Lodge resort in Saratoga Springs, New York?
",The potato chips,The remote control locator,The potato chips,Bookshelf speakers,The 56K modem
92,"In 1971, this programmer implemented the first email system capable of sending mail between users on different hosts connected to the ARPANET.
",Ray Tomlinson,David Thomson,John Tomlinson,Mark Thomson,Ray Tomlinson
93,"This device, named Missing Link,  was invented by twin sisters Kelli and Vanessa Dunn.
",The remote control locator,The remote control locator,The bookshelf speakers,The 56K modem,The microphone
94,"In 1986, this musician, famous for performing the song  Johnny B. Goode, became the first person inducted into the Rock and Roll Hall of Fame.
",Chuck Berry,Bill Haley,Chuck Berry,Elvis Presley,Jerry Lee Lewis
95,"This actor, who plays Dr. Norman in What Lies Beneath, is also a licensed pilot of both planes and helicopters.
",Harrison Ford,John Travolta,Anthony LaPaglia,Ralph Finnes,Harrison Ford
96,"How old was Cio-Cio-San, a character in Giacomo Puccinis opera, Madame Butterfly ?
",15,15,20,19,21
97,"This number is usually associated with the unknown and the bad luck. A fear of this number is known as triskaidekaphobia.
",13,6,13,9,666
98,"This is the number of heavens in Islamic tradition. It is also the figurative number of seas.
",7,11,3,4,7
99,"50 years of marriage are known as this.
",Gold anniversary,Pearl anniversary,Diamond anniversary,Gold anniversary,Platinum anniversary
100,"The first Soviet nuclear ballistic submarine was called K-(this number).
",19,18,17,19,21
101,"This is the number of points outlined by president Woodrow Wilson for reconstructing a new Europe following World War I.
",14,12,24,14,27
102,"One of these statements about the enigmatic number 23 is wrong.
",All statements are in fact true.,Each parent contributes 23 chromosomes to the DNA of a child.,Julius Caesar was stabbed 23 times when he was assassinated.,All statements are in fact true.,"The Knights Templar had 23 Grand Masters, the last being Jacques de Molay."
103,"According to Douglas Adams book The Hitchhikers Guide to the Galaxy, this number is the answer to the Ultimate Question of Life, the Universe and Everything.
",42,37,53,42,27
104,"Muslims pray to Allah five times a day.
",True,False,True,,
105,"This is the number of syllables in a haiku (a very short Japanese poetic form).
",17,41,35,28,17
106,"This is the total number of books in the New Testament of the Holy Bible.
",27,27,57,37,17
107,"In this movie Eminem plays the main character, whose name is Jimmy B-Rabbit Smith, Jr.
",8 Mile,Torrance Rises,The Wash,8 Mile,The Slim Shady Show
108,"This comedian stars in Who Framed Roger Rabbit (a 1988 motion picture).
",Bob Hoskins,Jim Varney,Bob Hoskins,Jim Carrey,Danny DeVito
109,"The young of which of these animals is not called a joey?
",dog,dog,opossum,wombat,kangaroo
110,"In these fractions, used by ancient Egyptians, the numerator is 1 and the denominator is a positive integer.
",unit fractions,algebraic fractions,decimals,continued fractions,unit fractions
111,"What is the name of the informal association of people who can trace their ancestry to the original Virginian colonists from England?
",First Families of Virginia,First children of Virginia,First Settlers of Virginia,First Families of Virginia,Founders of Virginia
112,"Which collective noun denotes a group of owls?
",parliament,parliament,descent,dule,covey
113,"Which battleship of the Imperial Japanese Navy was sent on a suicide mission in 1945, during the invasion of Okinawa?
",Yamato,Yamato,Kamikaze,Tojo,Noh
114,"This word deriving from Latin refers to the act of throwing someone or something out of a window.
",defenestration,defenestration,sylvan,peloton,homunculus
115,"Which word was coined by philosopher and theologian, William Whewell in 1833?
",scientist,holography,magenta,scientist,trastevere
116,"What was the first word addressed to Mission Control by Neil Armstrong, when his craft landed on the Moon on July 20, 1969?
",Houston,One,Buzz,Roger,Houston
117,"The Cretaceous-Tertiary event, also known as KT boundary, refers to what?
",a period of massive extinction of species,a period of massive extinction of species,The destruction of the largest pyramid in the Western hemisphere,the first recorded devastating tsunami,None of these
118,"Sapphire is usually associated with this month.
",September,November,December,October,September
119,"One of the following pairs (month - the gem associated with it) is wrong.
",February - Peridot,February - Peridot,December - Turquoise,March - Aquamarine,June - Pearl
120,"Is the diamond linked with a spring month?
",Yes,Yes,No,,
121,"There is a particular connection between birth stones and months.
",False,True,False,,
122,"The birth stones associated with March, September and December can all be found in this color.
",Blue,Blue,Green,Pink,White
123,"History records the fact that a Roman senator named Nonius chose exile rather than surrender his precious stone to Mark Anthony. This is Nonius gem stone.
",Opal,Ruby,Opal,Tourmaline,Zircon
124,"In chemistry, if you mix an acid with a base you would get these chemicals.
",Water and a salt,Water and carbon dioxide,Carbon dioxide and water,Water and a salt,A salt and oxygen
125,"Which was the first car model to sell one million cars in one year?
",Chevy Impala,Corvette,Chevy Impala,Volkswagon Beetle,Toyota Corolla
126,"Which company built the A6M, aka Zero -- the fighter aircraft  that was used in the attack on Pearl Harbor?
",Mitsubishi,Toshiba,Isuzu,Mitsubishi,Mikayashi
127,"Which U.S. President is famous for saying I choose not to run?
",Calvin Coolidge,Calvin Coolidge,Herbert Hoover,John Tyler,Warren G. Harding
128,"What type of chocolate contains the most  flavonoids and may help lower your cholesterol?
",Dark chocolate,Chocolate with almonds,Milk chocolate,White chocolate,Dark chocolate
129,"How much did the USA pay Russia for Alaska?
",$7.2 million,$72 million,$720 million,"$720,000",$7.2 million
130,"At what temperature is the Fahrenheit temperature equal the Celsius temperature?
",-40 degrees,0 degrees,-40 degrees,4 degrees,-4 degrees
131,"What musical instrument made jazz performer Lionel Hampton famous?
",Vibes,Trombone,Drums,Clarinet,Vibes
132,"What are the only two landlocked countries in South America ?
",Bolivia and Paraguay,Bolivia and Paraguay,Paraguay and Uruguay,Bolivia and Uruguay,Colombia and  Ecuador
133,"The real McCoy refers to the man who invented this.
",The locomotive self-lubricator,The train throttle,The sewing machine,The train coupling,The locomotive self-lubricator
134,"Which word means a practitioner of the martial art of Okinawan origin, karate?
",Karateka,Konyico,Karateka,Sojin,Samurai
135,"Which of these Biblical characters is known to have the greatest number of children?
",David,Jacob,King Saul,David,Joshua
136,"Which device was patented in 1970 by  Douglas Engelbart, an American inventor of Norwegian descent?
",The computer mouse,The traffic light,The computer mouse,The internal combustion engine,The can opener
137,"When did the famous American crooner Nat King Cole and his daughter Natalie Cole record their hit song, Unforgettableâ€?
",Never,in 1989,Never,in 1990,The date was never officially revealed
138,"What does the Yiddish word Bupkis mean in English?
",Nothing,None,Nothing,Never,Rubbish
139,"In ancient times, which stone was believed to protect from drunkenness?
",amethyst,amethyst,ruby,emerald,onyx
140,"Nicknamed Mighty Mo (or Big Mo), this Iowa-class battleship from the end of World War II was the last battleship built by the United States.
",USS Missouri,USS Missouri,USS Illinois,USS Idaho,USS Minnesota
141,"British musician, singer, and songwriter Elvis Costello was born Declan Patrick Aloysius MacManus.
",False,True,False,,
142,"In what year did French mechanic Nicolas Joseph Cugnot invent the first self-propelled road vehicle?
",1769,1891,1824,7874,1769
143,"This is the only RB/soul singer asked by Johnny Carson to perform twice in the same week in The Tonight Show.
",Patti LaBelle,Gladys Knight,Aretha Franklin,Patti LaBelle,Whitney Houston
144,"3M Company was formed in 1902 in Two Harbors, Minnesota near Lake Superior with the intent of selling sandpaper. The company made $22.923 billion USD in 2006 and is famous for several inventions, including Scotch tape. What does 3M stand for?
",Minnesota Mining and Manufacturing Company,The number 3000,Minnesota Mining and Manufacturing Company,The year 3000 A.D.,"Michaels, McCallister and Murphy"
145,"Having won 6 Tony Awards, including Best Musical, this 1950s production is a modern retelling of the Faust legend. Its main characters are Mr. Applegate, Joe Boyd and Lola.
",Damn Yankees,"Hello, Dolly!",The Music Man,Guys and Dolls,Damn Yankees
146,"Born in Vladivostok, Russia in 1920, this Academy Award-winning actor is best know for playing King Mongkut of Siam 4,626 times onstage. He also reprised the role in the film version of the musical.
",Yul Brenner,Telly Savalas,Yul Brenner,Lee J. Cobb,Peter Sellers
147,"This country is a founding member of the European Union and the United Nations and one of the five permanent members of the United Nations Security Council. It is visited by over 75 millions tourists annually.
",France,Germany,France,Spain,England
148,"Originally entitled Desert Song and released in 1972 by the band America, this song was banned in Kansas City for its supposed drug references.
",A Horse with No Name,Im Waiting for the Man,A Horse with No Name,Puff the Magic Dragon,Heart of Gold
149,"Author Marianna Mayer describes this mythical creature as the only fabulous beast that does not seem to have been conceived out of human fears. In even the earliest references he is fierce yet good, selfless yet solitary, but always mysteriously beautiful. He could be captured only by unfair means. What creature is this?
",Unicorn,Satyr,Griffin,Unicorn,Phoenix
150,"This Shakespearean play is referred to as The Scottish Play or The Scottish King by most actors and theater people since it is considered bad luck to mention the name of the play.
",Macbeth,King Lear,Othello,Macbeth,Hamlet
151,"The average person can live this number of days without water.
",11,11,4,21,31
152,"Clocks made before 1687 had only one hand.
",True,True,False,,
153,"The first couple to be shown in bed together on prime time television was this.
",Johnny and Mary Kay Stearns,Johnny and Mary Kay Stearns,The Simpsons,The Jetsons,The Adams
154,"He was the only US President to win the Pulitzer Prize.
",John F. Kennedy,Woodrow Wilson,Dwight D. Eisenhower,Lyndon B. Johnson,John F. Kennedy
155,"Some sources claim the youngest pope was Benedict IX (1032 A.D.), elected at this age.
",12,21,9,16,12
156,"Each king in a deck of playing cards represents a great king from history.
",True,True,False,,
157,"According to GlobalNet UK, less than what percentage of 500 Chinese cities surveyed have clean air?
",1%,15%,24%,30%,1%
158,"Tegestology is the hobby of collecting this.
",Beer mats,Beer mats,Coffee spoons,Bottle labels,Bottle lids
159,"Who invented the ball point pen?
",Jozsef Laszlo Biro,Elias Schaeffer,Elias Howe,John Fitzsimmons Waterman,Jozsef Laszlo Biro
160,"The idea of a helicopter was first documented by this man.
",Leonardo Da Vinci,Sikorsky,Einstein,Aristotle,Leonardo Da Vinci
161,"What was the first product to have a bar code?
",Wrigleys gum,Scotts Tissue,Pez candy,Bounty bar,Wrigleys gum
162,"What do we call a storage place for bees?
",Apiary,A bee zoo,Apiary,Asterciary,Aviary
163,"Former NBA coach Frank Layton once fined small forward Adrian Dantley thirty pieces of silver.  What did Layton say the fine was for?
",Betrayal,Being late to three  practices in a row,Betrayal,Asking to be traded,Missing three foul shots in a row
164,"Which of these elements has the highest melting point?
",Carbon,Nitrogen,Hydrogen,Oxygen,Carbon
165,"King John Sobieski of Poland saved Vienna from Ottoman invaders. In his honor something new was invented.  What was it ?
",The bagel,The Polish saddle,The  epee,Heeled boots,The bagel
166,"It has an unemployment rate  of 15%. According to the 2000 Census it is the poorest of   the 100 largest US Cities.  Which city is it?
",Detroit,Newark,New Haven,Detroit,Boca Raton
167,"This historical event occured in 1881 in the United States. It has been the  story line for at least 4 major motion pictures. What was this event?
",The Gunfight at the O.K. Corral,The Little Big Horn,The Gunfight at the O.K. Corral,The  Rise of the KKK,The  Attack of the 600
168,"Which President ended Reconstruction ?
",Hayes,Hayes,Grant,Garfield,Arthur
169,"What percentage of women do not wear the correct bra size?
",50-75%,50-75%,20-40%,30-40%,10-15%
170,"How often should a woman change her bra?
",every 6 months,every 9 months,every 6 months,every 5 weeks,once a 1year
171,"What price did someone pay for Marilyn Monroes bra that she wore in the 1959 movie Some Like It Hot?
","$14,000","$4,000","$14,000","$10,000","$1,000"
172,"What year did the bra first appear?
",2000 BC,4000 BC,2000 BC,1000 BC,3000 BC
173,"What year did Mary Phelps Jacobs create the first modern bra after getting mad at her hard bodice? She covered its bones with silk handkerchief and attached it with a couple of cords.
",1913,1912,1920,1925,1913
174,"This famous bra brand was introduced to the USA in May 1994.  It started selling at a rate of one every 15 seconds at the initial retail price of $26.
",Wonderbra,Bali,Wonderbra,La Perla,Victorias Secret
175,"The average woman will wear different bra sizes in her life, due to gravity, pregnancy and weight changes. How many times will she change her size?
",6,8,3,6,5
176,"A woman in the final stage of her pregnancy should not wear under-wired bras.
",True,True,False,,
177,"There are cases of heterosexual men wearing bras to hide his enlarged chest.  What is the name of the disease that causes this hormonal defect?
",Gynecomastia,Hepatitis,Gynecomastia,Budd-Chiari Syndrome,Caroli Disease
178,"Studies have proven that there is a relation between wearing bras and this disease.   Research found that 3 out of 4 women wearing bras 24 hours a day had the chance to get this disease, while women wearing bras for less than 12 hours a day had a 1 out of 152 chance.
",Breast cancer,Gynecomastia,Breast cancer,Anemia,Asthma
179,"What is the missing word in these lyrics taken from a traditional folk song of the Southern United States?
","eres a yellow rose of ______ Im goin for to see, "," other soldier knows her, nobody only me.?",Texas,Jasper,Texas
180,"The Yellow River is the second largest river after the Yangtze in what country?
",China,Australia,Japan,South Africa,China
181,"A yellow ribbon is worn to recognize the struggle that men and women face when battling cancer.
",False,True,False,,
182,"Which of the American states below does not have part of the Yellow Stone National Park in it?
",Utah,Wyoming,Montana,Idaho,Utah
183,"What type of insects are yellowjackets which live in colonies and build globular paper nests?
",wasps,ants,crickets,wasps,butterflies
184,"What type of animal is Old Yeller featured in the 1957 classic film Old Yeller?
",Dog,Panther,Dog,Grizzly Bear,Mountain Lion
185,"The Yellow Sea is connected to what ocean?
",Pacific,Atlantic,Arctic,Indian,Pacific
186,"What company produces and distributes the citrus flavored soft drink Mello Yello?
",Coca-Cola,Pepsi,Coca-Cola,Dr Pepper/Seven Up,Cadbury-Schweppes
187,"Two earthquakes with epicenter in northeast Arkansas, caused landslides and geological changes along the Mississippi River. On what date did these two earthquakes take place?
","December 16, 1811","April 27, 1815","July 23, 1809","August 12, 1823","December 16, 1811"
188,"Nails appear on fingers and toes during the 18th week of the development of a fetus.
",True,True,False,,
189,"The term lachanophobia means a fear of what?
",vegetables,vegetables,beds,doors,llamas
190,"Which statement, concerning the vision of owls is true?
",All of these,Owls must turn their entire head to change views.,All of these,Owls are far-sighted and unable to clearly see within a few inches of their eyes.,Owls have binocular vision.
191,"The oldest surviving violin, date-stamped on the inside, is the Charles IX, made in 1564 by which luthier?
",Andrea Amati,Antonio Stradivari,Pietro Guarneri,Andrea Amati,Andrea Guarneri
192,"The painting Mona Lisa by Leonardo da Vinci was stolen on August 21, 1911.
",True,False,True,,
193,"Slugs have how many tentacles on their head?
",4,8,4,7,3
194,"Moe Berg was a professional baseball player, a catcher. Which one of these statements about him is correct?
",He was an international spy.,He  was the only catcher to catch three no hitters.,He was the last out in Don Larsens perfect game.,He was an international spy.,He was on base when Ruth hit home run number 60.
195,"How many legs does a dragonfly have?
",6,8,0,4,6
196,"Which is the only food that never spoils?
",Honey,Honey,Potatoes,Pasta,Peanut butter
197,"Although opponents tried to spread rumors that he was in the KKK, this President completely integrated the U.S. Armed Forces.
",Truman,Andrew Johnson,Lyndon Johnson,Hoover,Truman
198,"Where did the Black Plague  originate?
",India,Turkey,Italy,Russia,India
199,"Who was Aristotles teacher?
",Plato,Plato,Ptolemy,Socrates,Alexander
200,"Who was Aristotles most famous student?
",Alexander,Phillippus Magnus,Alexander,Erasmus,Ptolemy
201,"What is the largest mountain in the western hemisphere?
",Aconcagua,McKinley,Pissis,Aconcagua,K2
202,"What is the largest city on the worlds largest island?
",Godthaab,Rabaul,Frobisher Bay,Godthaab,Weser
