,Questions,Correct,A,B,C,D
69,"Who played Detective Donahue on TV show, Soap?
",John Byner,John Byner,Sal Viscuso,Robert Mandan,Richard Mulligan
70,"What actor played Huggy Bear on the show Starsky and Hutch?
",Antonio Fargas,Antonio Fargas,Thalmus Rasulala,Whitman Mayo,Snoop Dog
71,"Who played Charlie Harrison on the sitcom, Fish?
",Barry Gordon,Barry Gordon,Jay North,Johnnie Whitaker,Rusty Hamer
72,"Who played Carrie on 70s TV show, Little House on the Prairie?
",All of these,Lindsay Sidney Greenbush,Lindsay  Greenbush,All of these,Sidney Greenbush
73,"Who played the role of Chuck on television sitcom, Happy Days?
",Gavan O Herlihy,Don Grady,James Broderick,Gavan O Herlihy,Harold Lipschitz
74,"What actor played Cousin Oliver on ABCs situation comedy, The Brady Bunch?
",Robbie Rist,Harry Hand,Robbie Rist,Michael Gray,Neil J. Schwartz
75,"Who played Keith on 1970s CBS sitcom, Good Times?
",Ben Powers,Al Jarreau,Ben Powers,Len Powers,Gregory Abbott
76,"Who sang the buoyant theme song for the CBS sitcom, The Jeffersons?
",Janet DuBois,Glodean James,Marla Gibbs,Janet DuBois,Patti Labelle
77,"On television miniseries, Rich Man, Poor Man Book 1, who played the role of Tom Jordache?
",Nick Nolte,Peter Strauss,Perry King,Nick Nolte,Gavan O Herlihy
78,"Which of these shows did Alan Hale Jr. play on?
",Gilligans Island,Bewitched,Gilligans Island,Dark Shadows,None of the above
79,"Which of these shows did Russell Johnson play on?
",Gilligans Island,Rosanne,Bewitched,Gilligans Island,Cosby
80,"Which of these shows did Milburn Stone play on?
",Gunsmoke,Gunsmoke,Bonanza,Dynasty,Good Times
81,"Which of these shows did Eve Plumb play on?
",The Brady Bunch,Little House on the Prairie,Cosby,The Waltons,The Brady Bunch
82,"Which of these shows did Anissa Jones play on?
",Family Affair,Bewitched,Good Times,Everybody Loves Raymond,Family Affair
83,"Which of these shows did Betty Lynn play on?
",The Andy Griffith Show,Gilligans Island,Dark Shadows,The Andy Griffith Show,The Life of Riley
84,"Which of these shows did Eddie Albert play on?
",Green Acres,The Love Boat,Green Acres,The Mod Squad,Alf
85,"Name the two main families in the TV series Soap, which ran on ABC from 1977 to 1981.
",The Tates and the Campbells,The Tates and the Smiths,The Tates and the Campbells,The Campbells and the Bradys,The Campbells and the Nelsons
86,"What were the first names of the Tuscadero sisters, portrayed by Suzi Quatro and Roz Kelly, on TV series, Happy Days?
",Leather and Pinky,Leather and Suede,Leather and Pinky,Pinky and Blue,Black and Blue
87,"In detective series Baretta, detective Tony Baretta lived in a run-down hotel with what pet?
","Fred, the cockatoo","Fred, the cockatoo","Max, the Border Collie","Tink, the snake","Boz, the turtle"
88,"On the sitcom Brady Bunch, Carol was a single mother before marrying Mike Brady, because her husband had been killed in a car accident.
",False,True,False,,
89,"What was Skipper Grumbys first name on TV sitcom, Gilligans Island?
",Jonas,Jonas,Jonathon,John,Joseph
90,"Jaime Sommers, the bionic woman who first appeared on TV series The Six Million Dollar Man, was nearly killed in an accident involving what?
",A parachute,A car,A spacecraft,A parachute,Scuba diving
91,"What actor played the character of Vinnie Barbarino on the sitcom, Welcome Back, Kotter?
",John Travolta,Patrick Duffy,Don Johnson,John Ritter,John Travolta
92,"What was the name of Radars dog in the 1972-1983 TV series, M*A*S*H?
",Ranger,Soldier,Ranger,Trooper,Buck
93,"Which actress played the oldest sister, Marcia Brady, on The Brady Bunch?
",Maureen McCormick,Maureen McCormick,Ann B. Davis,Maureen McGovern,Florence Henderson
94,"Which actor played the Skipper on the cult sitcom Gilligans Island?
",Alan Hale,Jonas Quimby,Jonas Hale,Alan Thicke,Alan Hale
95,"Steve Douglas, Mikes father on television series sitcom, My Three Sons was portrayed by actor Edwin R. Murray.
",False,False,True,,
96,"MTV super stars, Jessica and Ashlee Simpsons father used to be a youth minister at a church before managing their careers.
",True,False,True,,
97,"What actor portrays bumbling idiot deputy, Barney Fife, in The Andy Griffith Show?
",Don Knotts,Jim Nabors,Don Knotts,George Lindsay,Andy Griffith
98,"What Places in the Heart star also played the starring role of The Flying Nun in her earlier days?
",Sally Field,Meryl Streep,Cher,Sally Field,Cicely Tyson
99,"Baywatch hunk, David Hasselhoff, also starred in a TV detective series called Vegas.
",False,False,True,,
100,"Buddy Ebsen, who played Detective Barnaby Jones on the TV series Barnaby Jones, and Jed Clampett on the Beverly Hillbillies, served for 5 years as a lieutenant in what branch of the United States armed forces?
",United States Coast Guard,United States Army,United States Coast Guard,United States Navy,United States Air Force
101,"This TV mom, who was married to Darrin, had a daughter Tabitha and a son Adam.
",Samantha Stephens,Jill Taylor,Samantha Stephens,Edith Bunker,Claire Huxtable
102,"This blue-haired mom and her husband Homer had 3 kids, Bart, Lisa and Maggie.
",Marge Simpson,Edith Bunker,Thelma Harper,Marge Simpson,Betty Rubble
103,"This TV character and her spouse Tim The Tool Man were the parents of  Brad, Randy and Mark.
",Jill Taylor,Florida Evans,Maureen Robinson,Jill Taylor,Edith Bunker
104,"This hard-working TV mother and her husband James took care of their three children, J. J., Thelma and Michael.
",Florida Evans,Thelma Harper,Roseanne Conner,Florida Evans,Isabel Sanford
105,"This TV mom and her husband John struggle to live a decent life during the Great Depression and the Second World War, taking care of their seven kids, John Boy, Mary Ellen, Jason, Erin, Ben, Jim Bob and Elizabeth.
",Olivia Walton,Jill Taylor,Marge Simpson,Olivia Walton,Betty Rubble
106,"Which TV sharp-tongued widow had a son, named Vinton?
",Thelma Harper,Edith Bunker,Shirley Partridge,Thelma Harper,Lois Wilkerson
107,"This TV character, who is a trained biochemist, and her husband John are the parents of  Judy, Penny and Will.
",Maureen Robinson,Claire Huxtable,Maureen Robinson,Thelma Harper,Elizabeth Montgomery
108,"This TV mom and her husband Cliff live in in Brooklyn, New York with their kids Sondra, Denise, Theo, Vanessa and Rudy.
",Claire Huxtable,Carol Brady,Jill Taylor,Isabel Sanford,Claire Huxtable
109,"This TV mom and her husband Hal are the parents of Francis, Reese, Malcom, Dewey and Jamie.
",Lois Wilkerson,Samantha Stephens,Lois Wilkerson,Wilma Flintstone,Jane Curtin
110,"This bossy and dominant TV character and her easy-going husband Dan have three children, Becky, Darlene, and DJ.
",Roseanne Conner,Anne Romano,Olivia Walton,Thelma Harper,Roseanne Conner
111,"What year did the popular sitcom Happy Days first hit the airwaves?
",1974,1969,1974,1970,1968
112,"Ralph Malph, the chracter from Happy Days who left with Richie to join the army, was played by which actor?
",Donny Most,Donny Most,Anson Williams,Randolph Roberts,Gavan O Herlihy
113,"What high school did the gang from the sitcom Happy Days attend?
",Jefferson,Cleveland,Fillmore,Jefferson,Madison
114,"The sci-fi-based sitcom Mork and Mindy was a spinoff from the 70s show Happy Days.
",True,False,True,,
115,"What was the name of Fonzies girlfriend, portrayed on the show Happy days by actress Roz Kelly?
",Pinky,Laverne,Dawn,Phoebe,Pinky
116,"What was the last name of Chachi, the character from Happy Days, who eventually married Joanie Cunningham?
",Arcola,Fonzarelli,Arcola,DeMartino,Cappiacola
117,"On the ABC show Happy Days, Richie got married to Lori Beth, who was portrayed by which actress?
",Lynda Goodfriend,Linda Lavin,Lynda Purl,Lynda Goodfriend,Linda Schwartz
118,"On the sitcom Happy Days, Fonzie worked as a mechanic in which garage?
",Broncos Garage,Casperellis Repair Shop,Pinkys Fix  It Fast,Arthurs  Auto Shop,Broncos Garage
119,"Who played the part of Fonzies father in the ABC TV series Happy Days?
",Cesar Romero,Cesar Romero,Joey Bagadonuts,Vicent Gardenia,Al Molinaro
120,"What was the name of the oldest Cunningham brother on the show  Happy Days?
",Chuck,Chuck,Mitch,Bobby,Billy
121,"This character from the popular sitcom Happy Days was a waitress on roller skates, played by Beatrice Cohen.
",Marsha,Jan,Marsha,Cindy,Carol
122,"Heather O Rourke who played the little girl in Poltergeist was a regular cast member of the 70s hit show Happy Days.
",True,True,False,,
123,"Who played the role of  Police Officer Jon Baker on the hit show CHiPs, which hit the airwaves in 1977?
",Larry Wilcox,Bruce Penhall,Robert Pine,Larry Wilcox,Paul Linke
124,"This actor played the role of Nels Oleson, the proprietor of the towns general store, in the TV series Little House on the Prairie.
",Richard Bull,Kevin Hagen,Michael Landon,Richard Bull,Dabs Greer
125,"Which Emmy-winning actor portrayed detective Dan Tanna on the 70s show  Vegas?
",Robert Urich,David Hasselhoff,Sam Elliot,Greg Evigan,Robert Urich
126,"Who played the role of Lt. Bill Crowley on the hit television show Police Woman, that ran from 1974 to 1978?
",Earl Holliman,Jerry Reed,Val Bisoglio,Earl Holliman,Dave Madden
127,"Which Canadian actor starred on the sitcom Diffrent Strokes as the rich widower Phillip Drummond?
",Conrad Bain,Robert Conrad,Conrad Janis,Conrad Bain,William Conrad
128,"This African-American actor played the role of Grady Wilson on the sitcom Sanford and Son, which debuted on NBC in 1972.
",Whitman Mayo,Slappy White,Don Bexley,Demond Wilson,Whitman Mayo
129,"The Facts of Life was the only spin-off from the popular television show Diffrent Strokes.
",False,True,False,,
130,"Who starred on the sitcom Alice as the neurotic and feather-brained Vera?
",Beth Howland,Polly Holliday,Beth Howland,Celia Weston,Diane Ladd
131,"Phillip McKeon, who played Alices son Tommy Hyatt on the show Alice, is a relative of Nancy McKeon.
",True,False,True,,
132,"Who played the role of  Lori Beth Allen on the sitcom Happy Days, that debuted on ABC in 1974?
",Lynda Goodfriend,Cathy Silvers,Linda Purl,Crystal Bernard,Lynda Goodfriend
133,"In episode #48 of the sitcom The Brady Bunch, entitled  Alices September Song, Alice gets a visit from an old boyfriend whose name is what?
",Mark Millard,Mark Millard,Sam  Dabutcher,Mike Gregory,John Stephenson
134,"What was the name of Cindys beloved doll in the The Brady Bunch?
",Kitty Karryall,Baby This and That,Mrs. Beasley,Kitty Karryall,Tiffany Taylor
135,"This actor portrayed Sam the Butcher, a recurring character in the TV series, The Brady Bunch.
",Allan Melvin,Joe E. Ross,Allan Melvin,Jerry Van Dyke,Carroll  OConnor
136,"This actor is famous for playing the role of Peter Brady on the sitcom, The Brady Bunch.
",Christopher Knight,Michael Knight,Ted Knight,Barry Williams,Christopher Knight
137,"In Getting Gregs Goat, an episode of The Brady Bunch, Greg steals the goat Raquel, mascot of which rival school?
",Coolidge High School,Millard Fillmore High School,Carver High School,Coolidge High School,James Madison High School
138,"This character, played by Robbie Rist is Carols nephew, who appeared in the final season of  The Brady Bunch.
",Oliver,Stan,Oliver,Sigmund,Jason
139,"In 54-40 and Fight, an episode of The Brady Bunch,  the kids collect trading stamps and decide who will keep control over all stamps, using what type of contest?
",Building a house of cards,3 legged race in the backyard,Building a house of cards,Doing chin ups on the swing set,Bicycle race
140,"What was Carols full name before she married Mike Brady in the pilot episode of The Brady Bunch?
",Carol Tyler Martin,Carol Luise Anderson,Carol Tyler Martin,Carol Anderson Bradford,Carol Brown Whitaker
141,"This actress portrays Aunt Jenny in an episode of the The Brady Bunch, entitled Jans Aunt Jenny.
",Imogene Coca,Natalie Schaefer,June Lockhart,Frances Whitfield,Imogene Coca
142,"This actress, who as an adult got into graphic design, played the role of Cindy, one of Carols daughters on The Brady Bunch.
",Susan Olsen,Cynthia Olsen,Susan Olsen,Mary Kate Olsen,Nellie Olsen
143,"What year did the long-running television show Cheers  first hit the airwaves?
",1982,1980,1979,1982,1984
144,"Sam Malone, the bartender and owner of the eponymous bar on the show Cheers, was a former major league pitcher. What was his nickname as a player?
",Mayday Malone,Mayday Malone,Sam the Man,The Mighty Malone,Strike em Out Sammy
145,"Who played the role of the blond waitress Diane Chambers in the 80s TV series Cheers?
",Shelley Long,Shelley Long,Kirstie Alley,Jackie Swanson,Diane Lane
146,"The television show Frasier was a spinoff of the sitcom Cheers.
",True,True,False,,
147,"On the sitcom Cheers, actress Rhea Perlman played the role of Carla. What was Carlas last name?
",Tortelli,Esposito,Tortelli,Gianculli,Farlow
148,"What was the name of  Woody Boyds girlfriend on the show Cheers?
",Kelly,Nelly,Shelley,Michelle,Kelly
149,"What was the maiden name of Frasier Cranes wife Lilith, portrayed on the show Cheers by Bebe Neuwirth?
",Sternin,Schwartz,Tannenbaum,Sternin,Goldschmidt
150,"Hall of Fame baseball player Wade Boggs appeared on the NBC sitcom Cheers.
",True,True,False,,
151,"What is the theme song of the TV show Cheers, performed by Gary Portnoy?
",Where Everybody Knows Your Name,Love and Marriage,Do You Remember Me,Where Everybody Knows Your Name,I Love You
152,"What year did the popular NBC show Cheers go off the air?
",1993,1993,1997,1992,1994
153,"Which New York City school did Archie Bunker from TV series, All in the family attend?
",William Cullen Bryant,Long Island City,William Cullen Bryant,James Madison,Grover Cleveland
154,"In what year did the popular sitcom All in the Family first hit the airwaves?
",1971,1972,1969,1970,1971
155,"In the sitcom All in the family, Archie Bunker was a dock foreman for what company?
",Prendergast Tool and Die company,Bills bait and Tackle,Johnny Estradas Hardware Goods,Freemans  Bait and Tackle,Prendergast Tool and Die company
156,"In TV series All in the Family, the Bunkers resided at what address?
",704 Houser Street,22-20 77th Street,23-34 Dorothy Place,1313 Mockingbird Lane,704 Houser Street
157,"In the series All in the Family, what nickname was given to Michael Stivic by his father-in-law, Archie Bunker?
",Meathead,Dummy,Dingbat,Big Butt,Meathead
158,"This character from All in the Family, played by actress Danielle Brisebois, was adopted by the Bunkers.
",Stephanie,Stephanie,Billie,Gloria,Millie
159,"In season four of  All in the family, Betty Garrett and Vincent Gardenia played the Bunkers new next-door neighbors, whose last name was what?
",Lorenzo,Esposito,Lorenzo,Cappiacola,LaRocca
160,"What was the name of the bar, that Archie Bunker used to frequent in All in the family?
",Kelseys Bar,Kelseys Bar,The Manor Lounge,Murrays Bar and Grill,O Neills Pub
161,"The sitcom, All in the Family is based on what British TV series?
",Till Death Do Us Part,Honey I Love You,Archibald And Edith,Till Death Do Us Part,The British Are Coming
162,"Which African-American couple lived next to the Bunkers on All in the Family?
",The Jeffersons,The Montgomerys,The Johnsons,The Whites,The Jeffersons
163,"Amy has one brother, but he has been called two different names.  He is mentioned and seen once in an early season. In later seasons he appears with a different name.  What are the two names he has been referred to as?
",B. Peter  Russell,A. Peter  Rusty,C. Rusty  Russell,B. Peter  Russell,D. Russell  Ryan
164,"After Deborahs parents divorce, they visit for Thanksgiving.  What does Ray witness that creeps him out?
",Warren  Lois in bed together.,Warren watching an adult movie.,Warren  Lois in bed together.,Lois kissing Robert.,Warren in bed naked.
165,"What was Roberts ex-wifes name as an exotic dancer in Atlantic City?
",Cinnamon,Peppermint,Cinnamon,Honey,Bambi
166,"After Marie drives the car into Ray and Deborahs house, why does Ray get so upset when it is repaired?
",The stripes on the new wallpaper are different.,Deborah doesnt think it looks the same as before.,Frank wont pay for it.,The stripes on the new wallpaper are different.,The window is moved over.
167,"How did Robert get injured on the job?
",He was gored by a bull.,He was attacked by a rabid dog.,He fell in a manhole.,He was gored by a bull.,He was shot during a robbery.
168,"Where was Deborah working when she met Raymond?
",For the New York Rangers.,For the New York Mets.,"At the Hunt, Rogers and Snyder law firm.",For the New York Rangers.,At The Charlotte Sterling Advertising Agency.
169,"What did Robert get Amy for their first Valentines Day together.
",Iguana,Iguana,Puppy,Flowers,A necklace
170,"Where did Frank say he learned to play ping pong?
","In Korea, during the war.","In Korea, during the war.",In college.,From his father.,At the lodge.
171,"Who does Ray get into a fight with when he takes Allie to sell Campfire Girl Cookies?
","The Troop leader, Peggy",Allie,"The Troop leader, Peggy",A neighbor,A business owner
172,"What indiscretion does Deborah commit during college that ended up on the front page of the paper?
",She got topless at Mardi Gras.,She got drunk.,She went to a nude beach.,She got arrested for lewd behavior.,She got topless at Mardi Gras.
173,"When Raymond is seen swing dancing at a club, what does a woman comment that may be wrong with him.
",An inner ear problem.,A seizure.,He is mentally challenged.,An inner ear problem.,Body spasms.
174,"This TV cartoon character used the catchphrase HEY HEY HEY starting in 1972.
",Fat Albert,Fat Albert,Scooby Doo,Underdog,Archie Andrews
175,"Danger, Will Robinson was heard each week on this science fiction show back in 1965.
",Lost in Space,Johnny Quest,Mannix,Its About Time,Lost in Space
176,"This show, set in Chicago, featured a character who used the catchphrase Dyn-o-mite.
",Good Times,The Mary Tyler Moore Show,Good Times,The Dick Van Dyke Show,Barnaby Jones
177,"Godll get you for that was the catchphrase of Edith Bunkers cousin who appeared on which of these shows?
",Maude,Maude,Columbo,The Jackie Gleason Show,The Waltons
178,"Is that your final answer was said in each episode by the host of what game show?
",Who Wants To Be Millionaire,Jeopardy,Who Wants To Be Millionaire,Match Game P.M.,The Wheel Of Fortune
179,"The one-word catchphrase Stifle! was addressed to Edith Bunker weekly on what TV show?
",All in the Family,Mannix,Good Times,All in the Family,The X-Files
180,"Baby, youre the greatest could be heard from a New York bus driver on what show?
",The Honeymooners,The A-Team,The Honeymooners,Bonanza,Gunsmoke
181,"The catchphrase Good night, John Boy could be heard at the end of each episode of this family show.
",The Waltons,The Waltons,Leave it to Beaver,Sanford and Son,The Honeymooners
182,"At the end of most episodes of this show, Steve McGarrett would say Book em Danno.
",Hawaii Five - 0,Barney Miller,Hawaii Five - 0,Mannix,The Andy Griffith Show
183,"Come on down is a catchphrase heard on this game show hosted by Bob Barker.
",The Price Is Right,The Price Is Right,Blockbusters,Super Password,Lingo
184,"What 70s television show featured three waitresses who worked at a diner in Phoenix, Arizona?
",Alice,Roseanne,Alice,Gimme a Break,Food for Thought
185,"This controversial television show, which was the hit of 1977, centered around two families - the Tates and the Campbells.
",Soap,Mamas Family,Soap,Love Sidney,Im A Big Girl Now
186,"This 70s television, patterned after the hit series Love, American Style, consisted of sketches dealing with love of all types, young and old, married and unmarried. All of the stories took place on a luxury cruise ship.
",The Love Boat,Love Connection,Fantasy Island,Blanskys Beauties,The Love Boat
187,"This 70s television show, set in Pasadena, California, focused on a middle class family, the Lawrences. The father Doug Lawrence was a lawyer.
",Family,Eight Is Enough,Family,Family Affair,Family Matters
188,"This 70s television show was centered around a husband and wife who were supersleuths. Jonathan was a self-made millionaire and his wife Jennifer was a freelance journalist.
",Hart to Hart,Just the Two Of Us,Love And Marriage,To Catch a Thief,Hart to Hart
189,"Who played the role of Beaver Cleaver in 1950s sitcom, Leave it to Beaver?
",Jerry Mathers,Bob Denver,Tony Dow,Jerry Mathers,Wile E. Coyote
