,Questions,Correct,A,B,C,D
36,"Silver doesnt harm vampires.
",False,False,True,,
37,"Peter Kurten was called a vampire, because he consumed the blood of some of his victims. He was accused of nine murders and seven attempted murders and was sentenced to death. He was guillotined on 2 June 1932. What was his nationality?
",German,Briton,Romanian,Russian,German
38,"The great circle on the celestial sphere, midway between the celestial poles is called this.
",Equinoctial,Equilibration,Equinity,Equilibria,Equinoctial
39,"If I am famous for my steadiness of mind under stress, then I am famous for this.
",Equanimity,Equid,Equalization,Equanimity,Equalitarianism
40,"If a statement is ambiguous, it is said to be this.
",Equivocal,Equestrian,Equipoised,Equivocal,Equilateral
41,"One of the four pairs of words below contains two synonyms.
",Equal - Equivalent,Equal - Equivalent,Equipollent - Equipped,Equipotential - Equilateral,Equipage - Equipoise
42,"Do the words equivoke and equivoque mean the same?
",Yes,No,Yes,,
43,"Gilgamesh is a character from the Sumerian mythology.
",True,True,False,,
44,"Athena was the Greek equivalent of the goddess Minerva.
",True,True,False,,
45,"Nike was a goddess, who personified triumph and victory (Greek mythology). Ironically, she was paralyzed and could not move her legs.
",False,False,True,,
46,"Helicon is the name of an ancient lake, where the Muses were born.
",False,True,False,,
47,"Calliope was the muse for music.
",False,True,False,,
48,"Marduk was a Mesopotamian deity.
",True,False,True,,
49,"Svarog is the highest god of the pantheon (Slavic mythology) and the god of thunder and lightning.
",False,True,False,,
50,"The creature from Slavic mythology known as Zmey actually resembles a dragon.
",True,False,True,,
51,"Loki is the god of mischief of Norse mythology.
",True,True,False,,
52,"One of these words has mid-17th century Latin origins and is a synonym of the word, wavy.
",Undulate,Unhair,Unialgal,Unduly,Undulate
53,"Which of these definitions does not describe a present day meaning of the word sesquipedalian?
",Having a lot of feet,Characterized by the use of long words,Having a lot of feet,Having many syllables,Large in length
54,"The archaic word wittol, already out of use and found mostly in old books, stands for a person who is very wise.
",False,True,False,,
55,"Which of these words is used to describe something with a yellow color or tending toward a yellow color?
",Xanthic,Xeric,Xenolith,Xanadu,Xanthic
56,"The word â€œpromiscuousâ€? is used in physical description to refer to someone with exclusive charm and sex appeal.
",False,False,True,,
57,"We all know purple and its numerous variations, but can you name the odd one in this synonymic order dedicated to the shade of purple?
",Indigo,Lavender,Indigo,Amethyst,Wine
58,"Having in mind the words meaning, does it  fit in the following analogy: Juvenile is to young as *geriatric* is to aged.
",Yes,No,Yes,,
59,"The amarok, which is typical for the mythology of the Eskimos, is what kind of an animal?
",wolf,whale,walrus,bear,wolf
60,"The banshee, a female spirit in Irish mythology, is known for doing what?
",Wailing,Laughing,Stealing,Playing tricks,Wailing
61,"The hippocampus, a mythical monster with the head of a horse and body of a fish, pulled the chariot of which god?
",Poseidon,Zeus,Poseidon,Mars,Neptune
62,"Anubis was the jackal-headed judge of the dead from what mythology?
",Egyptian,Egyptian,Aztec,Mesopotamian,Norse
63,"The Kraken from seafaring lore was a monster often described as what?
",Giant squid,Humpback whale,Giant jellyfish,Great White shark,Giant squid
64,"A brownie is a legendary elf popular in the folklore of which two countries?
",England  Scotland,Germany  Austria,England  Scotland,Ireland  Wales,Denmark  Holland
65,"A cuero is a mythical giant octopus of which continent?
",South America,South America,Africa,North America,Europe
66,"A dwarf is a little humanoid creature with a large head and a long beard, typical for what mythology?
",Scandinavian,Cornish,Scottish,Celtic,Scandinavian
67,"A ghul is an evil spirit encountered by travelers in what area of the world?
",Arabian Dessert,Arabian Dessert,Scottish Highlands,Northern Africa,Australian Outback
68,"The wodewose is a club-wielding ogre with green hair who suffers from what malady?
",He was mute,He was mute,He was blind,He was lame,He was deaf
69,"The gods Atum and Ra merged.  The dominant of the two was Ra.
",True,True,False,,
70,"Priests often wore a mask of this god during mummification ceremonies.
",Anubis,Bastet,Hapy,Aten,Anubis
71,"God Bes was depicted as this.
",Dwarf with lion and human features,Dwarf with lion and human features,Giant with dog and human features,Dwarf with dog and human features,Giant with lion and human features
72,"Osiris had an equivalent in Greek mythology.  Who was this counterpart of his?
",Hades,Herakles,Zeus,Hades,Hermes
73,"Tefnut had the body of a lioness.
",False,False,True,,
74,"The name of god Amen means this.
",The Hidden One,The Wise One,The Stupid One,The Mighty One,The Hidden One
75,"At first, there was only this god. He was the dark waters of chaos.
",Nun,Nun,Atum,Iris,Bes
76,"The word tycoon means a wealthy businessperson.  What language does it come from?
",Chinese,Greek,Latin,Russian,Chinese
77,"Apart from being the name of a well-known rock group, placebo also means an innocuous medicine, prescribed only for psychological effect over the patient or for experimentations. But what is its true meaning in Latin?
",I shall please,Pleasure,Hypnotism,I shall please,Harmless
78,"The original meaning of the word grotesque was very different from the one we know. What was it?
",Fantastic,Foolish,Big,Illiterate,Fantastic
79,"The Amazon estuary is truly magnificent. The word estuary comes from this language.
",Latin,Latin,Chinese,Spanish,Portuguese
80,"The word devil is derived from the Greek word diabolos. What does diabolos mean?
",Accuser,Silly,Accuser,Offender,Insane
81,"After a divorce, the court might order one of the sides to pay an alimony. What are the origins of the word alimony?
",Latin,Turkish,Greek,Latin,Japanese
82,"The Greek word kome means hair of the head. Which one of these words derives from it?
",Comet,Court,Coma,Comet,Comb
83,"The name of the flower dandelion comes from this language.
",French,Portuguese,Anglo-Saxon,French,Swedish
84,"A good sense of humor is highly valued everywhere. The original meaning of the word humor in Latin (more accurately umor) is this.
",Body fluid,State of mind,Body fluid,Good word usage,Good joke
85,"The word nice is very popular nowadays, but its original meaning in Latin is not as nice.
",Ignorant,Disobedient,Clumsy,Ignorant,Hideous
86,"The longest word in the English language is pneumonoultramicroscopicsilicovolcanoconiosis. It consists of 45 letters and stands for this.
",Disease,Part of an organ,Surgical operation,Disease,Medical device
87,"One of the following words is a synonym of the word cognoscente.
",Connoisseur,Supervisor,Distributor,Philosopher,Connoisseur
88,"The word razzmatazz means this.
",Ambiguous language,Ambiguous language,Gizmo,Knick-knack,Amulet
89,"A nap in the early afternoon is called by this word taken from Spanish.
",Siesta,Enchilada,Taco,Arroyo,Siesta
90,"Crwth is a fascinating word. It has no vowels. This is what it means.
",Musical instrument,Tool,Musical instrument,Rulers title,Pot
91,"The she-goat Amalthea, which nursed baby Zeus, is represented by what constellation?
",Capra,Hydra,Capricorn,Capra,Virgo
92,"This constellation was named after a Greek goddess. She was beautiful, but conceited. In order to punish her for that, Poseidon sent her figure to the skies upside down.
",Cassiopeia,Perseus,Aquila,Andromeda,Cassiopeia
93,"There are many myths about this constellation. The earliest one, however, comes from a Sumerian legend about a female dragon, who ruled over the primordial ocean before the creation. But new gods rebelled against her and sent her to the skies.
",Draco,Crux,Draco,Aquila,Cygnus
94,"Although it is a galaxy, the story about its creation is not less intriguing. Many legends associate its formation with milk spilled in one way or another. However, a Mesopotamian legend explains another thing. After the deluge the ark of Utnapishtim, the Sumerian Noah, was stuck on Mount Ararat. He then made a sacrifice to the gods and this galaxy was created out of the smoke of the fire.
",The Milky Way,Aries,Draco,Ara,The Milky Way
95,"This constellation was named after a creature from the Greek mythology which is a combination between a human and a horse. Such creatures were of violent nature but there was one exception - Chiron, who was the tutor of Hercules.
",Centaur,Eridanus,Auriga,Delphinus,Centaur
96,"This is a star group in Taurus. It was called after the seven daughters of the Titan Atlas and the Nymph Plieone - Alcyone, Maia, Electra, Merope, Taygeta, Celaeno, and Sterope.
",Pleiades,Gemini,Aries,Pleiades,Crux
97,"This constellation was named after a Greek hero who bragged to be the greatest hunter. Goddess Hera heard that and sent a scorpion after him to test his skills. The hero was stung to death by the scorpion. Zeus felt sorry and sent him to the sky.
",Orion,Sagitta,Cancer,Sirius,Orion
98,"This constellation is often associated with Ganymede, who was a beautiful Phrygian youngster. Jupiter once saw him, fell in love with the lad and came to the earth as a bird, which took him to the skies. Since then he has served as the cup bearer of the gods.
",Aquarius,Delphinus,Aquarius,Ara,Pisces
99,"This was the instrument that Orpheus played so well that his music enchanted even the wild beasts, the rocks, and the trees. After he lost his beloved one - Eurydice, Zeus placed Orpheuss musical instrument on the sky.
",Lyre,Triangulum,Libra,Lyre,Sagitta
100,"This constellation represents the twin brothers Castor and Pollux. They were born by one mother, Leda, but had different fathers. Leda got pregnant simultaneously by Jupiter and the king Tyndarus of Sparta. When Castor died, Pollux felt so sorry that he begged Jupiter to unite them again, so Jupiter reunited the brothers in the sky.
",Gemini,Gemini,Puppis,Pleiades,Pisces
101,"What does the verb to dub mean?
",To give a name,To make a major mistake,To study hard as in an all- nighter,To give a name,To hit very hard on the head or neck
102,"If you command a horse to gee, what do you expect him to do?
",Turn right,Stop completely,Go back a few paces,Turn left,Turn right
103,"If you put a hex on someone, what have you done?
",Put him or her under a spell,Curse that person to hell,Drown him or her as a witch.,Wish him or her good luck,Put him or her under a spell
104,"Which of the following terms means to search for fun?
",Gad,Dap,Vex,Gad,Gob
105,"What does to vex mean?
",To annoy,To annoy,To hurry,To spin very fast,To curse
106,"What does to sup refer to?
",Eat an evening meal,Eat soup very nosily,Dine in elegance,Eat an evening meal,Eat like an animal
107,"What does the verb hew mean?
",To cut,To cut,To fasten with glue or paste,To mend,To hollow out a log
108,"Which of the following terms means to recede?
",Ebb,Lob,Orb,Gee,Ebb
109,"What does to hie mean?
",To hurry,To hurry,To fear,To stop,To type by touch
110,"What is the meaning of the verb to jam?
",To interfer with a radio signal,To interfer with a radio signal,To spread with a jelly-like substance,To soak flax prior to spinning,To unclog a bunch of logs in a stream
111,"Which of the following fictional or legendary hybrids is not half-human?
",Baku,Merman,Asterius,Half-orc,Baku
112,"Which of the following is a legendary creature with a lion body and eagle head and wings?
",Griffin,Basilisk,Mandrake,Arachne,Griffin
113,"What is the name of the monstrous creature from Greek Mythology, that is the offspring of Typhon and Echidna?
",Chimera,Chimera,Pegasus,Mermaid,Chiron
114,"What kind of creature was the African mythological hybrid Jengu?
",A water spirit,A water spirit,An elf,A lizard,A monstrous insect
115,"This hybrid is an Egyptian sacred baboon with the head of a dog.
",Cynocephalus,Sphinx,Felinity,Reprobus,Cynocephalus
116,"What is the name of the legendary half-man and half-goat (or half-horse) creature often associated with male sexuality in Greek mythology?
",Satyr,Praxiteles,Anubis,Pan,Satyr
117,"The sphinxes, the popular legendary creatures of the Ancient Egyptians, could be depicted with three different heads. Which head that was not typical for the sphinx?
",Snake head,Snake head,Ram head,Bird head,Human head
118,"The legendary creature Peryton, that was said to come from the lost continent Atlantis, is a hybrid of what two animals?
",Stag and bird,Stag and bird,Stag and snake,Horse and lizard,Bird and insect
119,"Which of the following is an evil mythological hybrid of a woman and a bird?
",Harpy,Ogress,Harpy,Trowe,Titan
120,"The world sirena refers to this mythical or folklore hybrid of a woman and an animal?
",Mermaid,Mermaid,Grendel,Vampire,Manticore
121,"In which musical does Curly sing Surrey With the Fringe on Top to entice his girlfriend to accompany him to a party?
",Oklahoma,Oklahoma,Will Rogers Follies,The Pajama Game,Sound of Music
122,"The hit song If I Were a Rich Man, which reflected the dreams of a poor milkman, came from which musical of the 60s?
",Fiddler on the Roof,Fiddler on the Roof,42nd Street,Chicago,Cats
123,"All That Jazz is the opening number of which 1975 Bob Fosse musical?
",Chicago,42nd Street,Chicago,Fiddler on the Roof,Cats
124,"The moving song I Am What I Am is sung at the end of Act I of which Jerry Herman hit show?
",La Cage aux Folles,Hello Dolly,La Cage aux Folles,Damn Yankees,My Fair Lady
125,"Which musical of the 50s featured the song Some Enchanted Evening?
",South Pacific,Mame,Hello Dolly,South Pacific,George M.
126,"Whatever Lola Wants is performed by the sultry Lola trying to tempt a faithful husband in which  Bob Fosse show?
",Damn Yankees,Fosse,The Pajama Game,Chicago,Damn Yankees
127,"In which show does Eliza sing The Rain in Spain?
",My Fair Lady,My One and Only,Kismet,Kiss me Kate,My Fair Lady
128,"Fill in the blank with the correct word:
"," would be as well to let it go, ___ too far out.",,,,
129,"te from A New Hope
",its,...,its,...,its
130,"The word catholic means the same whether capitalized or not.
",False,False,True,,
131,"Stationery means fixed, not moveable.
",False,True,False,,
132,"Stationary is fancy writing paper.
",False,False,True,,
133,"What is the meaning of the adverb altogether?
",Entirely,Entirely,Near by,Unclothed,In the same place
134,"What does the collocation all together mean?
",In the same place,In the same place,Completely,The same as altogether,All told
135,"What does the word principal mean?
",Main,Origin,Main,Characteristic,Law
136,"Is counsel the correct word for a group called together for a purpose?
",No,No,Yes,,
137,"Counsel is giving of advice.
",True,False,True,,
138,"These creatures ruled the world until they were overthrown by the Twelve Olympians, led by Zeus.
",Titans,Cyclopes,Titans,Animals,Humans
139,"Cronus learned he was destined to be overcome by his own son as he had overthrown his own father, thats why he wanted to kill Zeus.
",True,True,False,,
140,"The Cyclopes gave Zeus fire.
",False,True,False,,
141,"Hermes is the highest ranking and most powerful god in Greek mythology.
",False,True,False,,
142,"What was Rembrandts last name?
",Van Rijn,Rembrandt is his last name,Van Dyke,Bosch,Van Rijn
143,"What was the first name of Van Goghs brother?
",Theo,Theo,Pierre,Edward,Hans
144,"For which opera did Gershwin become posthumously famous?
",Porgy and Bess,Rhapsody in Blue,An American in Paris,The Days Gone By,Porgy and Bess
145,"The music for Swan Lake, one of the most critically-acclaimed ballets, was written by this composer.
",Pyotr Ilyich Tchaikovsky,Aram Khachaturian,Pyotr Ilyich Tchaikovsky,Stern,Nikolai Rimsky-Korsakov
146,"Violin virtuoso Itzach Perlman is a cousin of this entertainer.
",Howie Mandel,Neil Sedaka,Howie Mandel,Bob Dylan,Isaac Stern
147,"How many reeds does an oboe have?
",2,3,2,1,0
148,"In what country was composer and pianist, Frederic Chopin born?
",Poland,France,Poland,Switzerland,Belgium
149,"Which of the following is a type of plaster used to paint on?
",Gesso,Obsidium,Obstantium,Gesso,Gelato
150,"Which painter and founder of cubism would not divorce his first wife, Olga Khoklova, so she would not get half his wealth?
",Picasso,Picasso,Klee,Cezanne,Remington
151,"This photographer, who taught at MIT for 10 years, developed the Zone System.
",Minor White,Minor White,Alfred Stieglitz,Paul Curtis,Barbara Morgan
152,"Which of the following group of animals is not referred to as a herd?
",Rhinoceroses,Rhinoceroses,Boars,Chinchillas,Walruses
153,"Which prefix means under?
",Sub-,Supra-,Sub-,Un-,Super-
154,"Which suffix means fear?
",-phobia,-itis,-phobia,-philia,-mony
155,"Which prefix means within?
",intra-,intra-,inter-,pseudo-,hemi-
156,"When prefix means high?
",Alti-,Apo-,Peri-,Alti-,Pleo-
157,"All but one of the following suffixes changes the word from an adjective or a verb into a noun.  Which is the odd one?
",-ous,-ous,-ion,-ity,-ness
158,"Which suffix means foot?
",-pus,-morph,-flex,-pus,-fer
159,"Which suffix means one who?
",-er,-able,-ship,-ous,-er
160,"Which prefix means across a distance?
",TELE-,TELE-,PALEO-,PHILO-,PROTO-
161,"Which of the following prefixes does not mean not?
",Pan,A-,In-,Non-,Pan
162,"Which prefix means together?
",CO-,CO-,PROTO-,SOLI-,HETERO-
163,"Freya was the goddess of this.
",Love and beauty,Poetry,The flowers,Love and beauty,Old age and madness
164,"There were two major clans of Norse gods - Vanir and Æsir.
",True,False,True,,
165,"Odins favorite pets were these creatures.
",Ravens,Ravens,Bats,Hawks,Snakes
166,"What did god Tyr sacrifice in order to bind the evil Fenris wolf?
",His hand,His hand,His eye,His head,His leg
167,"Which of the following gods was famous for his talent to quickly transform his appearance?
",Loki,Fenrir,Loki,Asgard,Hel
168,"God Ori was a giant.
",False,False,True,,
169,"Goddess Skadi was not permitted to look at the gods faces, while choosing her husband among them.
",True,True,False,,
170,"Norse mythology associates the aurora with this beautiful goddess.
",Freya,Frigg,Freya,Elli,Eir
171,"He was the first man, according to Norse mythology.
",Ask,Annar,Ask,Arvak,Aud
172,"In what movie does a character say,  Yo, Adrian.?
",Rocky,The Godfather,Rocky,"New York, New York",On the Waterfront
173,"Yo-Yo Ma is considered by most to be the best musician in the world to play this instrument. Yo-Yo Mas nickname for his instrument is Petunia. What type of instrument is Petunia?
",Cello,Classical Guitar,Flute,Violin,Cello
174,"If a person is downright, then he is this.
",Candid,Candid,Cordial,Gentle,Compassionate
175,"A playwright is someone who writes for the theatre. One of the following famous Greeks was not a playwright.
",Tyrtaeus,Aeschylus,Sophocles,Aristophanes,Tyrtaeus
176,"One of these is not a spright.
",A dwarf.,A dwarf.,A specter or ghost.,An elflike person.,A soul.
177,"If he denied the charges outright, then his denial cannot be described as this.
",Kind,Open,Complete,Immediate,Kind
178,"In the UK one of these parties is not considered right-winged.
",Scottish National Party,United Kingdom Independence Party,Scottish National Party,Conservative Party,Democratic Unionist Party
179,"Dexter from Dexters Lab was right-handed.
",False,True,False,,
180,"Which of these languages is not an official national language in a South American country?
",German,English,Dutch,German,Guarani
181,"What language has the most native speakers in the world?
",Mandarin,English,Spanish,Arabic,Mandarin
182,"What movie features an actor speaking one of the Khoisan languages of southwestern Africa, which have a range of click sounds (sounds which are not found outside this region)?
",The Gods Must Be Crazy,A Dry White Season,The Gods Must Be Crazy,Cry Freedom,Hotel Rwanda
183,"The largest language family (a group of historically related languages) is the Indo-European family, which includes well-known European languages such as English, French and Russian. Which of the following languages is NOT a member of this family?
",Hebrew,Hindi,Hebrew,Armenian,Kurdish
184,"What European language is not related to any other language in the world?
",Basque,English,Greek,Hungarian,Basque
185,"The Romance languages are all descended from Latin, and form a branch of the Indo-European family. It is common knowledge that languages such as French, Spanish, Italian and Portuguese are related and are Romance languages. There is another major European language which is also a member of this branch. What is it?
",Romanian,Romanian,Irish,Hungarian,Bulgarian
186,"The Chinese language is related to Japanese.
",False,False,True,,
187,"What language has contributed the following words to the English language: ketchup, gong, orangutan, amok, bamboo, cockatoo, mango, paddy, gingham, compound (as in military compound) and cooties?
",Malay,Portuguese,Chinese,Malay,Hindi
188,"What language has contributed the following words to English: bungalow, jungle, thug, khaki, cot, loot, sentry, shampoo, and bangle?
",Hindi,Portuguese,Chinese,Malay,Hindi
189,"The nation of Singapore has four official languages. However, all education is conducted in this language, by law.
",English,Tamil,Malay,Chinese,English
190,"Zeus, Hades, and Poseidon are brothers.
",True,False,True,,
191,"Which goddess was Apollos sister?
",Artemis,Athena,Hestia,Hera,Artemis
192,"Zeus was married to this goddess.
",Hera,Athena,Hestia,Hera,Demeter
193,"Hades is considered one of the Twelve Olympians.
",No,Yes,No,,
194,"What is the name of the daughter of the goddess, Demeter?
",Persephone,Aphrodite,Hestia,Luna,Persephone
195,"What is the name of the 3 headed dog that guards the Underworld?
",Cerberus,Romulus,Cerberus,Grendel,Remus
196,"The city of Athens was almost named after Poseidon, rather than Athena.
",True,True,False,,
197,"Hermes is the Greek god of shepards, land travel, weights and measures, oratory, literature, merchants and athletics. His Roman equivalent however, is usually considered to be just the god of trade, profit and travel. Who is the Roman god in question?
",Mercury,Mercury,Juno,Saturn,Mars
198,"Dionysus is the Greek god of wine. Who is the Roman god of wine?
",Bacchus,Mars,Cacius,Aurora,Bacchus
199,"Cupid is the Roman counterpart of Aphrodite, the Greek goddess of love.
",False,True,False,,
200,"Hephaestus is the Greek God of fire and the patron of blacksmiths. Who is the Roman god of fire and craftsmanship?
",Vulcan,Vulcan,Vitrus,Spock,Theia
201,"The Greek goddess of flowers is Chloris. Who is the Roman goddess of flowers, the personification of spring?
",Flora,Diana,Flora,Fauna,Gaia
202,"Poseidon, the Greek god of the sea, was very popular and powerful among Greek sailors. His Roman equivalent was inferior in power and popularity. Who was the Roman god of the sea?
",Neptune,Orion,Neptune,Mars,Saturn
203,"Hades, the Greek god of the Underworld, is known as Pluto in Roman mythology.
",True,False,True,,
204,"Eros is the Greek personification of the dawn and his siblings are the sun (Helios) and the moon (Selene). Who is the Roman personification of the dawn, whose siblings are Sol (sun) and Luna (moon).
",Aurora,Aurora,Gaia,Celeste,Hestasia
205,"Which one of these words means sooty or murky; having a dark or dusky color?
",Fuliginous,Fuliginous,Inkhorn,Somnolent,Alfresco
206,"Hemidemisemiquaver is a musical time meaning 1/64 of a note.
",True,False,True,,
207,"Which word means a group of unofficial often secret and scheming advisers?
",Camarilla,Pratfall,Estival,Xeriscape,Camarilla
208,"The word thimblerig means to play by the rules, to be fair.
",False,True,False,,
209,"What word means to be not reputable or decent?
",Louche,Louche,Jocose,Prehensile,Demulcent
210,"Prothalamion is a funeral song.
",False,False,True,,
211,"What word means melancholy, gloomy, or having a peevish temperament?
",Atrabilious,Wimple,Golconda,Askew,Atrabilious
212,"Aparatchik is a blindly devoted official, follower or member of an organization.
",True,False,True,,
213,"What word means a defamatory falsehood published for political effect?
",Roorback,Roorback,Anabasis,Roister,Cineast
214,"The word henotheism means denial of the existence of gods other than ones own.
",False,False,True,,
215,"It is estimated that this country has more English speakers than the United States.
",China,India,Japan,China,UK
216,"The Mazateco language is the native language of the Mazatec peoples of Oaxaca, Mexico. Besides by words, messages in this language can be conveyed by what other means?
",By whistling,By clicking ones tongue,By tramping,By whistling,By singing
217,"The creator of the most widely used constructed international language, Esperanto, philologist L. L. Zamenhof, had what other profession?
",Ophthalmologist,Psychologist,Librarian,Ophthalmologist,Cook
218,"Which of the following languages does not use a definite article?
",Russian,German,French,Modern Greek,Russian
219,"In which country should you be careful with any objects labelled gift (when the word is used as a noun)?
",Germany,Finland,Germany,Sweden,Norway
220,"Which of these words begins with one and the same sound in a great percentage of the languages in the world?
",Mother,Bread,Smile,Mother,Love
221,"Which is the only South American country that uses English as its official language?
",Guyana,Brazil,Ecuador,Guyana,Suriname
222,"Most of the traditional Indo-European languages capitalise I, the pronoun denoting the first person singular.
",False,False,True,,
223,"Which is the common official language of Austria, Liechtenstein, and Switzerland?
",German,German,English,Swedish,French
224,"What is the country with the greatest number of official languages?
",India,India,South Africa,USA,China
225,"Which Broadway show features the character of Billy Bigelow as the male lead?
",Carousel,Carousel,South Pacific,A Chorus Line,Oklahoma
226,"Which Rogers and Hammerstein musical features the comic character Ado Annie?
",Oklahoma,Carousel,MAME,Barnum,Oklahoma
227,"The character of Professor Harold Hill was created by composer Meredith Willson for which musical about Mid-West small town life in the turn of the 20th century?
",The Music Man,Kiss Me Kate,The Music Man,Guys and Dolls,Life on the Mississippi
228,"Carrie Pepperidge is the comic relief in which Rogers and Hammerstein show?
",Carousel,Hello Dolly,Mame,Carousel,Oklahoma
229,"Shoeless Joe Hardy sold his soul to the devil in which 50s musical revised in the 1990s?
",Damn Yankees,Damn Yankees,The Redhead,Candide,Annie Get Your Gun
230,"Charlemange of the Holy Roman Empire was a character in which Fosse musical?
",Pippin,Pippin,Spamalot,Camelot,A Little Night Music
231,"Marian the Librarian is the main love interest in which show?
",The Music Man,Chicago,Me and My Girl,The Music Man,The Will Rogers Follies
232,"Sportin Life is the likable villain in which Gershwin show?
",Porgy and Bess,Porgy and Bess,West Side Story,Big River,Showboat
